stabilizer_mode,candidate_key,psi_family,time_encoding_variant,terminal_direction_intervention,strong_mix_weight_toward_local_field,angle_clip_degrees,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,selected_epoch,total_wall_time_seconds,run_status,run_summary_path
terminal_local_field_direction_strong_mix_keep_live_norm_w075,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.75,,2,0.8148148148148148,0.8481481481481481,8,True,False,0.3007604455779657,56,19.209687499620486,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w075/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_local_field_direction_strong_mix_keep_live_norm_w090,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.9,,2,0.825925925925926,0.8518518518518519,0,False,True,0.3004558799655202,56,19.141219000564888,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w090/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,2,0.7962962962962963,0.8222222222222222,18,True,False,0.3111068208914448,51,20.42447159969015,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg20,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,20.0,2,0.8074074074074075,0.8333333333333334,12,True,False,0.30092158563452065,56,20.50839090149384,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg20/residualized_local_field_poly_rt2/seed_2/summary.json
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,3,0.8333333333333334,0.8222222222222222,32,True,False,0.3052137238952159,58,18.101148699061014,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_3/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,3,0.8444444444444444,0.8333333333333334,25,True,False,0.3144429380041523,50,18.46535199950449,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_3/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,3,0.8777777777777778,0.8777777777777778,6,True,False,0.28150139798627105,58,18.2954433002742,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_3/summary.json
terminal_local_field_direction_strong_mix_keep_live_norm_w075,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.75,,3,0.8740740740740741,0.8814814814814815,6,True,False,0.2815211785174201,58,18.64074360014638,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w075/residualized_local_field_poly_rt2/seed_3/summary.json
terminal_local_field_direction_strong_mix_keep_live_norm_w090,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.9,,3,0.8666666666666667,0.8851851851851852,6,True,False,0.27933191958527137,58,18.668652700202074,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w090/residualized_local_field_poly_rt2/seed_3/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,3,0.8703703703703703,0.8518518518518519,13,True,False,0.2945268064645564,54,19.775566899916157,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_3/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg20,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,20.0,3,0.8703703703703703,0.8777777777777778,8,True,False,0.2826596052347734,58,19.760007699544076,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg20/residualized_local_field_poly_rt2/seed_3/summary.json
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,4,0.8407407407407408,0.8148148148148148,23,True,False,0.28345675123876396,60,18.262642799702007,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_4/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,4,0.8333333333333334,0.8518518518518519,28,True,False,0.29940152932548747,60,18.485153901099693,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_4/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,4,0.8592592592592593,0.8629629629629629,2,True,False,0.28317456367436383,60,18.430953998933546,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_4/summary.json
terminal_local_field_direction_strong_mix_keep_live_norm_w075,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.75,,4,0.8740740740740741,0.8629629629629629,15,True,False,0.2842589309370401,60,18.371279799262993,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w075/residualized_local_field_poly_rt2/seed_4/summary.json
terminal_local_field_direction_strong_mix_keep_live_norm_w090,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_strong_mix_keep_live_norm,0.9,,4,0.8666666666666667,0.8629629629629629,8,True,False,0.28338882129783904,60,18.35278230003314,success,runs/terminal_local_field_direction_strong_mix_keep_live_norm_w090/residualized_local_field_poly_rt2/seed_4/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,4,0.8740740740740741,0.8592592592592593,19,True,False,0.286513578402705,60,19.60593020048691,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_4/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg20,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,20.0,4,0.8740740740740741,0.8629629629629629,16,True,False,0.28474051166991216,60,19.51397280045785,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg20/residualized_local_field_poly_rt2/seed_4/summary.json
