seed,epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_identity_loss,val_one_step_energy_delta_vs_identity,val_configured_step_energy_delta_vs_identity,val_configured_step_fixed_point_residual_delta_vs_identity,val_accuracy
2,3,warmup,0.0,4.239132838966489e-06,4.239132838966489e-06,7.879870562625169e-06,-5.3049269623073325e-05,-4.022498681516273e-05,-2.0007761717351683e-07,0.15185185185185185
2,4,transition,0.011731042782619834,4.188774535946836e-06,4.098262541544991e-06,7.715596650618641e-06,-5.9524128304344615e-05,-5.004952653553385e-05,-2.533312566935697e-07,0.1814814814814815
2,5,transition,0.08826895721738015,4.6218080717814215e-06,3.957822524277774e-06,7.522299667236907e-06,-6.341609439708407e-05,-5.671827889452974e-05,-2.8957843985016017e-07,0.18518518518518517
2,6,transition,0.1,4.568035898431532e-06,3.834013890524797e-06,7.340220079067339e-06,-6.543328810360016e-05,-6.0942055853330235e-05,-3.123465592573722e-07,0.1925925925925926
2,7,hybrid,0.1,4.444490180337844e-06,3.7276726892326997e-06,7.168174911051448e-06,-6.63225759746644e-05,-6.35932298996833e-05,-3.262799154207406e-07,0.2037037037037037
2,8,hybrid,0.1,4.335789996054626e-06,3.6328705305186802e-06,7.029194655359457e-06,-6.674608268320004e-05,-6.546288177139425e-05,-3.3569637788278357e-07,0.21481481481481482
2,9,hybrid,0.1,4.236876098665053e-06,3.5480452497279823e-06,6.8883084893707035e-06,-6.711891700639239e-05,-6.705700852399632e-05,-3.433253203571397e-07,0.22592592592592592
2,10,hybrid,0.1,4.139529903798798e-06,3.465165169489001e-06,6.743647343097973e-06,-6.774232093603727e-05,-6.840953097253522e-05,-3.493147507163143e-07,0.25555555555555554
2,11,hybrid,0.1,4.05839734564046e-06,3.396150909401e-06,6.622464362394606e-06,-6.82745546783936e-05,-6.959619094509817e-05,-3.542170434686371e-07,0.25925925925925924
2,12,hybrid,0.1,3.976007503542602e-06,3.3263610529275936e-06,6.496464506150077e-06,-6.911850129504016e-05,-7.08398504692398e-05,-3.5910905544882243e-07,0.26296296296296295
