seed,step_index,t_k,r_k,m_traj_rms,m_state_rms,m_total_rms,m_traj_mean_l2,m_state_mean_l2,m_total_mean_l2,state_over_traj_ratio,anchor_term_rms,trajectory_term_rms,state_term_rms,anchor_term_mean_l2,trajectory_term_mean_l2,state_term_mean_l2,state_term_over_trajectory_term_ratio,step_energy,step_energy_delta_vs_identity,step_energy_delta_vs_local_field_only,step_fixed_point_residual_rms,step_fixed_point_residual_delta_vs_identity,step_fixed_point_residual_delta_vs_local_field_only
0,1,0.0,1.0,0.0016225442114614912,0.00131026919877414,0.002021477055207555,0.006418756505526687,0.0050343154615905,0.007995272011425662,0.784313201046939,7.095543243063933e-07,0.0012691180099830839,3.2729549813067e-07,2.7871999894786702e-06,0.005076471917889055,1.2421064862533473e-06,0.00024467908152436927,0.43093960955786287,-8.745445523344886e-05,-1.9621921193646585e-05,0.00017684190884861262,-4.583502595645176e-07,-1.0380035260270986e-07
0,2,0.5,0.5,0.0013419059347130034,0.001310150875939774,0.001790005221221689,0.005298640850282194,0.005033920525755684,0.007085900774778875,0.9500399570368292,3.5385347709455203e-07,0.0006346901759019827,1.6339848289287153e-07,1.389739443986778e-06,0.0025387606660602327,6.196564198647474e-07,0.00024407831275657788,0.4308646349799864,-0.00016242903310992318,-2.7034984840745846e-05,0.0001764445821007754,-8.556770074017361e-07,-1.4728800687207819e-07
1,1,0.0,1.0,0.002051432990022973,0.001063481903920794,0.002070178919115506,0.008100653527378399,0.004221035160727961,0.008152973594327175,0.5210734104923517,6.906748972166962e-07,0.0021924529772917815,2.2340468490204258e-07,2.6642087257492257e-06,0.008769811780173394,8.246068065736039e-07,9.402787964478983e-05,0.44163291407064853,-0.00015473626235146254,-9.104752337757427e-05,0.00017095560132762965,-8.441747024408623e-07,-4.991721171045008e-07
1,2,0.5,0.5,0.0018702258054232833,0.0010632299422407739,0.0019089921318121254,0.0073183884579525625,0.004220002834426781,0.0074896795113342345,0.576630068036508,3.4361440490710953e-07,0.001096592869858471,1.1081684846004311e-07,1.324940685275913e-06,0.0043863714457133655,4.087811136492003e-07,9.319345584576213e-05,0.44149183280200555,-0.00029581753099444663,-0.00016869559091620134,0.00017017780352544432,-1.6219725046261895e-06,-9.326628424653879e-07
2,1,0.0,1.0,0.001612930249502438,0.0010044115480529548,0.001909022998807879,0.00639672759535414,0.003970398813493727,0.007535892081714795,0.6206921827306475,6.976344291667839e-07,0.0016718273549313314,2.125998624382347e-07,2.7521735692155617e-06,0.006687309251564039,8.227755558763771e-07,0.00012303536817651208,0.43543494110653064,-4.2066336475687915e-05,2.535071975473535e-05,0.00017654211352800906,-2.1313097340567048e-07,1.3555831019702218e-07
2,2,0.5,0.5,0.001302521668770868,0.001004291282990025,0.001718037615703041,0.0051616559639652655,0.003969979772054622,0.006803978881803361,0.7691290934091665,3.484126297511588e-07,0.000836062704522826,1.0590366391614842e-07,1.3739866243202304e-06,0.003344250753863375,4.098813839465249e-07,0.0001225629936609921,0.4354061675925371,-7.08398504692398e-05,6.37285340790994e-05,0.0001763961354459659,-3.5910905544882243e-07,3.375806363919607e-07
