epoch,batch_size,batches_per_epoch,train_steps,eval_steps,inference_backend,inference_method,state_init,train_loss,train_accuracy,val_loss,val_accuracy,train_baseline_accuracy,val_baseline_accuracy,accuracy,baseline_accuracy,train_mean_pre_update_energy,train_mean_post_update_energy,train_mean_energy_delta,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2
1,64,20,30,30,pc_euler,euler,forward,0.09419965911515149,0.09626093874303898,0.09368803432665017,0.10740740740740741,0.10182975338106603,0.1037037037037037,0.10740740740740741,0.1037037037037037,0.4972547633609688,0.4921769712192936,-0.005077792141675216,3.2067311765734416,1.2655689087943043,0.00177619418495926,0.10272174850104895
2,64,20,30,30,pc_euler,euler,forward,0.08948357006297582,0.19331742243436753,0.08898155905623661,0.2111111111111111,0.10182975338106603,0.1037037037037037,0.2111111111111111,0.1037037037037037,0.45200605791070797,0.4497473053531979,-0.0022587525575099936,3.2066642983042764,1.2642997708968657,0.0024245689308280325,0.14048830143695756
3,64,20,30,30,pc_euler,euler,forward,0.08662149179850435,0.2609387430389817,0.08611534204744051,0.29259259259259257,0.10182975338106603,0.1037037037037037,0.29259259259259257,0.1037037037037037,0.43426091741244754,0.43262053615927487,-0.001640381253172582,3.2066830668782558,1.2676967216093775,0.002639711335498142,0.15366481607483007
4,64,20,30,30,pc_euler,euler,forward,0.08419073714728546,0.3269689737470167,0.08366764019788825,0.36666666666666664,0.10182975338106603,0.1037037037037037,0.36666666666666664,0.1037037037037037,0.4212808604036381,0.41993227801785693,-0.0013485823857811523,3.206760570250685,1.2743552456992906,0.002739961170754337,0.15875397010589565
5,64,20,30,30,pc_euler,euler,forward,0.08199745855069429,0.40970564836913287,0.08145211790860632,0.4444444444444444,0.10182975338106603,0.1037037037037037,0.4444444444444444,0.1037037037037037,0.40975504086200115,0.4082674823709769,-0.001487558491024238,3.2068920450412586,1.2839846611835601,0.0028138098561035383,0.16092752519410142
6,64,20,30,30,pc_euler,euler,forward,0.07997775371809691,0.4988066825775656,0.07941765306514019,0.562962962962963,0.10182975338106603,0.1037037037037037,0.562962962962963,0.1037037037037037,0.3992370040823386,0.39804366421314386,-0.0011933398691948316,3.2070704332731346,1.2961450268807744,0.0028410305403855666,0.1623385159630728
7,64,20,30,30,pc_euler,euler,forward,0.07813474730984207,0.5632458233890215,0.07756023232117534,0.6370370370370371,0.10182975338106603,0.1037037037037037,0.6370370370370371,0.1037037037037037,0.3897865311953287,0.38861683524823865,-0.0011696959470900077,3.2072925623361184,1.3106098762728677,0.0028467055479340572,0.16191827329542904
8,64,20,30,30,pc_euler,euler,forward,0.07643257969140012,0.60381861575179,0.07584165633923945,0.6888888888888889,0.10182975338106603,0.1037037037037037,0.6888888888888889,0.1037037037037037,0.38112377688109406,0.3799950282767517,-0.0011287486043423862,3.2075415269898744,1.3264929050542975,0.0028958420961118668,0.16375912187137953
9,64,20,30,30,pc_euler,euler,forward,0.07486304290193645,0.6404136833731106,0.07426045394879273,0.7074074074074074,0.10182975338106603,0.1037037037037037,0.7074074074074074,0.1037037037037037,0.3726576351754681,0.37157184054185377,-0.0010857946336143092,3.2078258514022315,1.3439888368344755,0.0029136997639653993,0.16437832949832715
10,64,20,30,30,pc_euler,euler,forward,0.07341349089086147,0.665871121718377,0.07279377146092679,0.7407407407407407,0.10182975338106603,0.1037037037037037,0.7407407407407407,0.1037037037037037,0.3650248100805558,0.36386463732884733,-0.0011601727517084465,3.2081409789109907,1.362804994700309,0.0029324229591189215,0.1649481295472785
11,64,20,30,30,pc_euler,euler,forward,0.0720685017667881,0.6881463802704852,0.07143112380923776,0.762962962962963,0.10182975338106603,0.1037037037037037,0.762962962962963,0.1037037037037037,0.358258631111635,0.3572771027164924,-0.0009815283951425946,3.208475590085603,1.3824791598121227,0.0029415979449159083,0.16493325750815135
12,64,20,30,30,pc_euler,euler,forward,0.07082117685603684,0.7040572792362768,0.07016796868374063,0.7666666666666667,0.10182975338106603,0.1037037037037037,0.7666666666666667,0.1037037037037037,0.35157057834865546,0.3505231562486561,-0.001047422099999354,3.208825376769912,1.4026846316179948,0.0029979678942696946,0.1666426589037569
