epoch,train_steps,pre_update_energy,post_update_energy,energy_delta,trace_saved,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2,mse,baseline_mse
1,30,0.3318835140524251,0.3235998594530879,-0.00828365459933722,True,0.47289788713015213,0.4386033777954387,4.742112574623265e-20,3.642919299551295e-19,0.6784602493121483,0.484375
2,30,0.3235998594530879,0.3155621974794789,-0.008037661973609,False,0.4722176345440764,0.43269497357699527,1.0116964358685967e-19,4.163336342344337e-19,0.6607753563645739,0.484375
3,30,0.3155621974794789,0.30776404338572255,-0.007798154093756338,False,0.4716062016620657,0.42736754415652123,1.089716574209845e-19,1.1188966420050406e-18,0.6437239263482529,0.484375
4,30,0.30776404338572255,0.30019909079449447,-0.00756495259122808,False,0.4710608137773261,0.4226151787884644,1.0009509295600486e-19,1.4571677198205181e-18,0.6272803546906823,0.484375
5,30,0.30019909079449447,0.2928612061772623,-0.007337884617232171,False,0.4705787623525735,0.41843012242580363,2.124330180942936e-19,1.8474805019152995e-18,0.6114203888101674,0.484375
6,30,0.2928612061772623,0.2857444230595082,-0.0071167831177541,False,0.47015740509450415,0.4148027582295553,2.1292351056825455e-19,2.1076890233118204e-18,0.5961210431385326,0.484375
7,30,0.2857444230595082,0.27884293605982907,-0.0069014869996791295,False,0.4697941659385533,0.41172162595366435,2.2421467383920907e-19,2.524022657546254e-18,0.581360519116004,0.484375
8,30,0.27884293605982907,0.2721510948567995,-0.006691841203029569,False,0.4694865349484782,0.40917347676050675,2.4911618398234474e-19,2.992397996059992e-18,0.5671181299517789,0.484375
9,30,0.2721510948567995,0.26566339816366913,-0.006487696693130374,False,0.4692320681349628,0.40714336342594265,2.1486562945094713e-19,3.46077333457373e-18,0.5533742299436872,0.484375
10,30,0.26566339816366913,0.25937448777834227,-0.006288910385326862,False,0.46902838719715556,0.4056147633347624,2.158028486843733e-19,4.202367620553815e-18,0.5401101481515218,0.484375
