run_index,config_key,preset_name,seed,theta_update_cadence,onpolicy_mix_ratio,interleaving_start,micro_steps,theta_update_budget,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,run_summary_path
19,cad_every_2_micro_steps_mix_0_start_epoch_0,tf2_corrective_transport_default,0,every_2_micro_steps,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7296296296296296,0.7666666666666667,0,0.3596786495385366,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0_start_epoch_0_seed0/summary.json
20,cad_every_2_micro_steps_mix_0_start_epoch_0,tf2_corrective_transport_default,1,every_2_micro_steps,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7333333333333333,0.7333333333333333,0,0.37119547758532834,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0_start_epoch_0_seed1/summary.json
21,cad_every_2_micro_steps_mix_0_start_epoch_0,tf2_corrective_transport_default,2,every_2_micro_steps,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.8148148148148148,0,0.37335550699064074,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0_start_epoch_0_seed2/summary.json
22,cad_every_2_micro_steps_mix_0_start_after_warmup,tf2_corrective_transport_default,0,every_2_micro_steps,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7407407407407407,0.7592592592592593,0,0.3549707496163783,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0_start_after_warmup_seed0/summary.json
23,cad_every_2_micro_steps_mix_0_start_after_warmup,tf2_corrective_transport_default,1,every_2_micro_steps,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7518518518518519,0.725925925925926,0,0.368790752328829,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0_start_after_warmup_seed1/summary.json
24,cad_every_2_micro_steps_mix_0_start_after_warmup,tf2_corrective_transport_default,2,every_2_micro_steps,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.8074074074074075,0,0.37959483675928374,54,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0_start_after_warmup_seed2/summary.json
25,cad_every_2_micro_steps_mix_0p25_start_epoch_0,tf2_corrective_transport_default,0,every_2_micro_steps,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7296296296296296,0.7666666666666667,0,0.3592412248615239,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p25_start_epoch_0_seed0/summary.json
26,cad_every_2_micro_steps_mix_0p25_start_epoch_0,tf2_corrective_transport_default,1,every_2_micro_steps,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7333333333333333,0.737037037037037,0,0.37249591579616337,58,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p25_start_epoch_0_seed1/summary.json
27,cad_every_2_micro_steps_mix_0p25_start_epoch_0,tf2_corrective_transport_default,2,every_2_micro_steps,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8037037037037037,0.8148148148148148,0,0.378618492686336,56,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p25_start_epoch_0_seed2/summary.json
28,cad_every_2_micro_steps_mix_0p25_start_after_warmup,tf2_corrective_transport_default,0,every_2_micro_steps,0.25,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7407407407407407,0.762962962962963,0,0.3547943312358627,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p25_start_after_warmup_seed0/summary.json
29,cad_every_2_micro_steps_mix_0p25_start_after_warmup,tf2_corrective_transport_default,1,every_2_micro_steps,0.25,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7518518518518519,0.725925925925926,0,0.368637874383117,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p25_start_after_warmup_seed1/summary.json
30,cad_every_2_micro_steps_mix_0p25_start_after_warmup,tf2_corrective_transport_default,2,every_2_micro_steps,0.25,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.8037037037037037,0,0.3794604593348789,54,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p25_start_after_warmup_seed2/summary.json
31,cad_every_2_micro_steps_mix_0p5_start_epoch_0,tf2_corrective_transport_default,0,every_2_micro_steps,0.5,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7296296296296296,0.7666666666666667,0,0.3587593299866113,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p5_start_epoch_0_seed0/summary.json
32,cad_every_2_micro_steps_mix_0p5_start_epoch_0,tf2_corrective_transport_default,1,every_2_micro_steps,0.5,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7333333333333333,0.737037037037037,0,0.3721133624353496,58,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p5_start_epoch_0_seed1/summary.json
33,cad_every_2_micro_steps_mix_0p5_start_epoch_0,tf2_corrective_transport_default,2,every_2_micro_steps,0.5,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8037037037037037,0.8148148148148148,0,0.3783117080227702,56,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p5_start_epoch_0_seed2/summary.json
34,cad_every_2_micro_steps_mix_0p5_start_after_warmup,tf2_corrective_transport_default,0,every_2_micro_steps,0.5,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7407407407407407,0.762962962962963,0,0.35456390563289397,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p5_start_after_warmup_seed0/summary.json
35,cad_every_2_micro_steps_mix_0p5_start_after_warmup,tf2_corrective_transport_default,1,every_2_micro_steps,0.5,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7518518518518519,0.7222222222222222,0,0.36844976612208236,59,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p5_start_after_warmup_seed1/summary.json
36,cad_every_2_micro_steps_mix_0p5_start_after_warmup,tf2_corrective_transport_default,2,every_2_micro_steps,0.5,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.8,0,0.3811358240745083,53,False,True,runs/fmpc_tf2/cad_every_2_micro_steps_mix_0p5_start_after_warmup_seed2/summary.json
37,cad_every_micro_step_mix_0_start_epoch_0,tf2_corrective_transport_default,0,every_micro_step,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7555555555555555,0.8037037037037037,0,0.31949711695776595,55,False,True,runs/fmpc_tf2/cad_every_micro_step_mix_0_start_epoch_0_seed0/summary.json
38,cad_every_micro_step_mix_0_start_epoch_0,tf2_corrective_transport_default,1,every_micro_step,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.7851851851851852,3,0.3198076520432721,58,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0_start_epoch_0_seed1/summary.json
39,cad_every_micro_step_mix_0_start_epoch_0,tf2_corrective_transport_default,2,every_micro_step,0.0,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.825925925925926,6,0.31649471316679195,59,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0_start_epoch_0_seed2/summary.json
40,cad_every_micro_step_mix_0_start_after_warmup,tf2_corrective_transport_default,0,every_micro_step,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.762962962962963,0.8037037037037037,13,0.31679327370166266,55,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0_start_after_warmup_seed0/summary.json
41,cad_every_micro_step_mix_0_start_after_warmup,tf2_corrective_transport_default,1,every_micro_step,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.774074074074074,9,0.3299560679764274,54,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0_start_after_warmup_seed1/summary.json
42,cad_every_micro_step_mix_0_start_after_warmup,tf2_corrective_transport_default,2,every_micro_step,0.0,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,13,0.3303337493543987,53,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0_start_after_warmup_seed2/summary.json
43,cad_every_micro_step_mix_0p25_start_epoch_0,tf2_corrective_transport_default,0,every_micro_step,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7592592592592593,0.8037037037037037,0,0.3189260445331509,55,False,True,runs/fmpc_tf2/cad_every_micro_step_mix_0p25_start_epoch_0_seed0/summary.json
44,cad_every_micro_step_mix_0p25_start_epoch_0,tf2_corrective_transport_default,1,every_micro_step,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8037037037037037,0.7592592592592593,2,0.317718016277406,59,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p25_start_epoch_0_seed1/summary.json
45,cad_every_micro_step_mix_0p25_start_epoch_0,tf2_corrective_transport_default,2,every_micro_step,0.25,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.825925925925926,6,0.3160333764820578,59,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p25_start_epoch_0_seed2/summary.json
46,cad_every_micro_step_mix_0p25_start_after_warmup,tf2_corrective_transport_default,0,every_micro_step,0.25,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7703703703703704,0.8037037037037037,13,0.30946907231175913,59,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p25_start_after_warmup_seed0/summary.json
47,cad_every_micro_step_mix_0p25_start_after_warmup,tf2_corrective_transport_default,1,every_micro_step,0.25,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.774074074074074,9,0.329922600246757,54,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p25_start_after_warmup_seed1/summary.json
48,cad_every_micro_step_mix_0p25_start_after_warmup,tf2_corrective_transport_default,2,every_micro_step,0.25,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,13,0.33013954861985956,53,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p25_start_after_warmup_seed2/summary.json
49,cad_every_micro_step_mix_0p5_start_epoch_0,tf2_corrective_transport_default,0,every_micro_step,0.5,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7592592592592593,0.8037037037037037,0,0.31832827438082345,55,False,True,runs/fmpc_tf2/cad_every_micro_step_mix_0p5_start_epoch_0_seed0/summary.json
50,cad_every_micro_step_mix_0p5_start_epoch_0,tf2_corrective_transport_default,1,every_micro_step,0.5,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.7592592592592593,2,0.3173802527624454,59,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p5_start_epoch_0_seed1/summary.json
51,cad_every_micro_step_mix_0p5_start_epoch_0,tf2_corrective_transport_default,2,every_micro_step,0.5,epoch_0,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.8222222222222222,6,0.3156725659187618,59,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p5_start_epoch_0_seed2/summary.json
52,cad_every_micro_step_mix_0p5_start_after_warmup,tf2_corrective_transport_default,0,every_micro_step,0.5,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.7703703703703704,0.8111111111111111,13,0.3090721762383228,59,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p5_start_after_warmup_seed0/summary.json
53,cad_every_micro_step_mix_0p5_start_after_warmup,tf2_corrective_transport_default,1,every_micro_step,0.5,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.7703703703703704,9,0.32979010498754,54,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p5_start_after_warmup_seed1/summary.json
54,cad_every_micro_step_mix_0p5_start_after_warmup,tf2_corrective_transport_default,2,every_micro_step,0.5,after_warmup,4,matched,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,13,0.32999562905985663,53,True,False,runs/fmpc_tf2/cad_every_micro_step_mix_0p5_start_after_warmup_seed2/summary.json
