seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,direction_anchor_mode,relative_terminal_action_vector_delta_vs_baseline_replay,terminal_action_direction_cosine_similarity_vs_baseline_replay,terminal_action_direction_cosine_similarity_vs_terminal_local_field,terminal_action_norm_ratio_vs_live_raw,terminal_action_norm_delta_vs_live_raw,terminal_state_slot_displacement,terminal_next_state_displacement_vs_baseline_replay,terminal_next_state_displacement_vs_live_raw
0,1,residualized_local_field_poly_rt2,terminal_live_raw_closed_loop,0,live_raw_closed_loop,1.5605661929509451,0.02372891728741474,0.0036891162969687626,1.0,0.0,0.0,1.195355266011675,0.0
0,1,residualized_local_field_poly_rt2,terminal_local_field_direction_hard_replace_keep_live_norm,0,local_field_direction_hard_replace_keep_live_norm,1.5023217273430782,0.07188927276646832,1.0,1.0,2.2852916648999223e-17,0.2114230983636455,1.0200074827564047,0.2114230983636455
0,1,residualized_local_field_poly_rt2,terminal_local_field_direction_strong_mix_keep_live_norm,0,local_field_direction_strong_mix_keep_live_norm,1.5019965218980604,0.07877012563737869,0.9494081795780245,1.0,2.1431269457496325e-17,0.17614402200066728,1.0704084967137781,0.17614402200066728
0,1,residualized_local_field_poly_rt2,terminal_local_field_direction_angle_clip_keep_live_norm,0,local_field_direction_angle_clip_keep_live_norm,1.505194336949732,0.0790539750141193,0.8660254037844389,1.0,2.984467831598384e-17,0.1508706638182135,1.1011028430534204,0.1508706638182135
0,1,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,0,replay_action_vector_only,0.0,1.0,0.07308789640581206,0.8707360483569829,0.11287978929687395,0.19594539016474,0.9028543340026411,0.19594539016474
0,2,residualized_local_field_poly_rt2,terminal_live_raw_closed_loop,0,live_raw_closed_loop,1.5691304137894528,0.03990624299259762,-0.004411781449819072,1.0,0.0,0.0,2.302283190184936,0.0
0,2,residualized_local_field_poly_rt2,terminal_local_field_direction_hard_replace_keep_live_norm,0,local_field_direction_hard_replace_keep_live_norm,1.5052788542317928,0.049794639452030894,1.0,1.0,2.4178327990525314e-17,0.2283389348302552,1.907474195300458,0.2283389348302552
0,2,residualized_local_field_poly_rt2,terminal_local_field_direction_strong_mix_keep_live_norm,0,local_field_direction_strong_mix_keep_live_norm,1.5084729578232796,0.06356483970100847,0.9489423459593382,1.0,2.5189423959380366e-17,0.19230946938538096,2.0170089439899392,0.19230946938538096
0,2,residualized_local_field_poly_rt2,terminal_local_field_direction_angle_clip_keep_live_norm,0,local_field_direction_angle_clip_keep_live_norm,1.5141062905619727,0.06770526473662596,0.866025403784439,1.0,3.3172043154666976e-17,0.1661643755040266,2.085343360758877,0.1661643755040266
0,2,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,0,replay_action_vector_only,0.0,1.0,0.0536281300139184,0.8709027727540313,0.11571956716002356,0.21024520597350116,1.716194665824555,0.21024520597350116
0,3,residualized_local_field_poly_rt2,terminal_live_raw_closed_loop,0,live_raw_closed_loop,1.4914562721893494,0.016213723631444313,0.005702452251843113,1.0,0.0,0.0,3.4939254653526093,0.0
0,3,residualized_local_field_poly_rt2,terminal_local_field_direction_hard_replace_keep_live_norm,0,local_field_direction_hard_replace_keep_live_norm,1.4103690930490527,0.029147762396608556,1.0,1.0,2.3037127760972e-17,0.23905607429053988,2.922031915621006,0.23905607429053988
0,3,residualized_local_field_poly_rt2,terminal_local_field_direction_strong_mix_keep_live_norm,0,local_field_direction_strong_mix_keep_live_norm,1.4203279592942475,0.038166209650699265,0.9489355773514735,1.0,2.537900445354069e-17,0.20221190121639934,3.080676759267194,0.20221190121639934
0,3,residualized_local_field_poly_rt2,terminal_local_field_direction_angle_clip_keep_live_norm,0,local_field_direction_angle_clip_keep_live_norm,1.4300394222812738,0.03970596089145526,0.866025403784439,1.0,3.615081118055857e-17,0.1751687096538853,3.179463854860553,0.1751687096538853
0,3,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,0,replay_action_vector_only,0.0,1.0,0.03426147998760472,0.9861851159561205,0.08219293935774384,0.23822002768875694,2.5963540522357595,0.23822002768875694
0,4,residualized_local_field_poly_rt2,terminal_live_raw_closed_loop,0,live_raw_closed_loop,1.400078735202944,-0.010567664876108362,0.015823003677873936,1.0,0.0,0.0,4.679291363773416,0.0
0,4,residualized_local_field_poly_rt2,terminal_local_field_direction_hard_replace_keep_live_norm,0,local_field_direction_hard_replace_keep_live_norm,1.309849533574726,0.020683938419647503,1.0,1.0,2.5801946558159794e-17,0.24175299887796003,4.028313976766805,0.24175299887796003
0,4,residualized_local_field_poly_rt2,terminal_local_field_direction_strong_mix_keep_live_norm,0,local_field_direction_strong_mix_keep_live_norm,1.3243465248375066,0.021825394010846072,0.9491367463938876,1.0,2.5368265689165593e-17,0.2049261671928253,4.211977148268489,0.2049261671928253
0,4,residualized_local_field_poly_rt2,terminal_local_field_direction_angle_clip_keep_live_norm,0,local_field_direction_angle_clip_keep_live_norm,1.3364273648344436,0.019222196411670698,0.866025403784439,1.0,3.564113290214063e-17,0.17762822712384313,4.324785768891873,0.17762822712384313
0,4,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,0,replay_action_vector_only,0.0,1.0,0.02676909978138927,1.1538940641427082,0.11775170029716235,0.2684256486013961,3.505284350309475,0.2684256486013961
0,5,residualized_local_field_poly_rt2,terminal_live_raw_closed_loop,0,live_raw_closed_loop,1.3444754438052517,-0.028349366221205746,0.020042492104965542,1.0,0.0,0.0,5.711882104154965,0.0
0,5,residualized_local_field_poly_rt2,terminal_local_field_direction_hard_replace_keep_live_norm,0,local_field_direction_hard_replace_keep_live_norm,1.2537858204555903,0.019901334798336518,1.0,1.0,2.489658611545952e-17,0.23807112375971706,5.0530736609634275,0.23807112375971706
0,5,residualized_local_field_poly_rt2,terminal_local_field_direction_strong_mix_keep_live_norm,0,local_field_direction_strong_mix_keep_live_norm,1.2704958131266952,0.014239705887865089,0.9492358557182692,1.0,2.4384429660647318e-17,0.20177367349259137,5.24121961732773,0.20177367349259137
0,5,residualized_local_field_poly_rt2,terminal_local_field_direction_angle_clip_keep_live_norm,0,local_field_direction_angle_clip_keep_live_norm,1.2834336290537478,0.008247784680999072,0.866025403784439,1.0,3.306878580490645e-17,0.1748463712969696,5.355404489413747,0.1748463712969696
0,5,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,0,replay_action_vector_only,0.0,1.0,0.027200799450611046,1.276859201424882,0.18750200237399833,0.2862936903105974,4.30864120762136,0.2862936903105974
0,6,residualized_local_field_poly_rt2,terminal_live_raw_closed_loop,0,live_raw_closed_loop,1.3274018544256967,-0.036030149432966445,0.02486805922020797,1.0,0.0,0.0,6.4806198674683015,0.0
0,6,residualized_local_field_poly_rt2,terminal_local_field_direction_hard_replace_keep_live_norm,0,local_field_direction_hard_replace_keep_live_norm,1.2420498814706575,0.014746272511146186,1.0,1.0,2.2055769908847975e-17,0.22870968623599158,5.8332844577830265,0.22870968623599158
0,6,residualized_local_field_poly_rt2,terminal_local_field_direction_strong_mix_keep_live_norm,0,local_field_direction_strong_mix_keep_live_norm,1.2596328516659088,0.005967008263385423,0.9493968690141464,1.0,2.5666472915273988e-17,0.19359820581107695,6.015683520916274,0.19359820581107695
0,6,residualized_local_field_poly_rt2,terminal_local_field_direction_angle_clip_keep_live_norm,0,local_field_direction_angle_clip_keep_live_norm,1.2729220998922341,-0.0011867574983533695,0.866025403784439,1.0,2.967533626237658e-17,0.16762593779941679,6.127522374927335,0.16762593779941679
0,6,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,0,replay_action_vector_only,0.0,1.0,0.024607673610738907,1.3065339574040702,0.20140552318574872,0.28486224201881594,4.888081343228951,0.28486224201881594
0,7,residualized_local_field_poly_rt2,terminal_live_raw_closed_loop,0,live_raw_closed_loop,1.3392546617635364,-0.034103367634032856,0.031403940730747,1.0,0.0,0.0,6.991966043467937,0.0
0,7,residualized_local_field_poly_rt2,terminal_local_field_direction_hard_replace_keep_live_norm,0,local_field_direction_hard_replace_keep_live_norm,1.2528154441060306,0.018147700115991462,1.0,1.0,2.1626219333844195e-17,0.21686663487395325,6.343095867258375,0.21686663487395325
0,7,residualized_local_field_poly_rt2,terminal_local_field_direction_strong_mix_keep_live_norm,0,local_field_direction_strong_mix_keep_live_norm,1.2717925038872113,0.009659830225235694,0.9495476249708273,1.0,2.029130831614014e-17,0.18380136865848581,6.51842249544264,0.18380136865848581
0,7,residualized_local_field_poly_rt2,terminal_local_field_direction_angle_clip_keep_live_norm,0,local_field_direction_angle_clip_keep_live_norm,1.2866932483622389,0.002349132831939045,0.8660254037844389,1.0,3.18586096657131e-17,0.15924340951193589,6.630842418549889,0.15924340951193589
