case_name,seed,split,knot_index,knot_time,slow_pc_step_index,hidden_state_rms_gap_total,hidden_state_rms_gap_rowspace,hidden_state_rms_gap_orthogonal,hidden_state_gap_rowspace_fraction,output_state_rms_gap
adopted_control_terminal_only,0,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,0,validation,1,0.25,4,0.07148869756524924,0.037304394742506,0.060983735638864944,0.5218222741917699,0.0074642415769994586
adopted_control_terminal_only,0,validation,2,0.5,8,0.13621153038221684,0.07103762650600225,0.11622063770888245,0.521524325486006,0.014095576246675325
adopted_control_terminal_only,0,validation,3,0.75,11,0.20232465182328652,0.10687182625722676,0.17179545246559716,0.5282194991768491,0.02110988536644754
adopted_control_terminal_only,0,validation,4,1.0,15,0.2743618919770443,0.14641771874107942,0.23202650583043638,0.5336663837896631,0.02890819744649987
adopted_control_terminal_only,0,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,0,test,1,0.25,4,0.07132741991773528,0.037366554002580855,0.0607564109711325,0.5238736245566876,0.007477337287970731
adopted_control_terminal_only,0,test,2,0.5,8,0.13557030922578378,0.070886273801819,0.11556143357568817,0.522874619130376,0.014077547089544293
adopted_control_terminal_only,0,test,3,0.75,11,0.20092667928403138,0.10625688510368479,0.1705315361338493,0.5288341273658304,0.021018349320740766
adopted_control_terminal_only,0,test,4,1.0,15,0.2720170006216549,0.145162582375685,0.23004580697162014,0.5336526101086962,0.02871174704853713
adopted_control_terminal_only,1,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,1,validation,1,0.25,4,0.07549125124924808,0.04088785403537316,0.06345953362229445,0.5416237426026292,0.008202533487376224
adopted_control_terminal_only,1,validation,2,0.5,8,0.1419966839572044,0.07926783294102924,0.11781200667026802,0.5582372118275616,0.015972795807204822
adopted_control_terminal_only,1,validation,3,0.75,11,0.20834373719334956,0.11689192492751481,0.17246272268067603,0.561053221480017,0.023642758159278018
adopted_control_terminal_only,1,validation,4,1.0,15,0.28158828725490337,0.15597799093227577,0.2344415276009796,0.5539221551181891,0.031570268325242665
adopted_control_terminal_only,1,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,1,test,1,0.25,4,0.07529759936357845,0.040812321849261216,0.0632778227753633,0.5420135860135029,0.008195032051516319
adopted_control_terminal_only,1,test,2,0.5,8,0.14143886980350512,0.07915158004399038,0.11721766619342262,0.5596168871679492,0.01596707224755568
adopted_control_terminal_only,1,test,3,0.75,11,0.20734746543396473,0.11678789696110145,0.17132880243932236,0.5632472850182759,0.023651852859616764
adopted_control_terminal_only,1,test,4,1.0,15,0.2801929070279422,0.15594936227247427,0.23278286353504987,0.5565785512797519,0.03160889515305186
adopted_control_terminal_only,2,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,2,validation,1,0.25,4,0.07802281746616332,0.042224940896990734,0.06560956036740287,0.5411870817828734,0.008413192812936654
adopted_control_terminal_only,2,validation,2,0.5,8,0.15021594163255847,0.08237599118017333,0.1256145899075431,0.5483838152256324,0.016447126186917935
adopted_control_terminal_only,2,validation,3,0.75,11,0.22267232278046922,0.12270663044860616,0.18581185693167881,0.5510636836962517,0.02451825080173904
adopted_control_terminal_only,2,validation,4,1.0,15,0.29953803360736364,0.16463456848443525,0.25023687265730826,0.5496282608980444,0.03288070613999569
adopted_control_terminal_only,2,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,2,test,1,0.25,4,0.07824520841246141,0.04245364010552031,0.06572671512635087,0.542571755726311,0.008418513392165053
adopted_control_terminal_only,2,test,2,0.5,8,0.15081901442206658,0.08290064049650778,0.12599150335047318,0.5496696873015664,0.016471258503531278
adopted_control_terminal_only,2,test,3,0.75,11,0.22376159643900675,0.12357864620547274,0.18654106851563684,0.5522781753979753,0.024575056933643574
adopted_control_terminal_only,2,test,4,1.0,15,0.301151204046549,0.1658863197417711,0.2513439408882121,0.550840632588439,0.03298314228010864
adopted_control_terminal_only,3,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,3,validation,1,0.25,4,0.07490564065034143,0.039350382479653764,0.06373697827747281,0.5253327004215991,0.007925341095745105
adopted_control_terminal_only,3,validation,2,0.5,8,0.1435830156949648,0.07716353268986445,0.12108621564356833,0.5374140689020954,0.01545354324405305
adopted_control_terminal_only,3,validation,3,0.75,11,0.21256090440828046,0.11482102875838875,0.1788806010659943,0.5401794327043511,0.022873209679010294
adopted_control_terminal_only,3,validation,4,1.0,15,0.2872004175172255,0.15290771608757003,0.24311172366414524,0.5324077082109361,0.030324683288660774
adopted_control_terminal_only,3,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,3,test,1,0.25,4,0.07487740434868304,0.03880429438774347,0.06403789830300115,0.5182377076940698,0.007823691961497844
adopted_control_terminal_only,3,test,2,0.5,8,0.143532952313473,0.07604023283791851,0.1217357440925912,0.529775439105079,0.015239249961107898
adopted_control_terminal_only,3,test,3,0.75,11,0.21250362320818472,0.11311341447835921,0.1798975968201161,0.5322893453329249,0.022539863402734246
adopted_control_terminal_only,3,test,4,1.0,15,0.28716323594995474,0.1506308278838342,0.2444853324276941,0.5245477450674965,0.029871642730343574
adopted_control_terminal_only,4,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,4,validation,1,0.25,4,0.07009920877319892,0.03773941528521348,0.05907313775785677,0.538371487291914,0.008080984658557454
adopted_control_terminal_only,4,validation,2,0.5,8,0.13455350257933718,0.0740634633468821,0.11233542830929497,0.5504387617350343,0.015829298781655735
adopted_control_terminal_only,4,validation,3,0.75,11,0.19906333151410868,0.11062317385057492,0.1654953877324725,0.5557184892323299,0.023606012065575357
adopted_control_terminal_only,4,validation,4,1.0,15,0.26724609645147235,0.1481421455651277,0.22242837223679482,0.5543285665615998,0.03157770216138884
adopted_control_terminal_only,4,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
adopted_control_terminal_only,4,test,1,0.25,4,0.06993424861813329,0.03769216199605433,0.05890755515081299,0.5389657105185672,0.008085153254780188
adopted_control_terminal_only,4,test,2,0.5,8,0.1342083007213318,0.0739903676959462,0.1119700561343349,0.5513099212065783,0.01583588782719899
adopted_control_terminal_only,4,test,3,0.75,11,0.19851561455311936,0.11050609688989758,0.1649146802791165,0.5566619892276939,0.023604875323878505
adopted_control_terminal_only,4,test,4,1.0,15,0.2664565202048789,0.14791672088129026,0.22162969305447205,0.5551251692679797,0.031549512003891465
same_geometry_penultimate_plus_terminal,0,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_plus_terminal,0,validation,1,0.25,4,0.07442104866801239,0.036484091298016656,0.06486450159374273,0.49023887664859295,0.00749704338735876
same_geometry_penultimate_plus_terminal,0,validation,2,0.5,8,0.14170523921396228,0.06854429201073946,0.12402441232851195,0.4837103581416894,0.013933354006560589
same_geometry_penultimate_plus_terminal,0,validation,3,0.75,11,0.21011540989162908,0.1020921781562915,0.1836455080671219,0.4858862003931432,0.02066759249570186
same_geometry_penultimate_plus_terminal,0,validation,4,1.0,15,0.2845467778743292,0.13922456555203275,0.24816000714359795,0.4892853350584122,0.028226727602323642
same_geometry_penultimate_plus_terminal,0,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_plus_terminal,0,test,1,0.25,4,0.07429483997925897,0.036613806290482734,0.06464636444895185,0.4928176209909636,0.007515116130527308
same_geometry_penultimate_plus_terminal,0,test,2,0.5,8,0.14109969548011303,0.06849838261936776,0.12335759256369802,0.4854608820117695,0.01391536671148761
same_geometry_penultimate_plus_terminal,0,test,3,0.75,11,0.20870793003417656,0.10156121722895918,0.18233024766648814,0.4866188707459665,0.020556777234693287
same_geometry_penultimate_plus_terminal,0,test,4,1.0,15,0.28209871209106024,0.1379695750303688,0.24605706600171903,0.48908261228017524,0.02797833278614281
same_geometry_penultimate_plus_terminal,1,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_plus_terminal,1,validation,1,0.25,4,0.07458214772181353,0.037586647107594746,0.06441848118364445,0.5039630562502766,0.007859876482626354
same_geometry_penultimate_plus_terminal,1,validation,2,0.5,8,0.1407488833293331,0.07304048125439681,0.12031349158170222,0.5189418169911308,0.015374754525176509
same_geometry_penultimate_plus_terminal,1,validation,3,0.75,11,0.20722806580802147,0.10785044802537254,0.17695127046523318,0.5204432498312582,0.022819172729763335
same_geometry_penultimate_plus_terminal,1,validation,4,1.0,15,0.2809272888391548,0.1441542335521446,0.2411217504986053,0.513137168510106,0.030532645326223996
same_geometry_penultimate_plus_terminal,1,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0
same_geometry_penultimate_plus_terminal,1,test,1,0.25,4,0.07431379451800618,0.03739824810315967,0.06421768521582633,0.5032477260207471,0.007831982324896116
same_geometry_penultimate_plus_terminal,1,test,2,0.5,8,0.14002290521414193,0.07270616888738506,0.11966715084068652,0.5192448248105763,0.01533078959466618
same_geometry_penultimate_plus_terminal,1,test,3,0.75,11,0.20597575713036734,0.10743692784915203,0.1757365046305524,0.5215998685765356,0.022774715852001255
same_geometry_penultimate_plus_terminal,1,test,4,1.0,15,0.27921763600489546,0.14374720061733973,0.23937257689810795,0.5148213510940958,0.03050539656684407
same_geometry_penultimate_plus_terminal,2,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0
