epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004257848862211488,0.004257848862211488,0.007768936724270032,0.6189632663336782,0.619130492521001,0.4795668594296749,0.4790313408999483,0.13956363309132613,0.14009915162105274,0.15925925925925927,0.1037037037037037
2,0.0,warmup,0.004951529382905814,0.004951529382905814,0.008517340393617054,0.5994536835957952,0.6256042959664658,0.4516628287118992,0.4511587358088366,0.1739414672545666,0.17444556015762924,0.15555555555555556,0.1037037037037037
3,0.0,warmup,0.006179215138933376,0.006179215138933376,0.00973997958499602,0.6206482245506072,0.6562955114103002,0.4408789331731031,0.4403842323208777,0.21541657823719706,0.21591127908942248,0.18888888888888888,0.1037037037037037
4,0.0,warmup,0.007391670525101496,0.007391670525101496,0.010992003738699612,0.6530622862852297,0.6897693525273889,0.4361467166139801,0.43565373801714813,0.25362263591340883,0.2541156145102408,0.22962962962962963,0.1037037037037037
5,0.0,warmup,0.008521442934109285,0.008521442934109285,0.012170489788241376,0.6857813164942542,0.7217369119761634,0.4332196501204035,0.43272492708731697,0.28851726185575993,0.28901198488884644,0.27037037037037037,0.1037037037037037
6,0.020000000000000004,hybrid,0.009685868922109455,0.009424971059002096,0.013044893155367882,0.712137933875548,0.7387643416222338,0.4304664231303787,0.42996942993224424,0.3082979184918551,0.30879491168998957,0.2814814814814815,0.1037037037037037
7,0.04000000000000001,hybrid,0.010137389407529606,0.0096134966430416,0.01309731911220018,0.7150501633690023,0.7221756520151034,0.43020327215952214,0.4297008565655615,0.2919723798555812,0.29247479544954186,0.28888888888888886,0.1037037037037037
8,0.06,hybrid,0.009578676839750663,0.008852243915097915,0.0121072154108791,0.6866171233432345,0.6784477918544415,0.42766184634271664,0.42715520190114764,0.25078594551172484,0.25129258995329384,0.3074074074074074,0.1037037037037037
9,0.08000000000000002,hybrid,0.008411912049586596,0.007568667739358945,0.010540553877845613,0.6411214423042465,0.628760436962184,0.4269132634768427,0.42640082458827105,0.20184717348534126,0.20235961237391292,0.3037037037037037,0.1037037037037037
10,0.1,hybrid,0.007169782979700931,0.006272744838378713,0.008970381413222187,0.5954252856616872,0.5815791612002598,0.42233552355286375,0.4218224485155986,0.15924363764739602,0.15975671268466118,0.34074074074074073,0.1037037037037037
11,0.12,hybrid,0.006120327669186482,0.0052012402508735765,0.0076590618192742144,0.5563303881827237,0.5464127206008916,0.4209014082868195,0.4203834301879278,0.12551131231407214,0.12602929041296385,0.32592592592592595,0.1037037037037037
12,0.13999999999999999,hybrid,0.005303793388541934,0.004373280332566287,0.006646521828397476,0.5257905819516593,0.5191522680119497,0.4174778510714551,0.41695733619751363,0.10167441694049462,0.10219493181443606,0.37777777777777777,0.1037037037037037
13,0.16000000000000003,hybrid,0.0046842101455920925,0.0037426352047175426,0.005884843380465939,0.5011784652467612,0.4975258183052758,0.4159221615744488,0.41539684747071026,0.08160365673082703,0.08212897083456555,0.34444444444444444,0.1037037037037037
14,0.18000000000000002,hybrid,0.004219138015294154,0.0032636300508170507,0.005308377580428349,0.48134276357141104,0.48061866402848114,0.41377727466538616,0.4132476833926425,0.06684138936309497,0.06737098063583863,0.42962962962962964,0.1037037037037037
15,0.2,hybrid,0.0038900487793389503,0.0029133327220634522,0.0048835802863774905,0.46789401112195855,0.46685610320430276,0.41207869850537365,0.41154363036461905,0.05477740469892911,0.05531247283968371,0.4222222222222222,0.1037037037037037
16,0.2,hybrid,0.003556809519368021,0.002645577001483618,0.0045561625894220146,0.45512335203458243,0.45549069858102553,0.4083222824795999,0.40778444554950016,0.047168416101425636,0.04770625303152537,0.45555555555555555,0.1037037037037037
17,0.2,hybrid,0.0033105927801465643,0.0024492932456221003,0.004306497672622322,0.4443532305843358,0.4452543879512731,0.40604780939815505,0.4055051129627046,0.03920657855311804,0.039749274988568506,0.5222222222222223,0.1037037037037037
18,0.2,hybrid,0.0031089370533862416,0.002288520385639704,0.004102083338732685,0.4363387954774183,0.43714729902553184,0.4035593182671124,0.40301055290932936,0.033587980758419456,0.03413674611620249,0.6111111111111112,0.1037037037037037
19,0.2,hybrid,0.0029408767387789406,0.002155572165804448,0.003926522864872464,0.42807138000966544,0.42968526125523443,0.40148416910960416,0.4009308868190404,0.02820109214563027,0.028754374436194052,0.562962962962963,0.1037037037037037
20,0.2,hybrid,0.00280798651299567,0.0020494928339055583,0.003792468395450559,0.4214492369990238,0.42224259419550997,0.39842426802393427,0.3978656535253394,0.0238183261715757,0.024376940670170544,0.48148148148148145,0.1037037037037037
21,0.2,hybrid,0.0027010569654418518,0.0019650653000015464,0.003679958327201526,0.41488783119799005,0.4168261474178559,0.39642309148381466,0.39585890979365995,0.020403055934041237,0.020967237624195945,0.5037037037037037,0.1037037037037037
22,0.2,hybrid,0.0026177865643170657,0.0018981428224060675,0.0035982187095549914,0.40975487027113544,0.41182151098002934,0.3954277919249059,0.39485632976030877,0.016393719055123435,0.01696518121972057,0.5222222222222223,0.1037037037037037
23,0.2,hybrid,0.0025506751610791414,0.001843019640396298,0.0035382776034142186,0.4042646856049689,0.40673113266201755,0.3926834225279964,0.3921063537380152,0.014047710134021174,0.014624778924002324,0.4962962962962963,0.1037037037037037
24,0.2,hybrid,0.002495997529683534,0.0017991776489839878,0.003484099403497727,0.3995415500293096,0.40164458115380053,0.38973957500441125,0.3891572576498034,0.011905006149389274,0.012487323503997116,0.5888888888888889,0.1037037037037037
25,0.2,hybrid,0.002450945036057485,0.0017622603661859412,0.003443423349357716,0.3944481133153773,0.39574344179602583,0.3860100787783356,0.385423873882842,0.009733363017690233,0.010319567913183836,0.6259259259259259,0.1037037037037037
26,0.2,hybrid,0.002421604458512534,0.0017377761057915699,0.003419141763604819,0.3906554586472847,0.39424265931421587,0.3866133221584356,0.38601737109593837,0.007629337155780291,0.008225288218277504,0.5962962962962963,0.1037037037037037
27,0.2,hybrid,0.0023894126198563737,0.001711186660629318,0.003391129796135278,0.38623427317493225,0.38802347509310936,0.3820884486103056,0.3814890269674679,0.005935026482803751,0.006534448125641468,0.6074074074074074,0.1037037037037037
28,0.2,hybrid,0.0023668773925212133,0.0016922858848842127,0.0033729575381850016,0.3823581078223568,0.38488656451370723,0.3805785325305644,0.3799720186832965,0.004308031983142835,0.0049145458304107326,0.562962962962963,0.1037037037037037
29,0.2,hybrid,0.0023486663855732367,0.0016774381282136561,0.0033561412867978988,0.37880686551781517,0.3800553516607424,0.37700083030587633,0.3763897475560705,0.0030545213548660577,0.0036656041046718713,0.6185185185185185,0.1037037037037037
30,0.2,hybrid,0.002333277456105871,0.0016649298793303276,0.003341737883877716,0.3750966651719981,0.3780401316710713,0.37572897865982224,0.37511035628788186,0.0023111530112490675,0.002929775383189448,0.6296296296296297,0.1037037037037037
31,0.2,hybrid,0.0023182157534962513,0.0016534588421320395,0.00332378455682106,0.3718736147512066,0.37370685074831195,0.37310475724818715,0.37248006193360655,0.0006020935001248007,0.001226788814705393,0.6370370370370371,0.1037037037037037
32,0.2,hybrid,0.0023037408278383325,0.0016421234652590141,0.003308086812896593,0.3679209538163714,0.36978000127163685,0.37030091890169337,0.36967070852352235,-0.0005209176300565166,0.00010929274811449785,0.6148148148148148,0.1037037037037037
33,0.2,hybrid,0.002292761177353218,0.001633798904068132,0.0032948113664254325,0.36435453371926546,0.3661738380727111,0.36758445183783806,0.3669491791073676,-0.0014106137651269668,-0.0007753410346564849,0.7111111111111111,0.1037037037037037
34,0.2,hybrid,0.002280969404846113,0.0016248461061440084,0.0032806164935105207,0.36186577178614066,0.3630152667988225,0.36503579341227815,0.3643946366968549,-0.002020526613455642,-0.0013793698980323899,0.7111111111111111,0.1037037037037037
35,0.2,hybrid,0.002272036369426773,0.0016194416734502282,0.003262973479882722,0.3584980666293646,0.3596765915412282,0.36311978266274664,0.36247184993642034,-0.0034431911215184186,-0.002795258395192124,0.6851851851851852,0.1037037037037037
36,0.2,hybrid,0.002260073290617595,0.0016110095573031225,0.003245318666572363,0.35580310243275365,0.35733738936601256,0.36182869407490564,0.3611734674018367,-0.004491304708893085,-0.003836078035824142,0.6444444444444445,0.1037037037037037
37,0.2,hybrid,0.002249572689951408,0.0016033916950261144,0.0032309049746264717,0.3527419284615939,0.35342975811091376,0.3588017124419497,0.3581412837216153,-0.005371954331035933,-0.004711525610701539,0.6777777777777778,0.1037037037037037
38,0.2,hybrid,0.0022368005832996154,0.0015946358477674615,0.0032108236776607706,0.34915691930005005,0.3512904642248439,0.35755119721959083,0.35688277708030813,-0.0062607329947469426,-0.005592312855464243,0.7222222222222222,0.1037037037037037
39,0.2,hybrid,0.0022266499568015696,0.001587761117434925,0.003194444196833222,0.3467111281982095,0.34848049067525205,0.35518341517939106,0.3545090600015458,-0.006702924504139007,-0.006028569326293753,0.6481481481481481,0.1037037037037037
40,0.2,hybrid,0.0022149534396364795,0.0015801015817079333,0.0031742592896427313,0.3438965063382299,0.3451177294785769,0.3525545314798819,0.3518747287203629,-0.007436802001305032,-0.006756999241786021,0.7148148148148148,0.1037037037037037
41,0.2,hybrid,0.0022039237734756646,0.0015730106068058344,0.003154565833349149,0.34079457628253973,0.342982941551901,0.3515385134645366,0.3508499025608827,-0.008555571912635562,-0.00786696100898171,0.7185185185185186,0.1037037037037037
42,0.2,hybrid,0.0021917564707332653,0.0015637550255794802,0.003140007225768926,0.33763577125864197,0.34042121534384384,0.3494520501432367,0.34875715662298656,-0.009030834799392873,-0.008335941279142722,0.7185185185185186,0.1037037037037037
43,0.2,hybrid,0.0021837980375939785,0.0015592672829924143,0.003122653773007822,0.335737980829337,0.3372807875601029,0.3472368179461978,0.3465361787242887,-0.009956030386094938,-0.009255391164185833,0.7,0.1037037037037037
44,0.2,hybrid,0.002171609495617366,0.0015504287878973244,0.0031059035386002075,0.33241752762638815,0.33475385819306674,0.3453706134325525,0.3446636276862817,-0.010616755239485742,-0.009909769493214982,0.6962962962962963,0.1037037037037037
45,0.2,hybrid,0.0021613107957020455,0.0015433000925679171,0.0030900535156706426,0.33012419121590303,0.3328208859125425,0.3438869016406142,0.34317193054938344,-0.011066015728071699,-0.010351044636840945,0.7481481481481481,0.1037037037037037
46,0.2,hybrid,0.0021531823848149156,0.0015392515800089442,0.003069654024029857,0.3272856125967324,0.33042307149633754,0.34240137018840305,0.3416792527764613,-0.011978298692065514,-0.011256181280123734,0.6962962962962963,0.1037037037037037
47,0.2,hybrid,0.0021460631934514572,0.0015338195887340366,0.003061218023587103,0.3250983529597866,0.3295319343504292,0.34238656006300366,0.341655965292921,-0.012854625712574452,-0.012124030942491815,0.7148148148148148,0.1037037037037037
48,0.2,hybrid,0.0021348792122602273,0.001526368403608708,0.003042554043257595,0.32301962353103053,0.3251575675757805,0.3379299743625395,0.3371962110783163,-0.012772406786759005,-0.012038643502535806,0.7111111111111111,0.1037037037037037
49,0.2,hybrid,0.0021268991608775385,0.001521386054389106,0.003027565532442162,0.32082366406147494,0.3231519901765743,0.3368561805253106,0.3361144264164842,-0.013704190348736267,-0.012962436239909891,0.7296296296296296,0.1037037037037037
50,0.2,hybrid,0.002118792363313951,0.0015160111636220437,0.0030139059984595367,0.31910013667240084,0.320986887002894,0.33508351758941624,0.33433431278045905,-0.014096630586522219,-0.013347425777565036,0.725925925925926,0.1037037037037037
51,0.2,hybrid,0.0021108694660716886,0.001511107833872213,0.002998808160997375,0.3155911391913152,0.3182769365344721,0.332981791294711,0.33222729215175156,-0.014704854760238917,-0.013950355617279475,0.7481481481481481,0.1037037037037037
52,0.2,hybrid,0.00210204113011257,0.0015049402713019338,0.0029855042940531784,0.3137588011929989,0.3167083681755756,0.3317055949447926,0.33094330635274666,-0.014997226769216998,-0.01423493817717103,0.7444444444444445,0.1037037037037037
53,0.2,hybrid,0.0020952177891583644,0.0015006792101061404,0.0029726928952611186,0.31207324232701367,0.31458909181967804,0.33046939134543074,0.329698926430816,-0.015880299525752706,-0.015109834611137962,0.7407407407407407,0.1037037037037037
54,0.2,hybrid,0.002089511609642555,0.0014972713098891036,0.002961201498767256,0.3095802322633674,0.3124048323171267,0.3287896012278256,0.32801249221644313,-0.0163847689106989,-0.01560765989931645,0.7481481481481481,0.1037037037037037
55,0.2,hybrid,0.002081780620944762,0.0014924910071098616,0.0029464480691745037,0.3082882151512811,0.3107430948400765,0.32726849964527305,0.32648473426025726,-0.016525404805196542,-0.015741639420180753,0.7222222222222222,0.1037037037037037
56,0.2,hybrid,0.0020769295206959073,0.0014896396498618638,0.002936449354170218,0.3061035930435806,0.30870533620733975,0.32568532124978544,0.32489410877862873,-0.01697998504244569,-0.01618877257128898,0.7518518518518519,0.1037037037037037
57,0.2,hybrid,0.0020710923697750835,0.001486077498028974,0.002925074358730546,0.30450767785726207,0.30737958017108086,0.32480600659969067,0.32400681780979496,-0.01742642642860981,-0.0166272376387141,0.7185185185185186,0.1037037037037037
58,0.2,hybrid,0.0020632804552537802,0.0014812833763314934,0.0029099853946114316,0.30171335960981877,0.30534456399455956,0.32343165803292295,0.322624829481472,-0.018087094038363394,-0.017280265486912416,0.7407407407407407,0.1037037037037037
59,0.2,hybrid,0.0020583491680467502,0.0014780585178659775,0.0029014532509038632,0.3005643848503533,0.3036640989185559,0.3221682411340534,0.32135363503984593,-0.01850414221549751,-0.01768953612129004,0.7407407407407407,0.1037037037037037
60,0.2,hybrid,0.0020521275319286096,0.0014741355348008287,0.002889959985638902,0.29826385241976006,0.30156712442200506,0.31998405336812097,0.3191651882647349,-0.018416928946115907,-0.017598063842729827,0.7444444444444445,0.1037037037037037
