epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,4.869842231053112e-06,4.869842231053112e-06,9.223997742149616e-06,0.4969422812660861,0.4806600444069811,-0.00034099755800615084,-1.7762985448603467e-06,0.480677743842455,-0.0003232981225322895,-1.6957019112640189e-06,0.1,0.09620020839299745
2,transition,0.1,5.7389471335735345e-06,4.8098396733404364e-06,9.291074602330992e-06,0.4749511493592363,0.4655001809975133,-0.0003199664529688895,-1.7010189506585366e-06,0.4655072227671442,-0.0003129246833379895,-1.6714990438556829e-06,0.1,0.09316402949009643
3,hybrid,0.1,5.6613426696993434e-06,4.732251351830606e-06,9.290913178687362e-06,0.46309297126183946,0.45720659482281584,-0.0003083996590191318,-1.6597910286968555e-06,0.45720806410267223,-0.0003069303791627398,-1.6572243778209712e-06,0.1,0.09150299889636698
4,hybrid,0.1,5.584828045440003e-06,4.6572259584063e-06,9.276020870337038e-06,0.45650792482873986,0.4524606810505257,-0.0003012224086291204,-1.63408405508313e-06,0.4524592306407959,-0.00030267281835894,-1.6454703999000374e-06,0.1037037037037037,0.09055238069183097
5,hybrid,0.1,5.4838722448863436e-06,4.563044507448226e-06,9.208277374381177e-06,0.4526700273982319,0.4495721520491442,-0.00029746148773074355,-1.6220004657575382e-06,0.4495692427627943,-0.0003003707740806272,-1.6400687780955688e-06,0.13703703703703704,0.08997392270737499
6,hybrid,0.1,5.387947791825322e-06,4.474466044431833e-06,9.134817473934891e-06,0.45025080078623303,0.44767276339248496,-0.00029499696504120543,-1.6139365590369477e-06,0.44766913151041615,-0.00029862884711001625,-1.6350423799613774e-06,0.17037037037037037,0.08959355207150524
7,hybrid,0.1,5.284238386865451e-06,4.380435709788925e-06,9.03802677076526e-06,0.4485458914355521,0.4462682788139903,-0.00029343382955343555,-1.6086865494453892e-06,0.4462639847042425,-0.00029772793930121777,-1.632746782922746e-06,0.18518518518518517,0.08931234252870873
8,hybrid,0.1,5.181531506925939e-06,4.287941751167792e-06,8.93589755758148e-06,0.4472453401599707,0.4451361308309528,-0.00029255375649944737,-1.6057678534071417e-06,0.4451316314040763,-0.00029705318337597264,-1.6304681768459204e-06,0.2111111111111111,0.08908573691749044
9,hybrid,0.1,5.076826512942198e-06,4.195554624839161e-06,8.812718881030363e-06,0.4461794095209825,0.4441407129033144,-0.00029213233483088574,-1.604278053993994e-06,0.44413602243815814,-0.000296822799987162,-1.629659878513303e-06,0.2222222222222222,0.08888656904762905
10,hybrid,0.1,4.97696778824486e-06,4.106296666226541e-06,8.706711220183178e-06,0.44520693372202613,0.4432214912421514,-0.0002923571838394645,-1.6054264406788665e-06,0.44321697487357925,-0.00029687355241159175,-1.6295989046725805e-06,0.23333333333333334,0.08870276968519816
11,hybrid,0.1,4.875398951793823e-06,4.015949318172208e-06,8.59449633621614e-06,0.44435569968295263,0.44234112280478866,-0.00029264317268695716,-1.606212284541587e-06,0.4423366138111187,-0.00029715216635689545,-1.6301226304081843e-06,0.24814814814814815,0.08852675319549512
12,hybrid,0.1,4.779570479142574e-06,3.9316257081365115e-06,8.479447710060627e-06,0.4434882390325143,0.4414881618804233,-0.000293191139352722,-1.6077644859657022e-06,0.4414837490231676,-0.00029760399660838655,-1.630989314658105e-06,0.26666666666666666,0.08835627060395519
13,hybrid,0.1,4.686006084772741e-06,3.850156777335677e-06,8.35849307437064e-06,0.44263237593166116,0.44064506251238195,-0.00029407890185362273,-1.6105549098600121e-06,0.44064083885583344,-0.0002983025584021304,-1.6326348421725383e-06,0.2777777777777778,0.08818782828284712
14,hybrid,0.1,4.6082859985869555e-06,3.7814162769703458e-06,8.268697216166108e-06,0.4418660003690622,0.4398154293444032,-0.0002947512931127938,-1.6117537346969663e-06,0.4398113972761347,-0.0002987833613812829,-1.6326587619215323e-06,0.29259259259259257,0.0880220361275032
15,hybrid,0.1,4.524191031382544e-06,3.708631093837194e-06,8.155599375453494e-06,0.44103725130138455,0.4389918402718987,-0.00029596171732254595,-1.6152641889151875e-06,0.43898814848729256,-0.0002996535019286761,-1.634230116333979e-06,0.3074074074074074,0.08785756039784426
16,hybrid,0.1,4.4466119325981836e-06,3.6402379415126012e-06,8.063739910855821e-06,0.44021333474309143,0.43817373049750263,-0.00029635639965563954,-1.6140076085573542e-06,0.4381701513366991,-0.0002999355604591525,-1.6322836665508614e-06,0.32592592592592595,0.08769401737943165
17,hybrid,0.1,4.367981793499285e-06,3.5715772614580198e-06,7.964045320412649e-06,0.4393771901748851,0.4373625378163883,-0.00029710168966318173,-1.6141430437327173e-06,0.4373590807220787,-0.0003005587839727819,-1.6316864203207962e-06,0.337037037037037,0.0875319279012103
18,hybrid,0.1,4.302825260406377e-06,3.515347039752543e-06,7.874782206538329e-06,0.43857985850003206,0.4365615427857011,-0.0002980372752344196,-1.6148032298852078e-06,0.4365582315932208,-0.0003013484677146794,-1.6314880669148846e-06,0.34444444444444444,0.0873719160121871
19,hybrid,0.1,4.231894110081955e-06,3.4529504409471434e-06,7.789436691348112e-06,0.43781625144784186,0.43576168554059713,-0.00029869212246680377,-1.6137714467085427e-06,0.43575831802803083,-0.00030205963503310285,-1.6306860387953757e-06,0.35185185185185186,0.08721207553261279
20,hybrid,0.1,4.161850148566517e-06,3.3927301363096073e-06,7.691200122569096e-06,0.43703495364479295,0.4349640515091203,-0.00030020920628870407,-1.6167633461159649e-06,0.43496087630528485,-0.0003033844101241745,-1.6325951807060173e-06,0.3592592592592593,0.0870528521430818
21,hybrid,0.1,4.108678749396844e-06,3.3451722880685652e-06,7.63506461328279e-06,0.43621221459087406,0.43417113407539787,-0.0003011357976563933,-1.6164964092396346e-06,0.4341681583196975,-0.0003041115533567451,-1.6311603910706626e-06,0.36666666666666664,0.08689445397461085
22,hybrid,0.1,4.046830628740468e-06,3.2927021418547014e-06,7.541284868857671e-06,0.4354862924876171,0.433383425300455,-0.00030228986746200226,-1.617070017651299e-06,0.43338063021318923,-0.0003050849547277523,-1.6307012716895047e-06,0.3851851851851852,0.0867371430335834
23,hybrid,0.1,3.993798769185213e-06,3.247241673841178e-06,7.465570953440349e-06,0.4346603910800811,0.4326002090689035,-0.0003041926832563213,-1.6210394115964808e-06,0.4325977349970642,-0.00030666675509560815,-1.6329275523434728e-06,0.4,0.08658088035043197
24,hybrid,0.1,3.938637888890577e-06,3.199331475683836e-06,7.393064132067421e-06,0.433931664761637,0.4318260394174978,-0.00030543181034803357,-1.6212809635229722e-06,0.4318234351524948,-0.00030803607535107025,-1.6338094308755052e-06,0.4111111111111111,0.08642629424556916
25,hybrid,0.1,3.89270133068949e-06,3.16043558467117e-06,7.322657460183201e-06,0.433184105315039,0.43105390217242623,-0.0003066190919990275,-1.6212669299813908e-06,0.4310513358889733,-0.0003091853754519369,-1.6335031831221387e-06,0.4111111111111111,0.08627210425288505
26,hybrid,0.1,3.850942543330105e-06,3.123819940640297e-06,7.271226026898088e-06,0.4324564649651882,0.4302904909797608,-0.0003078810731553805,-1.6212978329978919e-06,0.43028801243775733,-0.0003103596151588506,-1.632991691016307e-06,0.4222222222222222,0.08611967441058323
27,hybrid,0.1,3.8017759188556895e-06,3.0813850923246537e-06,7.203908265310355e-06,0.43169260190385056,0.4295270242708106,-0.00030925745084281475,-1.621772266333771e-06,0.42952474622123926,-0.0003115355004141285,-1.6323259021158146e-06,0.4222222222222222,0.08596725634433068
28,hybrid,0.1,3.761459721895146e-06,3.0475970628120776e-06,7.138626590830684e-06,0.4308911809327814,0.4287724676595296,-0.0003106073648598273,-1.6216126341072256e-06,0.42877000630623413,-0.0003130687181552849,-1.6330910020777973e-06,0.43703703703703706,0.08581661500487787
29,hybrid,0.1,3.7195086036761022e-06,3.0120452869416028e-06,7.0746331673449895e-06,0.43022923441915956,0.4280157175632125,-0.0003126661691191801,-1.6249915784399187e-06,0.4280134798929742,-0.0003149038393574499,-1.6352734723133104e-06,0.4444444444444444,0.08566567674646633
30,hybrid,0.1,3.6850991598015864e-06,2.9821515085521667e-06,7.029476512494198e-06,0.42943207883281864,0.42726266992400835,-0.00031448649718679444,-1.6269405281844288e-06,0.42726074733910635,-0.0003164090820887977,-1.63552745404376e-06,0.4444444444444444,0.08551543128423904
31,hybrid,0.1,3.6491925388792545e-06,2.9522747691441777e-06,6.96917769735077e-06,0.4286977894039657,0.4265209475492267,-0.0003159918964721342,-1.6271023902880374e-06,0.42651882253573037,-0.00031811690996846886,-1.636693460765952e-06,0.45925925925925926,0.08536738788913976
32,hybrid,0.1,3.6181540270076573e-06,2.9256063468144433e-06,6.925476801932139e-06,0.42801179670392564,0.4257828516346163,-0.000317736051329065,-1.6283529668376616e-06,0.4257807384350905,-0.0003198492508548756,-1.637834023472082e-06,0.4666666666666667,0.08522011753718908
33,hybrid,0.1,3.585646800890143e-06,2.8986810338425505e-06,6.869657670475923e-06,0.4273248514380289,0.4250502289280432,-0.00031981813484299737,-1.6310760047357202e-06,0.4250482044626802,-0.0003218426002059571,-1.6400612232018736e-06,0.4703703703703704,0.08507400941257724
