seed,run_id,run_summary_path,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_report_output_mse,test_report_output_mse,val_transported_final_energy,runtime_proxy_seconds,val_preterminal_hidden_gap_rowspace,val_terminal_hidden_gap_rowspace,val_preterminal_rowspace_share,val_terminal_rowspace_share,val_preterminal_output_gap,val_terminal_output_gap,val_preterminal_output_share,val_terminal_output_share,val_preterminal_centroid_rowspace_gap,val_terminal_centroid_rowspace_gap,val_preterminal_centroid_share,val_terminal_centroid_share,test_preterminal_hidden_gap_rowspace,test_terminal_hidden_gap_rowspace,test_preterminal_rowspace_share,test_terminal_rowspace_share,test_preterminal_output_gap,test_terminal_output_gap,test_preterminal_output_share,test_terminal_output_share,test_preterminal_centroid_rowspace_gap,test_terminal_centroid_rowspace_gap,test_preterminal_centroid_share,test_terminal_centroid_share
0,adopted_s0,tf2_runs/tf2/adopted_s0/summary.json,53,0.774074074074074,0.8037037037037037,11,True,False,0.06320277364531794,0.06274214890460197,0.3137282688131667,16.233945899999526,0.10687182625722676,0.14641771874107942,0.729910472421822,0.2700895275781779,0.02110988536644754,0.02890819744649987,0.7302387291879893,0.26976127081201073,0.10144753983004708,0.13918566419323006,0.728864861320836,0.271135138679164,0.10625688510368479,0.145162582375685,0.7319853598959054,0.26801464010409465,0.021018349320740766,0.02871174704853713,0.7320470358424831,0.26795296415751696,0.10070221466994347,0.13779945457200868,0.7307881949367251,0.2692118050632749
1,adopted_s1,tf2_runs/tf2/adopted_s1/summary.json,56,0.8629629629629629,0.8333333333333334,23,True,False,0.05881460861610098,0.059407377548759153,0.2883009074387914,15.598166899997523,0.11689192492751481,0.15597799093227577,0.7494129410749253,0.2505870589250747,0.023642758159278018,0.031570268325242665,0.7488931647873882,0.2511068352126118,0.11020836670103241,0.14699605519668116,0.749736899766278,0.25026310023372195,0.11678789696110145,0.15594936227247427,0.7488834533164039,0.25111654668359606,0.023651852859616764,0.03160889515305186,0.7482657253628544,0.2517342746371456,0.11009796426674077,0.14695003827752137,0.7492203850863659,0.2507796149136341
2,adopted_s2,tf2_runs/tf2/adopted_s2/summary.json,51,0.7962962962962963,0.8222222222222222,18,True,False,0.06305214040572814,0.06270885437346925,0.3111068208914448,17.150765900001716,0.12270663044860616,0.16463456848443525,0.74532725161063,0.25467274838937004,0.02451825080173904,0.03288070613999569,0.7456728787194549,0.25432712128054513,0.11807440843387589,0.15849291866576365,0.7449822328206097,0.25501776717939034,0.12357864620547274,0.1658863197417711,0.7449598399545116,0.25504016004548835,0.024575056933643574,0.03298314228010864,0.7450793112718134,0.2549206887281866,0.11871941914360677,0.1593939171356178,0.7448177526285161,0.2551822473714839
3,adopted_s3,tf2_runs/tf2/adopted_s3/summary.json,54,0.8703703703703703,0.8518518518518519,13,True,False,0.059640845476171794,0.05924171795683644,0.2945268064645564,17.35425849999956,0.11482102875838875,0.15290771608757003,0.7509171655708395,0.2490828344291605,0.022873209679010294,0.030324683288660774,0.7542769519232938,0.24572304807670617,0.10808695378827454,0.14402825723837134,0.750456583039724,0.24954341696027607,0.11311341447835921,0.1506308278838342,0.7509313735272819,0.24906862647271807,0.022539863402734246,0.029871642730343574,0.7545572102011746,0.2454427897988254,0.10692529880210552,0.14242629286603042,0.7507412897608872,0.24925871023911284
4,adopted_s4,tf2_runs/tf2/adopted_s4/summary.json,60,0.8740740740740741,0.8592592592592593,19,True,False,0.058992928117672955,0.05840439044333632,0.286513578402705,17.386578099998587,0.11062317385057492,0.1481421455651277,0.746736679346538,0.25326332065346197,0.023606012065575357,0.03157770216138884,0.7475531925954781,0.25244680740452186,0.1050517990920849,0.14083537670549526,0.7459191117283097,0.25408088827169034,0.11050609688989758,0.14791672088129026,0.747083198109723,0.25291680189027693,0.023604875323878505,0.031549512003891465,0.7481851168083667,0.25181488319163325,0.10545950639587949,0.14131594911755124,0.746267544848422,0.253732455151578
