seed,split,knot_index,knot_time,slow_pc_step_index,hidden_state_rms_gap_to_slow_pc,output_state_rms_gap_to_slow_pc,hidden_state_rms_gap_rowspace,hidden_state_rms_gap_orthogonal,hidden_state_gap_rowspace_fraction,centroid_displacement_rms_rowspace,centroid_displacement_rms_total,transported_frozen_head_accuracy,slow_pc_frozen_head_accuracy,transported_frozen_head_output_mse,slow_pc_frozen_head_output_mse,transported_fisher_separability_ratio,slow_pc_fisher_separability_ratio,transported_nearest_centroid_accuracy,slow_pc_nearest_centroid_accuracy,transported_between_class_centroid_margin,slow_pc_between_class_centroid_margin,transported_mean_within_class_rms,slow_pc_mean_within_class_rms,transported_mean_true_class_margin,slow_pc_mean_true_class_margin
0,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774074074074074,0.774074074074074,0.06320277364531794,0.06320277364531794,1.4123081015280956,1.4123081015280956,0.8407407407407408,0.8407407407407408,0.3918866546544084,0.3918866546544084,0.5547366050865004,0.5547366050865004,0.08629402556149346,0.08629402556149346
0,validation,1,0.25,4,0.07148869756524924,0.0074642415769994586,0.037304394742506,0.060983735638864944,0.5218222741917699,0.03568222095898108,0.06657346987020515,0.8185185185185185,0.774074074074074,0.061058261525659914,0.06313411955162448,1.4701032882030096,1.413420421515415,0.8444444444444444,0.8407407407407408,0.40619182872943216,0.39227041979099875,0.558555100978555,0.5546427520130296,0.10194114854398126,0.08679469920042462
0,validation,2,0.5,8,0.13621153038221684,0.014095576246675325,0.07103762650600225,0.11622063770888245,0.521524325486006,0.06751503011596706,0.12569572046050065,0.825925925925926,0.774074074074074,0.058992990975820704,0.06306564881165626,1.5391145728256457,1.414532675933013,0.8518518518518519,0.8407407407407408,0.4363901294199008,0.3926562284864605,0.563592796462836,0.5545491430188401,0.1178867150239081,0.08729433067875232
0,validation,3,0.75,11,0.20232465182328652,0.02110988536644754,0.10687182625722676,0.17179545246559716,0.5282194991768491,0.10144753983004708,0.18614862599127646,0.8444444444444444,0.7777777777777778,0.057018055344741456,0.0630144157468602,1.6161778282166812,1.4153668161894128,0.8777777777777778,0.8407407407407408,0.48128648788842116,0.39294691199828036,0.5698417075463822,0.5544790960323336,0.13387821776916847,0.08766837168370234
0,validation,4,1.0,15,0.2743618919770443,0.02890819744649987,0.14641771874107942,0.23202650583043638,0.5336663837896631,0.13918566419323006,0.2528871841046452,0.8777777777777778,0.7777777777777778,0.05516971777538815,0.06294626453454936,1.6984094310115598,1.4164789258248667,0.8925925925925926,0.8407407407407408,0.536757625595655,0.39333624065044376,0.5772893292172115,0.5543859125069056,0.14975541664171943,0.08816618463390873
0,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037037037037037,0.8037037037037037,0.06274214890460197,0.06274214890460197,1.4780976763644336,1.4780976763644336,0.8444444444444444,0.8444444444444444,0.3454184466182204,0.3454184466182204,0.5370686428370997,0.5370686428370997,0.09165934446459122,0.09165934446459122
0,test,1,0.25,4,0.07132741991773528,0.007477337287970731,0.037366554002580855,0.0607564109711325,0.5238736245566876,0.03568838242177554,0.06665129457006433,0.825925925925926,0.8037037037037037,0.06059168056612333,0.06267409055987222,1.5353451974359993,1.4792305277926043,0.8555555555555555,0.8444444444444444,0.36842188174334756,0.3458361327409327,0.5408570192365643,0.5369787533615928,0.10808225958025248,0.09215594327980067
0,test,2,0.5,8,0.13557030922578378,0.014077547089544293,0.070886273801819,0.11556143357568817,0.522874619130376,0.06726064669851606,0.12557034742420617,0.8777777777777778,0.8037037037037037,0.05853695589961729,0.06260621393694929,1.6041150564219617,1.4803633163129082,0.8851851851851852,0.8444444444444444,0.40864849614012017,0.34625608263535507,0.5458015641314973,0.5368890991817109,0.1242932948280549,0.09265150906736377
0,test,3,0.75,11,0.20092667928403138,0.021018349320740766,0.10625688510368479,0.1705315361338493,0.5288341273658304,0.10070221466994347,0.18554427594040102,0.9148148148148149,0.8037037037037037,0.05658048734843879,0.06255542539201499,1.6812278390169872,1.4812128587202043,0.9,0.8444444444444444,0.4615043683867644,0.3465725138164021,0.5519009406428015,0.5368220125537306,0.14039443097491244,0.09302250678542227
0,test,4,1.0,15,0.2720170006216549,0.02871174704853713,0.145162582375685,0.23004580697162014,0.5336526101086962,0.13779945457200868,0.2515923543465935,0.9333333333333333,0.8074074074074075,0.05475014631375841,0.06248786545297604,1.7637475992986915,1.4823455064267095,0.9333333333333333,0.8444444444444444,0.5231528515889922,0.3469963580935854,0.5591497792771316,0.536732768519455,0.1558272104286889,0.09351599290963093
1,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8629629629629629,0.8629629629629629,0.05881460861610098,0.05881460861610098,1.6036220554164382,1.6036220554164382,0.9111111111111111,0.9111111111111111,0.41326458325333754,0.41326458325333754,0.5685751695918462,0.5685751695918462,0.12093030074274204,0.12093030074274204
1,validation,1,0.25,4,0.07549125124924808,0.008202533487376224,0.04088785403537316,0.06345953362229445,0.5416237426026292,0.03880149276165785,0.06972124562095797,0.9,0.8629629629629629,0.05630364165396108,0.05874993158597229,1.6750377414671804,1.6047341498189922,0.9222222222222223,0.9111111111111111,0.44195294634053583,0.41341284131491296,0.5717865121834487,0.5684603663109,0.1405118021764627,0.12142469805075083
1,validation,2,0.5,8,0.1419966839572044,0.015972795807204822,0.07926783294102924,0.11781200667026802,0.5582372118275616,0.07492618009204763,0.12958200356488075,0.9185185185185185,0.8703703703703703,0.05394059947553995,0.058685429834059354,1.7533048752419318,1.6058457851853714,0.9407407407407408,0.9111111111111111,0.4812094847521137,0.41356367435169894,0.5764557992791413,0.5683458679590779,0.15960251235702463,0.12191804845566252
1,validation,3,0.75,11,0.20834373719334956,0.023642758159278018,0.11689192492751481,0.17246272268067603,0.561053221480017,0.11020836670103241,0.18911540700517787,0.9296296296296296,0.8703703703703703,0.05172356896995049,0.05863716822010772,1.8359844988488945,1.6066792050821204,0.9481481481481482,0.9111111111111111,0.528406025522504,0.4136784770264102,0.582583020263374,0.5682601937747302,0.17819381261972606,0.12228731175516871
1,validation,4,1.0,15,0.28158828725490337,0.031570268325242665,0.15597799093227577,0.2344415276009796,0.5539221551181891,0.14699605519668116,0.2560944003502457,0.9518518518518518,0.8703703703703703,0.04967542185167584,0.058572971901118376,1.9209701651727078,1.6077900156449814,0.9592592592592593,0.9111111111111111,0.581411764052075,0.4138337685965886,0.5901621858680872,0.5681462269300225,0.19637796367437854,0.12277875454682617
1,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.059407377548759153,0.059407377548759153,1.5126259603578625,1.5126259603578625,0.8555555555555555,0.8555555555555555,0.431692218910298,0.431692218910298,0.5780585867418505,0.5780585867418505,0.1188494919113129,0.1188494919113129
1,test,1,0.25,4,0.07529759936357845,0.008195032051516319,0.040812321849261216,0.0632778227753633,0.5420135860135029,0.038723529827720045,0.06950359087079647,0.8814814814814815,0.8333333333333334,0.05687718503695399,0.05934172313926248,1.5821472564458903,1.5137541001911476,0.8851851851851852,0.8555555555555555,0.4635415274139594,0.43187638829562497,0.5816491245647102,0.5779427290064671,0.1380786185266114,0.11934646464629227
1,test,2,0.5,8,0.14143886980350512,0.01596707224755568,0.07915158004399038,0.11721766619342262,0.5596168871679492,0.07480625044698035,0.12893826395564092,0.9222222222222223,0.8333333333333334,0.05450024283820689,0.05927624706528707,1.6588835065889995,1.5148817578330893,0.9222222222222223,0.8555555555555555,0.5062686785602427,0.43206285810311673,0.5867145484785715,0.5778271805237406,0.15659114291152143,0.11984238975615533
1,test,3,0.75,11,0.20734746543396473,0.023651852859616764,0.11678789696110145,0.17132880243932236,0.5632472850182759,0.11009796426674077,0.18793947175560008,0.9296296296296296,0.8333333333333334,0.05227427430102026,0.059227256709673784,1.74021521223929,1.5157271790836184,0.9518518518518518,0.8592592592592593,0.5571698836638211,0.43220420882446714,0.5932653217814943,0.5777407215678224,0.17462409385291575,0.12021364742287712
1,test,4,1.0,15,0.2801929070279422,0.03160889515305186,0.15594936227247427,0.23278286353504987,0.5565785512797519,0.14695003827752137,0.25441164995497806,0.9481481481481482,0.8333333333333334,0.050221859389637594,0.05916209139305194,1.8238901171770523,1.516853970774596,0.9629629629629629,0.8592592592592593,0.6141124963146037,0.4323946592805086,0.6013061300764029,0.5776257121156042,0.19211380441475584,0.12070759914545927
2,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7962962962962963,0.7962962962962963,0.06305214040572814,0.06305214040572814,1.518109446113319,1.518109446113319,0.837037037037037,0.837037037037037,0.48991377666287506,0.48991377666287506,0.5545656842293697,0.5545656842293697,0.08124375946791705,0.08124375946791705
2,validation,1,0.25,4,0.07802281746616332,0.008413192812936654,0.042224940896990734,0.06560956036740287,0.5411870817828734,0.040723275308039084,0.07283049797784699,0.8407407407407408,0.7962962962962963,0.06036466426100508,0.06298539960674424,1.5868574300108182,1.5191804539618432,0.8592592592592593,0.837037037037037,0.50220751492581,0.49020909779735533,0.5579430439051177,0.5544677437483335,0.09997834630524124,0.08172989960843388
2,validation,2,0.5,8,0.15021594163255847,0.016447126186917935,0.08237599118017333,0.1256145899075431,0.5483838152256324,0.07930515222689191,0.1393948147067994,0.8629629629629629,0.7962962962962963,0.05782281961663963,0.06291883620899949,1.6684188855358086,1.5202514396131745,0.8777777777777778,0.837037037037037,0.5339609833301984,0.4905059484415986,0.5627250575279156,0.55437005223404,0.11850002365290373,0.08221503371295663
2,validation,3,0.75,11,0.22267232278046922,0.02451825080173904,0.12270663044860616,0.18581185693167881,0.5510636836962517,0.11807440843387589,0.20620530145106883,0.8962962962962963,0.7962962962962963,0.05542464452070518,0.06286902975654851,1.758977577647907,1.521054657150402,0.9222222222222223,0.837037037037037,0.5819025873973884,0.4907295810288986,0.5688881555394097,0.554296946565695,0.13691604909035043,0.08257822534205607
2,validation,4,1.0,15,0.29953803360736364,0.03288070613999569,0.16463456848443525,0.25023687265730826,0.5496282608980444,0.15849291866576365,0.2777239761513228,0.9185185185185185,0.7962962962962963,0.05318903535162648,0.06280277551754192,1.8551181220149848,1.5221255754847058,0.9518518518518518,0.837037037037037,0.6423562953073109,0.4910290718312031,0.5764159024941904,0.554199689076556,0.15506095059128958,0.0830616039275909
2,test,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222222222222222,0.8222222222222222,0.06270885437346925,0.06270885437346925,1.5099729013413923,1.5099729013413923,0.8333333333333334,0.8333333333333334,0.4084375840053266,0.4084375840053266,0.561280690887191,0.561280690887191,0.08440823666351738,0.08440823666351738
2,test,1,0.25,4,0.07824520841246141,0.008418513392165053,0.04245364010552031,0.06572671512635087,0.542571755726311,0.04090344932142064,0.07283243503798202,0.8518518518518519,0.8222222222222222,0.06000166787439662,0.06264260951177827,1.5754245672228289,1.5110419377859625,0.8555555555555555,0.8333333333333334,0.4432970921314764,0.40905993761626597,0.5653904885538075,0.5611845322708795,0.103012749459116,0.08489282462379477
2,test,2,0.5,8,0.15081901442206658,0.016471258503531278,0.08290064049650778,0.12599150335047318,0.5496696873015664,0.079704608304637,0.13950925137055525,0.8814814814814815,0.8222222222222222,0.0574373142136993,0.06257654064180719,1.6530430003913996,1.512110842489746,0.8814814814814815,0.8333333333333334,0.4923449782501485,0.40968324115206245,0.5709455462864395,0.5610886180159026,0.12137124621630423,0.08537640969641927
2,test,3,0.75,11,0.22376159643900675,0.024575056933643574,0.12357864620547274,0.18654106851563684,0.5522781753979753,0.11871941914360677,0.20649157547937724,0.9074074074074074,0.825925925925926,0.05501496523882337,0.0625271041629128,1.739088082910736,1.5129124278400512,0.9148148148148149,0.8333333333333334,0.5520339933455102,0.4101513290772281,0.5779284018406445,0.5610168422771109,0.1395375679560321,0.08573844161382471
2,test,4,1.0,15,0.301151204046549,0.03298314228010864,0.1658863197417711,0.2513439408882121,0.550840632588439,0.1593939171356178,0.2781725473727296,0.9185185185185185,0.825925925925926,0.05275469383534945,0.06246134199590217,1.830257049241302,1.513981075172002,0.937037037037037,0.8333333333333334,0.619567645159543,0.4107762426877146,0.5863288897183285,0.5609213540172598,0.1574004031543491,0.08622027666159153
3,validation,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8703703703703703,0.8703703703703703,0.059640845476171794,0.059640845476171794,1.4998989575832182,1.4998989575832182,0.8962962962962963,0.8962962962962963,0.5376912367614279,0.5376912367614279,0.5668218531409492,0.5668218531409492,0.10623218068383018,0.10623218068383018
3,validation,1,0.25,4,0.07490564065034143,0.007925341095745105,0.039350382479653764,0.06373697827747281,0.5253327004215991,0.03711152123121551,0.06887024702326264,0.8962962962962963,0.8703703703703703,0.057154253585927337,0.059572476797798264,1.5635045862449681,1.5010809538179735,0.9037037037037037,0.8962962962962963,0.5754116553452138,0.5382317373032338,0.5707994823345777,0.5667088568385278,0.1250248529855847,0.10674448337696797
3,validation,2,0.5,8,0.1435830156949648,0.01545354324405305,0.07716353268986445,0.12108621564356833,0.5374140689020954,0.07265414167332983,0.1309287090908577,0.9259259259259259,0.8740740740740741,0.05481818997814929,0.05950429559998385,1.634549095202923,1.5022624197868455,0.9222222222222223,0.8962962962962963,0.6206808598533063,0.5387729039398359,0.5762675116692675,0.5665961577633581,0.1428312874466215,0.1072555951944355
