target_snapshot_mode,candidate_key,psi_family,time_encoding_variant,seed,epoch,mean_relative_bootstrap_target_delta,mean_relative_identity_target_delta,mean_bootstrap_target_cosine_similarity,mean_identity_target_cosine_similarity
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,1,0.1778001005728415,0.0038802396704040593,0.9827232749745978,0.9999896313766768
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,2,0.21264045590174724,0.004639542885481194,0.9777977411870478,0.9999862732683417
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,3,0.2469466031087288,0.0055667844629947675,0.9708043947617047,0.9999805663613113
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,4,0.26689532873724764,0.006098134778469312,0.9665210580261314,0.999977139078009
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,5,0.23878541578072357,0.005415214849394707,0.9726657873418316,0.9999819850288381
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,6,0.19114819351157403,0.004387344940100039,0.9822265542639277,0.9999882545091001
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,7,0.1436073446912725,0.0033022654087219204,0.9898310569827441,0.9999933859721661
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,8,0.11837886863416806,0.0027840772409054443,0.993181488755611,0.9999953176213925
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,9,0.09888555689409298,0.002382063346681343,0.9952847715366785,0.9999966470792918
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,10,0.08325234972409307,0.002122981697032345,0.9966666948288945,0.9999973863078548
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,11,0.0757230942076923,0.001979853123347213,0.9972514840913778,0.9999977637215194
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,12,0.07513164496232422,0.002000069920769305,0.9973123703281036,0.9999976813623566
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,13,0.0668621109622214,0.001830819189073117,0.9978959992090672,0.9999981324581034
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,14,0.06612616193038019,0.0019211407534881122,0.9979355682695281,0.9999978891809977
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,15,0.07282592999057907,0.002030744896327029,0.9974423732476076,0.9999975083102969
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,16,0.06399416245068626,0.0018291541760900687,0.9980363520505297,0.9999980550688339
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,17,0.0665161720060139,0.0018956344871865053,0.9978828310079392,0.9999978972975118
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,18,0.0656034839601754,0.0019248861010938193,0.9979586117160227,0.9999978604182947
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,19,0.07273621074999156,0.0022103914959703307,0.997494531828778,0.9999972268180235
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,20,0.06889017288584952,0.002015720580630428,0.9976691300667714,0.9999975317957471
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,21,0.06270593273886754,0.0018518398073165455,0.9981511561806332,0.9999980143939492
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,22,0.06024317813915773,0.00181735965619035,0.998307592962125,0.999998138378924
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,23,0.06928087140673793,0.00206086090137554,0.9977042132984583,0.999997506206455
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,24,0.07357892937939389,0.002216748271579622,0.9974842260923731,0.999997163713539
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,25,0.06853086501773642,0.0020125561107133738,0.9977837956605944,0.9999976009370151
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,26,0.06014383677395162,0.0018400017097308322,0.9982980289851422,0.9999980834376737
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,27,0.06237926451071372,0.0018902571146680435,0.9981574193418629,0.9999978923896299
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,28,0.0566616191867626,0.0016919440570518443,0.9985007953293227,0.999998367224738
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,29,0.06669975987534836,0.002073883495114353,0.9979398253898907,0.999997561104483
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,30,0.05753822008122651,0.0018134625133772006,0.9984291113888328,0.9999980821631208
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,31,0.06257487596023821,0.0019465405615830505,0.9981598223194201,0.9999978723497497
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,32,0.069231461603285,0.0021817220898950576,0.9977450851851414,0.9999972518345965
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,33,0.06783263316383044,0.0020979402046080687,0.9978579025474195,0.9999975328271773
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,34,0.06095286255849932,0.0019698651392064115,0.9982526401804588,0.9999977681371117
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,35,0.059134106868779866,0.0019426896552945303,0.9983743081143711,0.9999978339027316
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,36,0.059271940782890574,0.0020121377997845977,0.9983049739724456,0.9999976130563244
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,37,0.056014193134850634,0.0017947333568310423,0.9985619699132696,0.9999981834599916
lag1_target_snapshot,baseline_plain_raw,baseline_plain,raw,0,38,0.05716312032051744,0.0018241958779302125,0.9984358223904184,0.9999980964913645
