case_name,seed,run_id,run_summary_path,intervention_step_offsets,increment_mode,run_status,failure_kind,nan_incidence_flag,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,seed_gate_positive,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,val_terminal_rowspace_rms,val_terminal_rowspace_fraction,runtime_proxy_seconds
adopted_control_terminal_only,0,adopted_control_terminal_only_s0,runs/adopted_control_terminal_only/seed_0/summary.json,-1,live_successor_increment,success,,0.0,53,0.774074074074074,0.8037037037037037,11,1.0,1.0,0.0,0.3137282688131667,0.06320277364531794,0.14641771874107942,0.5336663837896631,18.280020800004422
adopted_control_terminal_only,1,adopted_control_terminal_only_s1,runs/adopted_control_terminal_only/seed_1/summary.json,-1,live_successor_increment,success,,0.0,56,0.8629629629629629,0.8333333333333334,23,1.0,1.0,0.0,0.2883009074387914,0.05881460861610098,0.15597799093227577,0.5539221551181891,19.450057399997604
adopted_control_terminal_only,2,adopted_control_terminal_only_s2,runs/adopted_control_terminal_only/seed_2/summary.json,-1,live_successor_increment,success,,0.0,51,0.7962962962962963,0.8222222222222222,18,1.0,1.0,0.0,0.3111068208914448,0.06305214040572814,0.16463456848443525,0.5496282608980444,19.651590499997837
adopted_control_terminal_only,3,adopted_control_terminal_only_s3,runs/adopted_control_terminal_only/seed_3/summary.json,-1,live_successor_increment,success,,0.0,54,0.8703703703703703,0.8518518518518519,13,1.0,1.0,0.0,0.2945268064645564,0.059640845476171794,0.15290771608757003,0.5324077082109361,20.864744999998948
adopted_control_terminal_only,4,adopted_control_terminal_only_s4,runs/adopted_control_terminal_only/seed_4/summary.json,-1,live_successor_increment,success,,0.0,60,0.8740740740740741,0.8592592592592593,19,1.0,1.0,0.0,0.286513578402705,0.058992928117672955,0.1481421455651277,0.5543285665615998,20.488256299999193
failed_penultimate_plus_terminal_live,0,failed_penultimate_plus_terminal_live_s0,runs/failed_penultimate_plus_terminal_live/seed_0/summary.json,"-2,-1",live_successor_increment,success,,0.0,50,0.825925925925926,0.8407407407407408,0,0.0,0.0,1.0,0.30528628947565317,0.05845800020994699,0.13922456555203275,0.4892853350584122,38.6553036999976
failed_penultimate_plus_terminal_live,1,failed_penultimate_plus_terminal_live_s1,runs/failed_penultimate_plus_terminal_live/seed_1/summary.json,"-2,-1",live_successor_increment,success,,0.0,56,0.8814814814814815,0.8592592592592593,0,0.0,0.0,1.0,0.2836394620279154,0.05643809337796557,0.1441542335521446,0.513137168510106,38.271765999998024
failed_penultimate_plus_terminal_live,2,failed_penultimate_plus_terminal_live_s2,runs/failed_penultimate_plus_terminal_live/seed_2/summary.json,"-2,-1",live_successor_increment,success,,0.0,55,0.825925925925926,0.8481481481481481,0,0.0,0.0,1.0,0.2969028387485867,0.058037326094064375,0.15003011803846464,0.4947764777572178,38.16573349999817
failed_penultimate_plus_terminal_live,3,failed_penultimate_plus_terminal_live_s3,runs/failed_penultimate_plus_terminal_live/seed_3/summary.json,"-2,-1",live_successor_increment,success,,0.0,58,0.8851851851851852,0.8851851851851852,0,0.0,0.0,1.0,0.27406517070332753,0.05385930324938435,0.13676706745205472,0.47100195449662774,38.428376600000774
failed_penultimate_plus_terminal_live,4,failed_penultimate_plus_terminal_live_s4,runs/failed_penultimate_plus_terminal_live/seed_4/summary.json,"-2,-1",live_successor_increment,success,,0.0,60,0.8666666666666667,0.8666666666666667,0,0.0,0.0,1.0,0.27671029356001736,0.05445298178477972,0.14247421826287965,0.5093642596330552,38.07675019999442
exact_cached_direction_live_magnitude_lower_bound,0,exact_cached_direction_live_magnitude_lower_bound_s0,runs/exact_cached_direction_live_magnitude_lower_bound/seed_0/summary.json,"-2,-1",exact_cached_direction_live_magnitude,success,,0.0,53,0.774074074074074,0.8037037037037037,11,1.0,1.0,0.0,0.3135599585116331,0.06314469539308279,0.14662792702486815,0.533810901032949,38.781768199994985
exact_cached_direction_live_magnitude_lower_bound,1,exact_cached_direction_live_magnitude_lower_bound_s1,runs/exact_cached_direction_live_magnitude_lower_bound/seed_1/summary.json,"-2,-1",exact_cached_direction_live_magnitude,success,,0.0,56,0.8666666666666667,0.8333333333333334,23,1.0,1.0,0.0,0.2883604978196376,0.05882909104246379,0.15591423243579222,0.5537159969971099,39.09048089999851
exact_cached_direction_live_magnitude_lower_bound,2,exact_cached_direction_live_magnitude_lower_bound_s2,runs/exact_cached_direction_live_magnitude_lower_bound/seed_2/summary.json,"-2,-1",exact_cached_direction_live_magnitude,success,,0.0,51,0.7962962962962963,0.8222222222222222,18,1.0,1.0,0.0,0.31111451091331477,0.06304893521011988,0.1646162741556736,0.5495905346943184,38.69868120000319
exact_cached_direction_live_magnitude_lower_bound,3,exact_cached_direction_live_magnitude_lower_bound_s3,runs/exact_cached_direction_live_magnitude_lower_bound/seed_3/summary.json,"-2,-1",exact_cached_direction_live_magnitude,success,,0.0,54,0.8703703703703703,0.8555555555555555,13,1.0,1.0,0.0,0.29448296231049,0.05962247364664593,0.15288859615220518,0.5322178366227642,39.074017099999764
exact_cached_direction_live_magnitude_lower_bound,4,exact_cached_direction_live_magnitude_lower_bound_s4,runs/exact_cached_direction_live_magnitude_lower_bound/seed_4/summary.json,"-2,-1",exact_cached_direction_live_magnitude,success,,0.0,60,0.8740740740740741,0.8629629629629629,19,1.0,1.0,0.0,0.2864627670611082,0.05897946275274901,0.14818536489940964,0.5543961913571694,39.03187770000659
trust_region_direction_30,0,trust_region_direction_30_s0,runs/trust_region_direction_30/seed_0/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,53,0.8037037037037037,0.8407407407407408,0,0.0,0.0,1.0,0.3044381803208057,0.05988247650728424,0.14283822360100487,0.509808138454983,40.1623929999987
trust_region_direction_30,1,trust_region_direction_30_s1,runs/trust_region_direction_30/seed_1/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,54,0.8777777777777778,0.8333333333333334,14,1.0,1.0,0.0,0.2877787538500636,0.05791244899159456,0.1477925114787518,0.5267273858683278,40.15641550000146
trust_region_direction_30,2,trust_region_direction_30_s2,runs/trust_region_direction_30/seed_2/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,58,0.8222222222222222,0.8296296296296296,0,0.0,0.0,1.0,0.29390084140511447,0.058780587472545866,0.15578651030650564,0.51707725181913,40.12126129999524
trust_region_direction_30,3,trust_region_direction_30_s3,runs/trust_region_direction_30/seed_3/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,50,0.8777777777777778,0.8703703703703703,0,0.0,0.0,1.0,0.29254743857547655,0.057920074064796476,0.14222100314089164,0.48735290442068724,40.06955569999991
trust_region_direction_30,4,trust_region_direction_30_s4,runs/trust_region_direction_30/seed_4/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,57,0.8777777777777778,0.8592592592592593,7,1.0,1.0,0.0,0.2846305797662097,0.057229653873502505,0.14299438428567102,0.5237824448705941,39.417731299996376
trust_region_direction_45,0,trust_region_direction_45_s0,runs/trust_region_direction_45/seed_0/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,59,0.8148148148148148,0.8518518518518519,0,0.0,0.0,1.0,0.28979073120571947,0.056380157957321625,0.14263930328919375,0.5053557070965844,38.907888199995796
trust_region_direction_45,1,trust_region_direction_45_s1,runs/trust_region_direction_45/seed_1/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,54,0.8777777777777778,0.8481481481481481,0,0.0,0.0,1.0,0.28721958858377394,0.05737668906331975,0.14481749148173048,0.5161575462592725,39.03901620000397
trust_region_direction_45,2,trust_region_direction_45_s2,runs/trust_region_direction_45/seed_2/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,57,0.8222222222222222,0.8444444444444444,0,0.0,0.0,1.0,0.294170606803734,0.058025467865461366,0.1520381677341216,0.5028740217833151,39.18064010000671
trust_region_direction_45,3,trust_region_direction_45_s3,runs/trust_region_direction_45/seed_3/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,58,0.8814814814814815,0.8740740740740741,0,0.0,0.0,1.0,0.2750969660393664,0.05439823754160856,0.13894552089634513,0.47853108969656705,39.102474999999686
trust_region_direction_45,4,trust_region_direction_45_s4,runs/trust_region_direction_45/seed_4/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,60,0.8703703703703703,0.8703703703703703,0,0.0,0.0,1.0,0.27698586671448544,0.055074922477201124,0.1417989001248436,0.5136529811409116,38.831498999999894
trust_region_direction_20,0,trust_region_direction_20_s0,runs/trust_region_direction_20/seed_0/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,53,0.7962962962962963,0.8185185185185185,0,0.0,0.0,1.0,0.3073473637141836,0.06102847252669225,0.144015931835603,0.5177772095786308,39.3157271000091
trust_region_direction_20,1,trust_region_direction_20_s1,runs/trust_region_direction_20/seed_1/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,54,0.8703703703703703,0.825925925925926,19,1.0,1.0,0.0,0.2888780522766599,0.05840918389847094,0.15038528457811245,0.5353943042601448,39.39961609999591
trust_region_direction_20,2,trust_region_direction_20_s2,runs/trust_region_direction_20/seed_2/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,56,0.8148148148148148,0.837037037037037,8,1.0,1.0,0.0,0.29863349519703997,0.06005627804857029,0.15901633345386634,0.5289927306447928,39.54988150000281
trust_region_direction_20,3,trust_region_direction_20_s3,runs/trust_region_direction_20/seed_3/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,57,0.8740740740740741,0.8629629629629629,6,1.0,1.0,0.0,0.28287493807461295,0.05694676482099712,0.14700664778240274,0.5102087296585402,39.66256800000701
trust_region_direction_20,4,trust_region_direction_20_s4,runs/trust_region_direction_20/seed_4/summary.json,"-2,-1",increment_direction_trust_region_keep_live_norm_30,success,,0.0,57,0.8777777777777778,0.8592592592592593,13,1.0,1.0,0.0,0.2868171639379929,0.058139166144508266,0.1444339134001559,0.5329990767331901,41.220433200003754
