case_name,seed,run_id,run_summary_path,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,seed_gate_positive,val_report_output_mse,val_supervised_transport_output_mse,val_delta_h_rms_rowspace,val_delta_h_rowspace_fraction,runtime_proxy_seconds,gate_epoch_rate,val_accuracy_margin_mean,val_accuracy_margin_min,gate_energy_margin_mean,gate_energy_margin_min,val_accuracy_volatility,val_transported_final_energy_volatility,best_vs_selected_val_accuracy_gap,best_vs_selected_energy_gap,gate_failure_accuracy_only_fraction,gate_failure_energy_only_fraction,gate_failure_both_fraction,negative_accuracy_margin_epoch_fraction,negative_gate_energy_margin_epoch_fraction,severe_bad_epoch_fraction,per_epoch_gate_pass_sequence
adopted_control,0,control30_s0,tf2_runs/tf2/control30_s0/summary.json,53,0.774074074074074,0.8037037037037037,11,1.0,0.0,1.0,0.06320277364531794,0.05516971777538815,0.14641771874107942,0.5336663837896631,16.69157660000019,0.18333333333333332,0.5156172839506172,0.04444444444444444,-0.04918647459963606,-0.24777821920397575,0.030508474576271184,0.006993157350069711,0.0,0.01262117717665151,0.0,1.0,0.0,0.0,0.8166666666666667,0.16666666666666666,000000000000000000000000000000000000000000000000011111111111
adopted_control,1,control30_s1,tf2_runs/tf2/control30_s1/summary.json,56,0.8629629629629629,0.8333333333333334,23,1.0,0.0,1.0,0.05881460861610098,0.04967542185167584,0.15597799093227577,0.5539221551181891,16.891697300000487,0.38333333333333336,0.5632098765432099,-0.04814814814814815,-0.03251814657456132,-0.18915638922023148,0.03502824858757062,0.005969459694741585,0.0,0.007312072845199913,0.0,0.972972972972973,0.02702702702702703,0.016666666666666666,0.6166666666666667,0.15,000000000000000000000000000000000000011111111111111111111111
adopted_control,2,control30_s2,tf2_runs/tf2/control30_s2/summary.json,51,0.7962962962962963,0.8222222222222222,18,1.0,0.0,1.0,0.06305214040572814,0.05318903535162648,0.16463456848443525,0.5496282608980444,18.838429299999916,0.3,0.524753086419753,0.055555555555555566,-0.050059959581490114,-0.27707398833739744,0.02937853107344632,0.008359112481325806,0.0,0.016092099052094633,0.0,1.0,0.0,0.0,0.7,0.16666666666666666,000000000000000000000000000000000000000000111111111111111111
adopted_control,3,control30_s3,tf2_runs/tf2/control30_s3/summary.json,54,0.8703703703703703,0.8518518518518519,13,1.0,0.0,1.0,0.059640845476171794,0.05060241450935214,0.15290771608757003,0.5324077082109361,18.80431580000004,0.21666666666666667,0.5814197530864198,-0.007407407407407404,-0.04207622581919147,-0.22464085160557729,0.02837413684871312,0.007900005617815849,0.0,0.011849276282939414,0.0,0.9787234042553191,0.02127659574468085,0.016666666666666666,0.7833333333333333,0.18333333333333332,000000000000000000000000000000000000000000000001111111111111
adopted_control,4,control30_s4,tf2_runs/tf2/control30_s4/summary.json,60,0.8740740740740741,0.8592592592592593,19,1.0,0.0,1.0,0.058992928117672955,0.05010655905977924,0.1481421455651277,0.5543285665615998,18.472271900000123,0.31666666666666665,0.5892592592592593,0.08518518518518518,-0.03806520952938281,-0.17272760248202812,0.02341494036409291,0.0058735005996091395,0.0,0.0,0.0,1.0,0.0,0.0,0.6833333333333333,0.2,000000000000000000000000000000000000000001111111111111111111
hard_interior_reference_20,0,interior20_s0,tf2_runs/tf2/interior20_s0/summary.json,53,0.7851851851851852,0.8111111111111111,0,0.0,1.0,0.0,0.06154887171050454,0.05411135363617011,0.14679048255601132,0.5259646387451292,15.146012200000087,0.0,0.5302469135802469,0.04444444444444444,-0.05112995962553669,-0.24206802943962613,0.02467043314500942,0.006886780275727643,0.0,0.012260004700398952,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,000000000000000000000000000000000000000000000000000000000000
hard_interior_reference_20,1,interior20_s1,tf2_runs/tf2/interior20_s1/summary.json,54,0.8703703703703703,0.8222222222222222,20,1.0,0.0,1.0,0.05946041919293712,0.050646310446607876,0.1516466352095535,0.5433408931737309,15.600740399999722,0.3333333333333333,0.5743209876543209,-0.04444444444444444,-0.03334655258522869,-0.1867484653368366,0.03345888261142499,0.005910644379608907,0.0,0.011398138335470043,0.0,0.975,0.025,0.016666666666666666,0.6666666666666666,0.15,000000000000000000000000000000000000000011111111111111111111
hard_interior_reference_20,2,interior20_s2,tf2_runs/tf2/interior20_s2/summary.json,56,0.8074074074074075,0.8333333333333334,12,1.0,0.0,1.0,0.06067840954152005,0.05107731436454481,0.16215447475666084,0.5390721505940543,15.884903099999974,0.2,0.5398148148148147,0.055555555555555566,-0.05137581537281189,-0.27015051285347264,0.02693032015065914,0.008116795153381337,0.0,0.0069951153487424755,0.0,1.0,0.0,0.0,0.8,0.16666666666666666,000000000000000000000000000000000000000000000000111111111111
hard_interior_reference_20,3,interior20_s3,tf2_runs/tf2/interior20_s3/summary.json,58,0.8703703703703703,0.8777777777777778,8,1.0,0.0,1.0,0.0572225912707141,0.04830908070866551,0.14724703077483067,0.5151812143592944,15.249579499999982,0.13333333333333333,0.5887037037037037,-0.007407407407407404,-0.04310585775008503,-0.2248734690958642,0.02523540489642185,0.00793092971669545,0.0,0.004144028490858376,0.0,0.9807692307692307,0.019230769230769232,0.016666666666666666,0.8666666666666667,0.18333333333333332,000000000000000000000000000000000000000000000000000011111111
hard_interior_reference_20,4,interior20_s4,tf2_runs/tf2/interior20_s4/summary.json,60,0.8740740740740741,0.8629629629629629,16,1.0,0.0,1.0,0.058175448416573385,0.04968599805307722,0.14609003018525196,0.5440560010496732,15.765504799999917,0.26666666666666666,0.5974074074074074,0.08148148148148147,-0.03928146035873937,-0.16986622634571846,0.02272441933458883,0.0058623659924182565,0.0,0.0,0.0,1.0,0.0,0.0,0.7333333333333333,0.21666666666666667,000000000000000000000000000000000000000000001111111111111111
