case_name,seed,epoch,stage,val_accuracy,val_baseline_accuracy,val_accuracy_margin,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_margin_vs_identity,val_energy_margin_vs_local_field_only,gate_energy_margin,gate_pass,gate_failure_type,selector_score,gate_constrained_selector_score,selected_epoch_flag,best_accuracy_epoch_flag,best_energy_epoch_flag
adopted_control,0,1,warmup,0.14814814814814814,0.1037037037037037,0.04444444444444444,0.6605805763645587,0.46291544806269713,0.46236595704509653,-0.19766512830186156,-0.19821461931946216,-0.19821461931946216,0.0,energy_only,0.14814814814814814,-inf,0.0,0.0,0.0
adopted_control,0,2,warmup,0.17407407407407408,0.1037037037037037,0.07037037037037037,0.6775121162681944,0.44705733788158547,0.44652271930080467,-0.23045477838660894,-0.23098939696738974,-0.23098939696738974,0.0,energy_only,0.17407407407407408,-inf,0.0,0.0,0.0
adopted_control,0,3,warmup,0.2074074074074074,0.1037037037037037,0.1037037037037037,0.6871419758275934,0.43989621208579516,0.43936375662361765,-0.24724576374179824,-0.24777821920397575,-0.24777821920397575,0.0,energy_only,0.2074074074074074,-inf,0.0,0.0,0.0
adopted_control,0,4,warmup,0.3037037037037037,0.1037037037037037,0.2,0.681356900804884,0.43419154688032024,0.4336581076496889,-0.24716535392456374,-0.2476987931551951,-0.2476987931551951,0.0,energy_only,0.3037037037037037,-inf,0.0,0.0,0.0
adopted_control,0,5,warmup,0.3333333333333333,0.1037037037037037,0.22962962962962963,0.6610117473470604,0.4292836121115951,0.42874746435586675,-0.23172813523546526,-0.23226428299119362,-0.23226428299119362,0.0,energy_only,0.3333333333333333,-inf,0.0,0.0,0.0
adopted_control,0,6,hybrid,0.3296296296296296,0.1037037037037037,0.22592592592592592,0.6344961690014803,0.4246021402651851,0.42406263188049076,-0.2098940287362952,-0.21043353712098956,-0.21043353712098956,0.0,energy_only,0.3296296296296296,-inf,0.0,0.0,0.0
adopted_control,0,7,hybrid,0.37777777777777777,0.1037037037037037,0.2740740740740741,0.6041121114523424,0.4200031870699944,0.41946058798677077,-0.18410892438234805,-0.18465152346557168,-0.18465152346557168,0.0,energy_only,0.37777777777777777,-inf,0.0,0.0,0.0
adopted_control,0,8,hybrid,0.4444444444444444,0.1037037037037037,0.34074074074074073,0.5799543209239961,0.41697452979795463,0.4164260899921929,-0.1629797911260415,-0.16352823093180324,-0.16352823093180324,0.0,energy_only,0.4444444444444444,-inf,0.0,0.0,0.0
adopted_control,0,9,hybrid,0.44814814814814813,0.1037037037037037,0.34444444444444444,0.5588539945123436,0.41378551604930924,0.41323106268697213,-0.1450684784630344,-0.1456229318253715,-0.1456229318253715,0.0,energy_only,0.44814814814814813,-inf,0.0,0.0,0.0
adopted_control,0,10,hybrid,0.5,0.1037037037037037,0.3962962962962963,0.5390363751908187,0.4105451243163621,0.40998516595671125,-0.12849125087445662,-0.12905120923410746,-0.12905120923410746,0.0,energy_only,0.5,-inf,0.0,0.0,0.0
adopted_control,0,11,hybrid,0.4703703703703704,0.1037037037037037,0.3666666666666667,0.5207202631363225,0.40842091068101744,0.40785347444187714,-0.11229935245530503,-0.11286678869444533,-0.11286678869444533,0.0,energy_only,0.4703703703703704,-inf,0.0,0.0,0.0
adopted_control,0,12,hybrid,0.5333333333333333,0.1037037037037037,0.42962962962962964,0.5051795456535371,0.4057673977730399,0.40519345494309156,-0.09941214788049718,-0.09998609071044551,-0.09998609071044551,0.0,energy_only,0.5333333333333333,-inf,0.0,0.0,0.0
adopted_control,0,13,hybrid,0.5185185185185185,0.1037037037037037,0.4148148148148148,0.4875081293477617,0.4029853475759746,0.40240476301141903,-0.08452278177178713,-0.08510336633634269,-0.08510336633634269,0.0,energy_only,0.5185185185185185,-inf,0.0,0.0,0.0
adopted_control,0,14,hybrid,0.5037037037037037,0.1037037037037037,0.39999999999999997,0.4745959534439969,0.40126893290945265,0.4006803624032128,-0.07332702053454426,-0.0739155910407841,-0.0739155910407841,0.0,energy_only,0.5037037037037037,-inf,0.0,0.0,0.0
adopted_control,0,15,hybrid,0.5888888888888889,0.1037037037037037,0.4851851851851852,0.46361136477076703,0.39833134323402153,0.3977364221592129,-0.0652800215367455,-0.06587494261155413,-0.06587494261155413,0.0,energy_only,0.5888888888888889,-inf,0.0,0.0,0.0
