epoch,batch_size,batches_per_epoch,train_steps,eval_steps,inference_backend,inference_method,state_init,train_loss,train_accuracy,val_loss,val_accuracy,train_baseline_accuracy,val_baseline_accuracy,accuracy,baseline_accuracy,train_mean_pre_update_energy,train_mean_post_update_energy,train_mean_energy_delta,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2
1,64,20,30,30,pc_euler,euler,forward,0.09080378953186027,0.1909307875894988,0.09085491463661755,0.18888888888888888,0.10182975338106603,0.1037037037037037,0.18888888888888888,0.1037037037037037,0.4887568467986697,0.4827218371670872,-0.006035009631582633,3.1867753230979443,1.2426843430099304,0.0021995270942719337,0.12145196318647389
2,64,20,30,30,pc_euler,euler,forward,0.08611435311134281,0.2394590294351631,0.08617754579713886,0.23703703703703705,0.10182975338106603,0.1037037037037037,0.23703703703703705,0.1037037037037037,0.4350093816686312,0.43307282670388403,-0.0019365549647471282,3.186827687306491,1.2477146516011333,0.002945723064348116,0.16555739086033577
3,64,20,30,30,pc_euler,euler,forward,0.08371286379733339,0.30946698488464597,0.0837993025957832,0.3074074074074074,0.10182975338106603,0.1037037037037037,0.3074074074074074,0.1037037037037037,0.4187067796865224,0.41732629101068364,-0.0013804886758387925,3.186933292564641,1.255598910991934,0.0032476656505602466,0.18241307346913402
4,64,20,30,30,pc_euler,euler,forward,0.08173456381382826,0.4041368337311058,0.08185625457485997,0.3888888888888889,0.10182975338106603,0.1037037037037037,0.3888888888888889,0.1037037037037037,0.40798279181128133,0.4067519315807992,-0.001230860230481956,3.1870822420120133,1.2658044878716261,0.0033680116715136474,0.18938676154116763
5,64,20,30,30,pc_euler,euler,forward,0.07991681353813208,0.49562450278440734,0.08007313514197294,0.4740740740740741,0.10182975338106603,0.1037037037037037,0.4740740740740741,0.1037037037037037,0.3986904977325961,0.3974456393736632,-0.0012448583589330041,3.187268640900095,1.2780844195250805,0.003438544024215798,0.19279232475402378
6,64,20,30,30,pc_euler,euler,forward,0.07820392513890725,0.5847255369928401,0.07838988064911152,0.5666666666666667,0.10182975338106603,0.1037037037037037,0.5666666666666667,0.1037037037037037,0.3899594780444726,0.3886391006089587,-0.0013203774355139031,3.1874938892405598,1.2924144245156914,0.003486514703919975,0.19449644119836082
7,64,20,30,30,pc_euler,euler,forward,0.07660223486524656,0.6284805091487669,0.07681628566555768,0.6444444444444445,0.10182975338106603,0.1037037037037037,0.6444444444444445,0.1037037037037037,0.38179657286442004,0.38066690320413754,-0.0011296696602825424,3.187752066516757,1.308478332671747,0.0035021433118097756,0.1953985501292826
8,64,20,30,30,pc_euler,euler,forward,0.07509552661697805,0.6817820206841687,0.07533396820981424,0.6925925925925925,0.10182975338106603,0.1037037037037037,0.6925925925925925,0.1037037037037037,0.3739647613694839,0.37272378924917,-0.0012409721203139907,3.1880393972334944,1.3259710803345472,0.003579723313979874,0.19732987561625898
9,64,20,30,30,pc_euler,euler,forward,0.07366793039035685,0.7088305489260143,0.0739260030718028,0.7333333333333333,0.10182975338106603,0.1037037037037037,0.7333333333333333,0.1037037037037037,0.36660117847108464,0.36550422784993714,-0.0010969506211474939,3.188359748103656,1.3449751386202782,0.0035950330802656215,0.19790491138442876
10,64,20,30,30,pc_euler,euler,forward,0.07232562187785224,0.7326968973747017,0.07260687416163358,0.7444444444444445,0.10182975338106603,0.1037037037037037,0.7444444444444445,0.1037037037037037,0.35946417278675835,0.35851641587797645,-0.00094775690878188,3.1887060189371494,1.3650085078516774,0.0036386124962882655,0.19930446441642605
