seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,direction_anchor_mode,relative_terminal_action_vector_delta_vs_replay,terminal_action_direction_cosine_similarity_vs_replay,terminal_action_direction_cosine_similarity_vs_terminal_local_field,terminal_action_norm_ratio_vs_replay,terminal_action_norm_delta_vs_replay,relative_terminal_bootstrap_target_delta,relative_terminal_identity_target_delta,terminal_lambda_id_delta,terminal_post_action_state_slot_displacement,terminal_next_state_displacement_vs_baseline_replay
0,4,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.6217524543718873,-0.38668749626934595,1.0,0.9475996310994199,0.06816279146350614,0.0,0.0,0.0,0.26806619225072226,0.323771439883235
0,4,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.5247624276235556,-0.22605607998000332,0.7885459301731134,0.9466732745320805,0.0685602001366136,0.0,0.0,0.0,0.12185443570741417,0.30439160745777405
0,4,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.04475734398220281,1.0,0.0,0.0,0.0,0.0,0.27681193467112875,0.0
0,4,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.3934975403275598,-0.059578485384394454,0.3586730139581381,0.9122396825085983,0.08619302523085896,0.0,0.0,0.0,0.0,0.3051954536728453
0,5,residualized_local_field_poly_rt2,terminal_baseline_direction_only_keep_live_norm,3,baseline_direction_only_keep_live_norm,0.1039523799990251,1.0,0.025054198656118225,0.9010270179060091,0.09366392836250266,0.0,0.0,0.0,0.2871158477656798,0.02341598209062567
0,5,residualized_local_field_poly_rt2,terminal_baseline_direction_mix_half_keep_live_norm,3,baseline_direction_mix_half_keep_live_norm,0.7641689135301641,0.6843632739884496,0.1317087905317031,0.9047599231493173,0.09108203474153913,0.0,0.0,0.0,0.15705029580543087,0.16744765208628076
0,5,residualized_local_field_poly_rt2,terminal_local_field_direction_only_keep_live_norm,3,local_field_direction_only_keep_live_norm,1.6084445603187905,-0.4100795048750031,1.0,0.9150032131454857,0.08441011061586781,0.0,0.0,0.0,0.2797831237276372,0.3521954979177196
0,5,residualized_local_field_poly_rt2,terminal_local_field_direction_mix_half_keep_live_norm,3,local_field_direction_mix_half_keep_live_norm,1.5215923522685701,-0.26165197159814646,0.8013415593898572,0.9144792204216694,0.08476877716216857,0.0,0.0,0.0,0.12526495867745116,0.33316759294558135
0,5,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,0.05506737380537291,1.0,0.0,0.0,0.0,0.0,0.3039849050315221,0.0
