epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,2.6284276925898206e-06,2.6284276925898206e-06,6.5192009288513056e-06,0.4844506297336232,0.47653144924852536,-9.151648881466912e-05,-4.6618538821990396e-07,0.47655115649201557,-7.18092453244612e-05,-3.61982159803511e-07,0.12222222222222222,0.095324593147468
2,warmup,0.0,2.5968633548709107e-06,2.5968633548709107e-06,6.466178493626625e-06,0.46815520111942455,0.4639968223151947,-9.641417937872321e-05,-4.989069986557676e-07,0.4640128041933963,-8.043230117710243e-05,-4.127970342907895e-07,0.15185185185185185,0.09281864729891469
3,warmup,0.0,2.5662352632491113e-06,2.5662352632491113e-06,6.40988168519103e-06,0.457702112876275,0.4560126248163241,-9.713836934466258e-05,-5.076507196562869e-07,0.4560248251544818,-8.493803118697629e-05,-4.407986400308331e-07,0.15185185185185185,0.09122195263713374
4,transition,0.011731042782619834,2.605185370369633e-06,2.5307341435132114e-06,6.3465139660666e-06,0.4510686351985916,0.45072415029715307,-9.577735044774549e-05,-5.034223834347927e-07,0.4507328965368576,-8.703111074320757e-05,-4.546384518872438e-07,0.18518518518518517,0.09016398552952017
5,transition,0.08826895721738015,3.040091288023464e-06,2.4874223194529744e-06,6.261192903972233e-06,0.44659916721233345,0.4470611536215185,-9.433905276007293e-05,-4.972879712863759e-07,0.44706701971931584,-8.847295496272611e-05,-4.638310967081626e-07,0.18518518518518517,0.08943109853485572
6,transition,0.1,3.061295682219685e-06,2.4438913902706066e-06,6.174042919490782e-06,0.44340267623910695,0.4443875597530401,-9.304118446162857e-05,-4.908066096269545e-07,0.44439112698377425,-8.947395372749245e-05,-4.6970153763726597e-07,0.1925925925925926,0.08889612018750034
7,hybrid,0.1,3.009552383723138e-06,2.401293402265834e-06,6.082589814573037e-06,0.4409001318715397,0.44231743323502243,-9.183293637538004e-05,-4.840208921344893e-07,0.44231915736897676,-9.010880242105168e-05,-4.728686515062801e-07,0.2037037037037037,0.08848185323427955
8,hybrid,0.1,2.9621247129175174e-06,2.3614133326959304e-06,6.007113802215871e-06,0.43906538711344084,0.44061368584990246,-9.0982351383051e-05,-4.786406915878547e-07,0.44061388789966877,-9.078030161674411e-05,-4.7569917438253207e-07,0.21851851851851853,0.0881409336402571
9,hybrid,0.1,2.9171514488437306e-06,2.324184766926847e-06,5.929666819168834e-06,0.4374908734861977,0.43913500933639354,-9.05549750099266e-05,-4.751481126643296e-07,0.4391339205197742,-9.164379162929226e-05,-4.791372425184091e-07,0.23333333333333334,0.0878451128622807
10,hybrid,0.1,2.8709453266071035e-06,2.2859063318498906e-06,5.850389947572128e-06,0.43599018380008986,0.43778596110870804,-9.104023533867966e-05,-4.761002454018641e-07,0.4377840837837862,-9.291756026053033e-05,-4.843393318767022e-07,0.24444444444444444,0.08757540026880935
11,hybrid,0.1,2.82972650464351e-06,2.252045275979947e-06,5.776812286635631e-06,0.4346331908300104,0.43652982699051984,-9.159328987418114e-05,-4.771719232555009e-07,0.4365272387422404,-9.418153815360375e-05,-4.891862479283499e-07,0.25555555555555554,0.08732428405607881
12,hybrid,0.1,2.7870138838556475e-06,2.216670610029065e-06,5.703432738265829e-06,0.4333712511290499,0.43532494313327846,-9.269045624749062e-05,-4.808114677601967e-07,0.4353219048890566,-9.572870046936632e-05,-4.95194968627656e-07,0.26666666666666666,0.08708352671790519
