probe_seed,probe_epoch,batch_index,step_index,t_k,r_k,candidate_key,source_family,diagnostic_only,slow_pc_steps,mse_to_local_field_average_velocity,cosine_similarity_to_local_field_average_velocity,endpoint_hidden_energy,endpoint_output_mse,endpoint_accuracy,wall_time_seconds_per_eval
0,4,0,3,0.75,0.25,local_field_source,local_field,False,,0.0,1.0,0.4254115680970112,0.08508149331901224,0.359375,0.0024121999740600586
0,4,0,3,0.75,0.25,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,4.568774358603712e-08,0.999999999943495,0.4252558121763601,0.08505007898374563,0.359375,0.002412400033790618
0,4,0,3,0.75,0.25,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,6.11302026875026e-07,0.9999999954497314,0.42484288182222113,0.08496661581898059,0.359375,0.002191999985370785
0,4,0,3,0.75,0.25,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,3.6550232513560053e-06,0.9999999649894613,0.4240261061364123,0.084800748678866,0.359375,0.0047984999837353826
0,14,0,0,0.0,1.0,local_field_source,local_field,False,,0.0,1.0,0.4032286553977654,0.08064488673210082,0.6015625,0.0017763999640010297
0,14,0,0,0.0,1.0,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,4.7287119432057444e-08,0.9999999863586116,0.4038744865492245,0.08077476132681187,0.5859375,0.0010008999961428344
0,14,0,0,0.0,1.0,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,5.2180966070007655e-09,0.9999999974997595,0.4034427908512813,0.08068801627023112,0.6015625,0.0016812999965623021
0,14,0,0,0.0,1.0,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,4.690508306954841e-08,0.9999999930548131,0.40258904279261104,0.08051565710887133,0.609375,0.003246900043450296
0,14,0,1,0.25,0.75,local_field_source,local_field,False,,0.0,1.0,0.40322834111689965,0.08064482338247854,0.6015625,0.00277960003586486
0,14,0,1,0.25,0.75,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,2.8526003079302194e-08,0.9999999943604706,0.40360410821411946,0.08072046320850322,0.59375,0.0012478999560698867
0,14,0,1,0.25,0.75,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,5.893522834131291e-10,0.9999999999310729,0.4031744308279474,0.08063395452782718,0.6015625,0.002372700022533536
0,14,0,1,0.25,0.75,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,1.6683818413498212e-07,0.9999999843652037,0.40232467417178586,0.08046206469904918,0.609375,0.003706500050611794
0,14,0,2,0.5,0.5,local_field_source,local_field,False,,0.0,1.0,0.40322802711424355,0.08064476008878926,0.6015625,0.001813200011383742
0,14,0,2,0.5,0.5,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,5.213200628013979e-09,0.9999999988862902,0.40333499398993056,0.08066631306366101,0.6015625,0.001006699982099235
0,14,0,2,0.5,0.5,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,4.7036442980818314e-08,0.9999999988829106,0.40290732545081903,0.08058004004400794,0.6015625,0.0021091000526212156
0,14,0,2,0.5,0.5,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,6.269516850107594e-07,0.999999972189261,0.4020615414804334,0.08040861812975894,0.609375,0.0038520999951288104
0,14,0,3,0.75,0.25,local_field_source,local_field,False,,0.0,1.0,0.4032277132974794,0.08064469683242478,0.6015625,0.0017730999970808625
0,14,0,3,0.75,0.25,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,4.710231172794516e-08,0.9999999999298234,0.40306713794867427,0.080612310444707,0.6015625,0.000992799992673099
0,14,0,3,0.75,0.25,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,6.301824277340596e-07,0.9999999943490294,0.40264146883642865,0.08052627237364451,0.609375,0.0018162999767810106
0,14,0,3,0.75,0.25,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,3.7674702713096674e-06,0.9999999565207509,0.40179963892311515,0.08035531696072526,0.609375,0.0032177999964915216
0,29,0,0,0.0,1.0,local_field_source,local_field,False,,0.0,1.0,0.3584935374188339,0.07169773626323503,0.7421875,0.0020407999982126057
0,29,0,0,0.0,1.0,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,5.4381252966139666e-08,0.9999999777484123,0.3592362691072724,0.07184709735685284,0.7421875,0.001038299989886582
0,29,0,0,0.0,1.0,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,5.998966847588304e-09,0.9999999959219869,0.358739739546468,0.07174732449967777,0.7421875,0.001387300028000027
0,29,0,0,0.0,1.0,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,5.3921167514926344e-08,0.9999999886717389,0.3577582946759453,0.07154918475261687,0.7421875,0.0032118000090122223
0,29,0,1,0.25,0.75,local_field_source,local_field,False,,0.0,1.0,0.3584931588833658,0.07169765996166658,0.7421875,0.0019055999582633376
0,29,0,1,0.25,0.75,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,3.280119131885553e-08,0.9999999908005047,0.3589252532079144,0.07178463825561096,0.7421875,0.001087700016796589
0,29,0,1,0.25,0.75,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,6.780718458047131e-10,0.9999999998876121,0.35843115500758965,0.07168515933380312,0.7421875,0.0019564000540412962
0,29,0,1,0.25,0.75,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,1.9176588389146853e-07,0.9999999744968753,0.35745451574887666,0.07148760280877112,0.7421875,0.0035673999809660017
0,29,0,2,0.5,0.5,local_field_source,local_field,False,,0.0,1.0,0.3584927806993846,0.0716975837307633,0.7421875,0.0020283000194467604
0,29,0,2,0.5,0.5,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,5.99307075312347e-09,0.9999999981832297,0.3586157602768265,0.07172236318263107,0.7421875,0.001077399996574968
0,29,0,2,0.5,0.5,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,5.4079312161062135e-08,0.9999999981774415,0.35812408148135205,0.0716231772239488,0.7421875,0.0021714000031352043
0,29,0,2,0.5,0.5,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,7.205322857749399e-07,0.999999954633392,0.3571522242051565,0.07142620199393006,0.7421875,0.004157099989242852
0,29,0,3,0.75,0.25,local_field_source,local_field,False,,0.0,1.0,0.35849240275028343,0.07169750754702107,0.7421875,0.001972300000488758
0,29,0,3,0.75,0.25,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,5.415862283261887e-08,0.9999999998854772,0.35830778282511117,0.0716602715291224,0.7421875,0.0008062999695539474
0,29,0,3,0.75,0.25,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,7.24421378517747e-07,0.9999999907803737,0.35781851153788774,0.07156137756497868,0.7421875,0.0017053000046871603
0,29,0,3,0.75,0.25,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,4.329281255933435e-06,0.9999999290702046,0.35685141273157944,0.07136498171019326,0.7421875,0.0038834000006318092
0,59,0,0,0.0,1.0,local_field_source,local_field,False,,0.0,1.0,0.29925726781281065,0.05985029159790371,0.859375,0.0018368999590165913
0,59,0,0,0.0,1.0,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,6.503234507292529e-08,0.9999999452917215,0.3001454999021901,0.060028912661470146,0.8515625,0.0010027000098489225
0,59,0,0,0.0,1.0,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,7.168863243912609e-09,0.9999999899760866,0.2995515402154208,0.05990956198449633,0.8515625,0.0018247999832965434
0,59,0,0,0.0,1.0,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,6.442870755789902e-08,0.9999999721562594,0.2983788612087322,0.05967281355100827,0.859375,0.0033311000443063676
0,59,0,1,0.25,0.75,local_field_source,local_field,False,,0.0,1.0,0.29925677103117565,0.05985019146099385,0.859375,0.0020327999955043197
0,59,0,1,0.25,0.75,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,3.921438545114386e-08,0.9999999773823124,0.2997733757386214,0.059954181531369624,0.8515625,0.0010698999976739287
0,59,0,1,0.25,0.75,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,8.11661509989613e-10,0.9999999997239674,0.2991826080932288,0.059835239374927726,0.859375,0.0019651000038720667
0,59,0,1,0.25,0.75,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,2.2906279622231274e-07,0.9999999373159973,0.2980162305558466,0.05959930034326035,0.859375,0.0036108000203967094
0,59,0,2,0.5,0.5,local_field_source,local_field,False,,0.0,1.0,0.2992562747584521,0.05985009142639908,0.859375,0.001722400018479675
0,59,0,2,0.5,0.5,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,7.16112785383013e-09,0.9999999955336721,0.2994032514763569,0.05987970623587281,0.859375,0.0009572000126354396
0,59,0,2,0.5,0.5,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,6.46360450128001e-08,0.9999999955182366,0.29881565856848,0.059761171001215016,0.859375,0.0017296000150963664
0,59,0,2,0.5,0.5,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,8.604284905819789e-07,0.9999998884934723,0.29765554834421853,0.059526038207888175,0.859375,0.003458600025624037
0,59,0,3,0.75,0.25,local_field_source,local_field,False,,0.0,1.0,0.299255778825892,0.05984999146010521,0.859375,0.0020534999785013497
0,59,0,3,0.75,0.25,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,6.474005828999524e-08,0.9999999997182483,0.29903511627383467,0.05980548577359608,0.859375,0.001292100001592189
0,59,0,3,0.75,0.25,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,8.655261474141007e-07,0.9999999773313776,0.29845068089419335,0.059687355869096216,0.859375,0.001844200014602393
0,59,0,3,0.75,0.25,diagnostic_slow_pc_k16,diagnostic_detached_slow_pc,True,16,5.168470036470429e-06,0.9999998256612391,0.297296804013541,0.05945302616470551,0.859375,0.002897900005336851
1,0,0,0,0.0,1.0,local_field_source,local_field,False,,0.0,1.0,0.5251223334893421,0.10502350282236812,0.0859375,0.001831799978390336
1,0,0,0,0.0,1.0,diagnostic_slow_pc_k4,diagnostic_detached_slow_pc,True,4,5.398522685596033e-08,0.9999999868822683,0.5258596410640056,0.10517177299689062,0.078125,0.0010083000524900854
1,0,0,0,0.0,1.0,diagnostic_slow_pc_k8,diagnostic_detached_slow_pc,True,8,5.95792488838725e-09,0.9999999975956495,0.5253668215015553,0.10507274571690192,0.0859375,0.0018316999776288867
