epoch,train_steps,pre_update_energy,post_update_energy,energy_delta,trace_saved,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2,mse,baseline_mse
1,25,0.10280375373372123,0.10217190262469358,-0.0006318511090276507,True,0.10178565663910906,0.26214464335211696,0.00034729152823185816,0.004909363054244862,0.21098524557145493,0.21250000000000002
2,25,0.10217190262469358,0.10158434838851053,-0.0005875542361830494,False,0.10246787316939203,0.2638474926150526,0.0006792668043462105,0.009572140462974704,0.20985914188873742,0.21250000000000002
3,25,0.10158434838851053,0.10103654124089614,-0.0005478071476143903,False,0.10316096021853104,0.26556800713533335,0.0009966028389722908,0.014000671604825498,0.2088156754403882,0.21250000000000002
4,25,0.10103654124089614,0.10052437271713398,-0.0005121685237621659,False,0.10386487595242205,0.26730624183942386,0.0012999461759117374,0.01820667840427705,0.207846453116875,0.21250000000000002
5,25,0.10052437271713398,0.10004413262762327,-0.0004802400895107112,False,0.10457957850025802,0.2690622497738395,0.001589914289012237,0.02220129621866969,0.20694389414452585,0.21250000000000002
6,25,0.10004413262762327,0.09959247021336133,-0.00045166241426193576,False,0.10530502599874798,0.2708360820357687,0.0018670969135780038,0.025995103180627685,0.20610115097084114,0.21250000000000002
7,25,0.09959247021336133,0.09916635909176173,-0.0004261111215995983,False,0.10604117663237729,0.2726277877138736,0.002132057315469194,0.02959814807311069,0.20531203785656527,0.21250000000000002
8,25,0.09916635909176173,0.09876306562316181,-0.00040329346859992177,False,0.10678798866985445,0.27443741383799347,0.0023853335008826595,0.03301997681045559,0.20457096642385086,0.21250000000000002
9,25,0.09876306562316181,0.09838012036442256,-0.0003829452587392479,False,0.10754542049688562,0.2762650053365953,0.0026274393696559674,0.03626965759510503,0.20387288748298174,0.21250000000000002
10,25,0.09838012036442256,0.0980152923085565,-0.0003648280558660594,False,0.10831343064541486,0.27811060500092577,0.002858865814794718,0.03935580481623546,0.20321323852613005,0.21250000000000002
11,25,0.0980152923085565,0.09766656563868106,-0.00034872666987544043,False,0.10909197781946477,0.2799742534549207,0.0030800817707891735,0.042286601753188574,0.20258789633620036,0.21250000000000002
12,25,0.09766656563868106,0.09733211875109259,-0.00033444688758847707,False,0.10988102091770889,0.28185598913002313,0.0032915352131595433,0.045069822143465645,0.20199313421258416,0.21250000000000002
13,25,0.09733211875109259,0.09701030532617051,-0.0003218134249220739,False,0.11068051905290478,0.2837558482441422,0.003493654111549401,0.04771285067205759,0.20142558336418198,0.21250000000000002
14,25,0.09701030532617051,0.09669963724740294,-0.00031066807876757585,False,0.11149043156831275,0.28567386478406787,0.0036868473385732506,0.05022270243604549,0.20088219806385288,0.21250000000000002
15,25,0.09669963724740294,0.0963987691883027,-0.0003008680591002344,False,0.11231071805122352,0.2876100704907249,0.003871505536516682,0.052606041435710404,0.20036022419798794,0.21250000000000002
