candidate_key,stage,psi_family,psi_hidden_dims,time_encoding_variant,notes,parameter_count,val_bootstrap_target_mse,val_relative_bootstrap_target_mse,val_bootstrap_cosine_similarity,val_identity_target_mse,val_identity_residual_error,val_hybrid_loss,runtime_per_batch_seconds
baseline_plain_raw,family_raw,baseline_plain,[128],raw,current corrective-default psi family and raw time concat,27712,0.015123059055133597,100999.36302075617,-0.018014846689568945,0.015971087703489303,0.9741167262889722,0.017738097213974506,0.024119048000235732
wider_plain_raw,family_raw,baseline_plain,[256],raw,single-axis capacity increase by widening the plain psi MLP,55360,0.021842888454540153,145877.74949494144,-0.0026077943822729313,0.022421179167574155,1.166793167143537,0.025360999484620384,0.04278416133330514
residualized_local_field_raw,family_raw,residualized_local_field,[128],raw,u_hat = g_t_detached + delta_u_psi with baseline hidden dims,27712,0.015121749782206737,100990.61904037818,-0.014427091824796295,0.015969768198319287,0.9740618237337154,0.01773671408841931,0.023974886666595314
