epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,3.947274854337233e-06,3.947274854337233e-06,2.6285696169553465e-06,1.3187052373818871e-06,8.313557555205965e-06,0.4844506297336232,0.47660891231406244,-1.4053423277593513e-05,-6.351905264530906e-08,0.47662925607014767,6.290332807634691e-06,4.3837091600462804e-08,0.12222222222222222,0.095324593147468
2,warmup,0.0,3.822787865699453e-06,3.822787865699453e-06,2.596967811182164e-06,1.2258200545172897e-06,8.16122535781399e-06,0.46815520111942455,0.46405594373467657,-3.729275989683423e-05,-1.8566712247852844e-07,0.4640724625648951,-2.0773929678308267e-05,-9.677607127014823e-08,0.15185185185185185,0.09281864729891469
3,warmup,0.0,3.733489964112198e-06,3.733489964112198e-06,2.5662978293133437e-06,1.1671921347988553e-06,8.04164476612931e-06,0.457702112876275,0.4560596877403736,-5.007544529517238e-05,-2.5482063939502196e-07,0.456072347489141,-3.7415696527765e-05,-1.855032892445754e-07,0.15185185185185185,0.09122195263713374
4,transition,0.011731042782619834,3.749179535500641e-06,3.656133600089508e-06,2.5281253181284192e-06,1.1280082819610897e-06,7.931599699643473e-06,0.45113160799483965,0.4508054280835588,-5.626569098626799e-05,-2.890942353354876e-07,0.45081468937008734,-4.7004404457706706e-05,-2.3749599043789392e-07,0.1814814814814815,0.090172338754909
5,transition,0.08826895721738015,4.266831105913424e-06,3.5796811255536184e-06,2.4792324029209403e-06,1.1004487226326783e-06,7.784729785212711e-06,0.44669065603461633,0.44715503740344764,-6.0010565607837574e-05,-3.098350190534817e-07,0.44716147684175245,-5.3571127303031485e-05,-2.732194216949408e-07,0.18518518518518517,0.0894430095938111
6,transition,0.1,4.274266754709044e-06,3.509938111805931e-06,2.430361044559912e-06,1.0795770672460196e-06,7.643286429031126e-06,0.4435000087900846,0.44448383210671283,-6.191770256042117e-05,-3.2022187564564723e-07,0.44448802279752697,-5.7727011746278034e-05,-2.9567264330976795e-07,0.1925925925925926,0.08890914996185464
7,hybrid,0.1,4.199682766548674e-06,3.448960457779248e-06,2.3833087867948066e-06,1.0656516709844414e-06,7.5072230876942565e-06,0.4409965769698653,0.44241214270206725,-6.268197482472981e-05,-3.240475467779355e-07,0.44241453218548765,-6.029249140432347e-05,-3.092209786917659e-07,0.2037037037037037,0.0884949649353784
8,hybrid,0.1,4.131511430946055e-06,3.391550545810572e-06,2.3393649243587593e-06,1.0521856214518128e-06,7.3996088513548275e-06,0.43916125003766826,0.44070611825518646,-6.298078431404841e-05,-3.250774872004612e-07,0.4407070243212055,-6.207471829500211e-05,-3.1825854700690296e-07,0.21481481481481482,0.0881538198079001
9,hybrid,0.1,4.069957553572698e-06,3.3413406004212142e-06,2.2985684832577094e-06,1.042772117163506e-06,7.286169531514832e-06,0.4375910041571225,0.43922472250365463,-6.324289503067959e-05,-3.256508289087995e-07,0.4392243725115457,-6.359288713958522e-05,-3.2558702141351485e-07,0.22962962962962963,0.08785759307973706
10,hybrid,0.1,4.006279769235219e-06,3.2897004572135077e-06,2.2571773130828245e-06,1.0325231441306827e-06,7.165793120217115e-06,0.4360842964554889,0.4378757223650803,-6.376742719327311e-05,-3.272695960127763e-07,0.43787461199753963,-6.487779473396404e-05,-3.3132256725148146e-07,0.2518518518518518,0.08758789795845472
