theta_mode,candidate_key,seed,selector_name,selected_epoch,val_accuracy,test_accuracy,gate_pass,val_transported_final_energy,train_loss
live_theta,baseline_plain_raw,0,canonical_selector,55,0.7888888888888889,0.8407407407407408,True,0.30119296966554254,0.0017805315609078405
live_theta,baseline_plain_raw,0,oracle_transported_energy,60,0.762962962962963,0.8222222222222222,True,0.2944896350570264,0.0018058266474815913
live_theta,baseline_plain_raw,0,oracle_hybrid_loss,48,0.7,0.7296296296296296,True,0.3149883841125726,0.001763898184499638
live_theta,baseline_plain_raw,1,canonical_selector,57,0.825925925925926,0.7814814814814814,True,0.30386400159532506,0.0015459724568470362
live_theta,baseline_plain_raw,1,oracle_transported_energy,60,0.7888888888888889,0.7333333333333333,True,0.29736509566994557,0.0015733244431230943
live_theta,baseline_plain_raw,1,oracle_hybrid_loss,47,0.737037037037037,0.674074074074074,True,0.32993150357073153,0.0015062056216223307
live_theta,baseline_plain_raw,2,canonical_selector,51,0.8592592592592593,0.837037037037037,True,0.31610738997193893,0.0017498174068519032
live_theta,baseline_plain_raw,2,oracle_transported_energy,60,0.8222222222222222,0.8333333333333334,True,0.2976778462702397,0.0018101486378268143
live_theta,baseline_plain_raw,2,oracle_hybrid_loss,46,0.8185185185185185,0.8407407407407408,True,0.33032218779483613,0.0017458772632336483
live_theta,residualized_local_field_poly_rt2,0,canonical_selector,59,0.7444444444444445,0.7777777777777778,True,0.3190511702211747,0.0017718643801606128
live_theta,residualized_local_field_poly_rt2,0,oracle_transported_energy,60,0.6777777777777778,0.6851851851851852,True,0.3179645148522552,0.0017637848629231691
live_theta,residualized_local_field_poly_rt2,0,oracle_hybrid_loss,60,0.6777777777777778,0.6851851851851852,True,0.3179645148522552,0.0017637848629231691
live_theta,residualized_local_field_poly_rt2,1,canonical_selector,58,0.7962962962962963,0.8,True,0.29314233153668645,0.0022313244141393225
live_theta,residualized_local_field_poly_rt2,1,oracle_transported_energy,60,0.7481481481481481,0.7703703703703704,True,0.2893354596819988,0.0022332808507008377
live_theta,residualized_local_field_poly_rt2,1,oracle_hybrid_loss,58,0.7962962962962963,0.8,True,0.29314233153668645,0.0022313244141393225
live_theta,residualized_local_field_poly_rt2,2,canonical_selector,59,0.737037037037037,0.762962962962963,True,0.3052699346462371,0.002032822733279773
live_theta,residualized_local_field_poly_rt2,2,oracle_transported_energy,60,0.7185185185185186,0.7333333333333333,True,0.30315438493605834,0.0020261464877558226
live_theta,residualized_local_field_poly_rt2,2,oracle_hybrid_loss,60,0.7185185185185186,0.7333333333333333,True,0.30315438493605834,0.0020261464877558226
frozen_theta,baseline_plain_raw,0,canonical_selector,1,0.0962962962962963,0.07777777777777778,False,0.6354404567069261,0.00424010720688889
frozen_theta,baseline_plain_raw,0,oracle_transported_energy,60,0.0962962962962963,0.07777777777777778,False,0.5603514305888424,0.0020884929613649446
frozen_theta,baseline_plain_raw,0,oracle_hybrid_loss,60,0.0962962962962963,0.07777777777777778,False,0.5603514305888424,0.0020884929613649446
frozen_theta,baseline_plain_raw,1,canonical_selector,1,0.06296296296296296,0.08518518518518518,False,0.6682538697944134,0.0037148240809396814
frozen_theta,baseline_plain_raw,1,oracle_transported_energy,60,0.06296296296296296,0.08518518518518518,False,0.5815875427083451,0.0017545526557172695
frozen_theta,baseline_plain_raw,1,oracle_hybrid_loss,60,0.06296296296296296,0.08518518518518518,False,0.5815875427083451,0.0017545526557172695
frozen_theta,baseline_plain_raw,2,canonical_selector,1,0.1111111111111111,0.13703703703703704,False,0.6384058416094424,0.0036802174325927
frozen_theta,baseline_plain_raw,2,oracle_transported_energy,60,0.1111111111111111,0.13703703703703704,False,0.5803726359553488,0.0021247904463321736
frozen_theta,baseline_plain_raw,2,oracle_hybrid_loss,60,0.1111111111111111,0.13703703703703704,False,0.5803726359553488,0.0021247904463321736
frozen_theta,residualized_local_field_poly_rt2,0,canonical_selector,1,0.0962962962962963,0.07777777777777778,False,0.6700068147726608,0.004921343152820455
frozen_theta,residualized_local_field_poly_rt2,0,oracle_transported_energy,60,0.0962962962962963,0.07777777777777778,False,0.5723656231968077,0.0023288692394689246
frozen_theta,residualized_local_field_poly_rt2,0,oracle_hybrid_loss,60,0.0962962962962963,0.07777777777777778,False,0.5723656231968077,0.0023288692394689246
frozen_theta,residualized_local_field_poly_rt2,1,canonical_selector,1,0.06296296296296296,0.08518518518518518,False,0.6465012724919625,0.003929810713085851
frozen_theta,residualized_local_field_poly_rt2,1,oracle_transported_energy,60,0.06296296296296296,0.08518518518518518,False,0.5755628827012642,0.002351613867485707
frozen_theta,residualized_local_field_poly_rt2,1,oracle_hybrid_loss,60,0.06296296296296296,0.08518518518518518,False,0.5755628827012642,0.002351613867485707
frozen_theta,residualized_local_field_poly_rt2,2,canonical_selector,1,0.1111111111111111,0.13703703703703704,False,0.6591564184256826,0.004155563275397515
frozen_theta,residualized_local_field_poly_rt2,2,oracle_transported_energy,60,0.1111111111111111,0.13703703703703704,False,0.5770996495519097,0.002401830992901706
frozen_theta,residualized_local_field_poly_rt2,2,oracle_hybrid_loss,60,0.1111111111111111,0.13703703703703704,False,0.5770996495519097,0.002401830992901706
