theta_mode,candidate_key,seed,epoch,train_loss,val_accuracy,test_accuracy,gate_pass,val_transported_final_energy,run_summary_path
live_theta,baseline_plain_raw,0,1,0.004158777708025099,0.14444444444444443,0.1259259259259259,False,0.5896703733536774,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,2,0.004312897227095877,0.17407407407407408,0.17037037037037037,False,0.6018345263529935,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,3,0.005584043118731519,0.2222222222222222,0.21481481481481482,False,0.6673931771785059,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,4,0.007654239525625464,0.3074074074074074,0.2962962962962963,False,0.7375030096505927,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,5,0.009315611916074117,0.34074074074074073,0.35185185185185186,False,0.7637279323724382,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,6,0.009783131418687665,0.2740740740740741,0.2777777777777778,False,0.7334900844030663,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,7,0.008943890799304617,0.32592592592592595,0.35185185185185186,False,0.6699263172199488,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,8,0.007454555529246704,0.3592592592592593,0.362962962962963,False,0.6099188046256654,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,9,0.006034684444275369,0.3888888888888889,0.4,False,0.5580261182221335,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,10,0.004869305496971546,0.3888888888888889,0.3851851851851852,False,0.5203467985889946,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,11,0.004054097169871492,0.35555555555555557,0.3814814814814815,False,0.4931409474606651,runs/live_theta/baseline_plain_raw/seed_0/summary.json
live_theta,baseline_plain_raw,0,12,0.003489439689343031,0.42592592592592593,0.44814814814814813,False,0.47220306949294766,runs/live_theta/baseline_plain_raw/seed_0/summary.json
