seed,theta_mode,candidate_key,state_mode,bootstrap_target_mse,identity_target_mse,identity_residual_error,hybrid_loss,mean_step_transported_hidden_energy,mean_step_output_mse,mean_step_output_accuracy,rollout_final_hidden_energy,rollout_final_output_mse,rollout_final_output_accuracy
0,frozen_theta,baseline_plain_raw,replay_states,0.004246027845684294,0.005684860057020635,0.5952444578017678,0.0053829998570884205,0.5721829114856533,0.10190051624753386,0.146484375,0.6368136351047244,0.10125631507300067,0.171875
0,frozen_theta,baseline_plain_raw,self_induced_states,0.004246027845684294,0.005684860057020635,0.5952444578017678,0.0053829998570884205,0.5721829114856533,0.10190051624753386,0.146484375,0.6368136351047244,0.10125631507300067,0.171875
0,frozen_theta,residualized_local_field_poly_rt2,replay_states,0.004870572240936413,0.009942953507759774,0.7576970904247835,0.006859162942488369,0.5516797437671994,0.10240816754720014,0.115234375,0.6673903513478111,0.10391909872877905,0.078125
0,frozen_theta,residualized_local_field_poly_rt2,self_induced_states,0.005016811855693222,0.01010923693023206,0.7661474139459519,0.0070386592417396344,0.588574256675773,0.10343615676336768,0.0859375,0.6673903513478111,0.10391909872877905,0.078125
1,frozen_theta,baseline_plain_raw,replay_states,0.0038706337004246706,0.004743330416797771,0.5450366652041357,0.004819299783784225,0.5968736407032185,0.1082071985646938,0.044921875,0.6670530692107635,0.10965464831663163,0.03125
1,frozen_theta,baseline_plain_raw,self_induced_states,0.0038706337004246706,0.004743330416797771,0.5450366652041357,0.004819299783784225,0.5968736407032185,0.1082071985646938,0.044921875,0.6670530692107635,0.10965464831663163,0.03125
1,frozen_theta,residualized_local_field_poly_rt2,replay_states,0.003999083154868686,0.008856458248890718,0.7147643911693337,0.00577037480464683,0.5703237014578372,0.10695681011279301,0.072265625,0.6394067090993522,0.10523072553958128,0.171875
1,frozen_theta,residualized_local_field_poly_rt2,self_induced_states,0.0039654030879642,0.008842540529969552,0.7136606071985413,0.005733911193958111,0.5822191498469907,0.10526791254390136,0.138671875,0.6394067090993522,0.10523072553958128,0.171875
2,frozen_theta,baseline_plain_raw,replay_states,0.0035920600234480493,0.005523587582199037,0.5833595525780303,0.004696777539887857,0.5778320903208652,0.10489020538439545,0.095703125,0.6349610418904694,0.10509720808815035,0.078125
2,frozen_theta,baseline_plain_raw,self_induced_states,0.0035920600234480493,0.005523587582199037,0.5833595525780303,0.004696777539887857,0.5778320903208652,0.10489020538439545,0.095703125,0.6349610418904694,0.10509720808815035,0.078125
2,frozen_theta,residualized_local_field_poly_rt2,replay_states,0.00410246831973606,0.007463697710886106,0.6653534849304075,0.005595207861913282,0.558072015260354,0.10512247309005063,0.115234375,0.6527827026847267,0.10626105388569898,0.1328125
2,frozen_theta,residualized_local_field_poly_rt2,self_induced_states,0.004086786439097174,0.007508091279088219,0.6676037359029413,0.0055884046949148175,0.5880826160090205,0.10586813983256119,0.12890625,0.6527827026847267,0.10626105388569898,0.1328125
