epoch,train_steps,pre_update_energy,post_update_energy,energy_delta,trace_saved,weight_norm_l1,weight_norm_l2,bias_norm_l1,bias_norm_l2,accuracy,baseline_accuracy
1,30,0.4798049196488814,0.4620744035657281,-0.01773051608315329,True,0.28630199295213266,0.39565366963439424,0.00034613703895438523,0.02864663995991205,0.6666666666666666,0.3333333333333333
2,30,0.4620744035657281,0.445917135421894,-0.016157268143834114,False,0.28648118120615673,0.3982673178867645,0.0006749470195387021,0.05585628054663715,0.6666666666666666,0.3333333333333333
3,30,0.445917135421894,0.4311791047862859,-0.01473803063560808,False,0.28667614747675857,0.40105149866956485,0.000987243391882302,0.0817010773112272,0.6666666666666666,0.3333333333333333
4,30,0.4311791047862859,0.4177213636135857,-0.01345774117270021,False,0.2868867288195212,0.40400166870569987,0.0012838035395293644,0.10624956329546066,0.6666666666666666,0.3333333333333333
5,30,0.4177213636135857,0.40541855311619823,-0.012302810497387462,False,0.287112769338981,0.4071133008966269,0.0015653703703116086,0.12956683074866066,0.6666666666666666,0.3333333333333333
6,30,0.40541855311619823,0.3941575746489089,-0.011260978467289351,False,0.2873541192360389,0.4103818901996184,0.0018326538029023098,0.1517147037633766,0.6944444444444444,0.3333333333333333
7,30,0.3941575746489089,0.3838363905558839,-0.01032118409302496,False,0.28761063395461234,0.41380295977230636,0.002086332164052957,0.172751902277817,0.75,0.3333333333333333
8,30,0.3838363905558839,0.3743629422945715,-0.009473448261312412,False,0.28788217341789807,0.41737206722545017,0.00232705350869261,0.19273419787174706,0.7777777777777778,0.3333333333333333
9,30,0.3743629422945715,0.36565417438451575,-0.008708767910055759,False,0.2881686013454825,0.4210848108443888,0.0025554368727531483,0.2117145617622591,0.7916666666666666,0.3333333333333333
10,30,0.36565417438451575,0.3576351538435347,-0.008019020540981026,False,0.288469784643337,0.4249368356595705,0.0027720734666890267,0.22974330538637264,0.8333333333333334,0.3333333333333333
11,30,0.3576351538435347,0.35023827578045075,-0.007396878063083978,False,0.28878559285947325,0.4289238392662866,0.0029775278161175817,0.24686821393879782,0.875,0.3333333333333333
12,30,0.35023827578045075,0.3434025467228648,-0.006835729057585949,False,0.2891158976987119,0.4330415773126931,0.003172338854755924,0.26313467321538614,0.9027777777777778,0.3333333333333333
13,30,0.3434025467228648,0.3370729380796532,-0.006329608643211582,False,0.2894605725906394,0.43728586859303314,0.003357020973822442,0.27858579009576734,0.9722222222222222,0.3333333333333333
14,30,0.3370729380796532,0.33119980287937306,-0.005873135200280155,False,0.2898194923053985,0.4416525996993558,0.003532065031262626,0.29326250698241063,0.9861111111111112,0.3333333333333333
15,30,0.33119980287937306,0.32573834959525033,-0.00546145328412273,False,0.29019253261247413,0.44613772919981054,0.0036979393235144495,0.3072037104978267,0.9861111111111112,0.3333333333333333
16,30,0.32573834959525033,0.3206481674718241,-0.005090182123426212,False,0.2905795699781105,0.45073729132466606,0.003855090522018252,0.3204463347268152,0.9861111111111112,0.3333333333333333
17,30,0.3206481674718241,0.3158927983139028,-0.0047553691579212964,False,0.29098048129742743,0.4554473991525433,0.004003944576274904,0.33302545927654176,0.9861111111111112,0.3333333333333333
18,30,0.3158927983139028,0.31143935019094215,-0.004453448122960668,False,0.29139514365769087,0.46026424729899396,0.004144907584943398,0.34497440241376404,0.9861111111111112,0.3333333333333333
19,30,0.31143935019094215,0.30725814895441683,-0.004181201236525323,False,0.2918234341295501,0.465184114117575,0.004278366636227686,0.35632480952570283,0.9861111111111112,0.3333333333333333
20,30,0.30725814895441683,0.3033224238668779,-0.003935725087538922,False,0.29226522958337287,0.47020336343006297,0.00440469061861848,0.367106737138835,0.9861111111111112,0.3333333333333333
21,30,0.3033224238668779,0.2996080240033716,-0.0037143998635063014,False,0.2927204065281031,0.4753184458075694,0.004524231002917067,0.3773487327182555,0.9861111111111112,0.3333333333333333
22,30,0.2996080240033716,0.29609316241254297,-0.003514861590828644,False,0.2931888409703241,0.480525899428167,0.004637322596365521,0.3870779104591804,0.9861111111111112,0.3333333333333333
23,30,0.29609316241254297,0.29275818531949654,-0.0033349770930464206,False,0.29367040829145236,0.4858223505393966,0.004744284269633184,0.39632002327162963,0.9861111111111112,0.3333333333333333
24,30,0.29275818531949654,0.2895853639184362,-0.003172821401060344,False,0.2941649831411973,0.4912045135558113,0.004845419657356459,0.4050995311493022,0.9861111111111112,0.3333333333333333
25,30,0.2895853639184362,0.2865587065430669,-0.0030266573753692794,False,0.29467243934561704,0.496669190822688,0.004941017832892912,0.4134396661041197,0.9861111111111112,0.3333333333333333
26,30,0.2865587065430669,0.28366378921924346,-0.002894917323823465,False,0.2951926498282747,0.5022132720773189,0.005031353957927003,0.4213624938388507,1.0,0.3333333333333333
27,30,0.28366378921924346,0.2808876027996786,-0.002776186419564841,False,0.2957254865431538,0.507833733639008,0.005116689907550367,0.4288889723216003,1.0,0.3333333333333333
28,30,0.2808876027996786,0.2782184150567535,-0.0026691877429251276,False,0.2962708204181356,0.5135276373581668,0.005197274871431671,0.43603900741775614,1.0,0.3333333333333333
29,30,0.2782184150567535,0.2756456462684536,-0.002572768788299873,False,0.29682852130796544,0.5192921293537942,0.005273345931687683,0.4428315057271879,1.0,0.3333333333333333
30,30,0.2756456462684536,0.27315975697588935,-0.0024858892925642695,False,0.29739845795574826,0.5251244385672754,0.005345128618066642,0.44928442476709024,1.0,0.3333333333333333
