epoch,stage,lambda_id,alpha,lambda_traj_curr,lambda_sg,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_traj_curr_loss,train_semigroup_loss,train_main_traj_contract_loss,train_mean_midpoint_reconstruction_shift_norm,train_mean_continuation_reevaluation_shift_norm,train_mean_continuation_target_blend_shift_norm,train_mean_semigroup_endpoint_closure_residual_norm,train_mean_predictor_semigroup_defect_norm,train_mean_corrected_semigroup_defect_norm,train_mean_first_projection_short_leg_correction_norm,train_mean_first_projection_continuation_correction_norm,train_mean_second_projection_short_leg_correction_norm,train_mean_second_projection_continuation_correction_norm,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
12,hybrid,0.1,0.5,0.2,0.1,4.118324175579455e-06,3.1678876868319284e-06,2.154797152885631e-06,1.0130905339462975e-06,6.8236604091991115e-06,1.1884874000877054e-06,3.0372967810074226e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43346825895694174,0.43541669548784867,-6.577330255053138e-05,-3.347246281021788e-07,0.43541470056443765,-6.776822596155085e-05,-3.4357152018171864e-07,0.26296296296296295,0.08709649375807985
13,hybrid,0.1,0.5,0.2,0.1,4.060145656399976e-06,3.1239941656328797e-06,2.1184304573755716e-06,1.005563708257309e-06,6.721034892735061e-06,1.1684634984220524e-06,3.035530180917814e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4324021718166188,0.4342568657669406,-6.688741719063085e-05,-3.388210133346923e-07,0.4342545178752611,-6.92353088701525e-05,-3.4951822620461737e-07,0.28888888888888886,0.08686475063682625
14,hybrid,0.1,0.5,0.2,0.1,4.007717510650787e-06,3.086457229808797e-06,2.084837676127571e-06,1.0016195536812262e-06,6.612625345044268e-06,1.1483031435342168e-06,3.033711763071976e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43115463983107605,0.4331293513043574,-6.772988384273759e-05,-3.41339665987071e-07,0.4331266802511975,-7.040093700266814e-05,-3.536923565438158e-07,0.2962962962962963,0.08663941623764003
15,hybrid,0.1,0.5,0.2,0.1,3.953117356643124e-06,3.0463562598048177e-06,2.051883948630408e-06,9.944723111744098e-07,6.507478851972413e-06,1.128471908909392e-06,3.031882985918734e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42995390399030464,0.43201876515563453,-6.88937353210406e-05,-3.4532575366995354e-07,0.43201596404730425,-7.16948436513265e-05,-3.5833137632611776e-07,0.3148148148148148,0.08641753177819111
16,hybrid,0.1,0.5,0.2,0.1,3.9025196454775075e-06,3.0089423134549293e-06,2.020624391981521e-06,9.883179214734082e-07,6.411840077642506e-06,1.1104572030392533e-06,3.0301883650477323e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428897240340699,0.430929217232719,-7.02400170906059e-05,-3.501162649632416e-07,0.43092631033638695,-7.314691342263924e-05,-3.6360230391355446e-07,0.32592592592592595,0.08619989144996192
17,hybrid,0.1,0.5,0.2,0.1,3.852495903145345e-06,2.9728201824336096e-06,1.9900249885610145e-06,9.827951938725949e-07,6.310618484427763e-06,1.091647437549861e-06,3.0284384758986576e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4277628966621889,0.4298521604933449,-7.186465385788932e-05,-3.561353250976934e-07,0.4298491869703893,-7.483817681347427e-05,-3.699056587748179e-07,0.32592592592592595,0.08598480502944056
18,hybrid,0.1,0.5,0.2,0.1,3.8069309353326434e-06,2.9397728848381176e-06,1.9625765050422905e-06,9.771963797958275e-07,6.218916915739419e-06,1.0749946463407882e-06,3.026742965242711e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4266619555525512,0.4287920618123571,-7.34913037384044e-05,-3.619973383311352e-07,0.428789242000838,-7.631111525746581e-05,-3.7491479393291297e-07,0.32592592592592595,0.08577311062321909
19,hybrid,0.1,0.5,0.2,0.1,3.7629309758215574e-06,2.9073535224029603e-06,1.936082306253039e-06,9.712712161499211e-07,6.134948931530031e-06,1.0591547230194878e-06,3.0251615661696627e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42557926496135884,0.4277429729085728,-7.541416169931647e-05,-3.6918868309793683e-07,0.42774015437583096,-7.823269444118264e-05,-3.8201488002123055e-07,0.3333333333333333,0.08556367741405442
20,hybrid,0.1,0.5,0.2,0.1,3.7207496825405805e-06,2.8771190199855453e-06,1.910251317643182e-06,9.668677023423637e-07,6.047450707020398e-06,1.0432512210594327e-06,3.023534764110911e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4245528215018452,0.42670393296943515,-7.75706906647744e-05,-3.773409500499854e-07,0.42670126380722007,-8.02398528798598e-05,-3.8935461501362224e-07,0.337037037037037,0.08535630073201998
21,hybrid,0.1,0.5,0.2,0.1,3.6781700362018873e-06,2.8465762910991063e-06,1.885201748614995e-06,9.613745424841113e-07,5.959152236472425e-06,1.0272967928529403e-06,3.0219162884950794e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4234102293078286,0.4256742486905083,-7.979545491876294e-05,-3.856169495313562e-07,0.42567173366351135,-8.231048191570389e-05,-3.967982042622363e-07,0.35185185185185186,0.0851508088290854
22,hybrid,0.1,0.5,0.2,0.1,3.63969403807332e-06,2.8186721913509497e-06,1.8620578963239923e-06,9.56614295026957e-07,5.881947103316697e-06,1.0131156868843547e-06,3.0203999013829903e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4224542225791731,0.4246532987953148,-8.216834357610558e-05,-3.944398665559903e-07,0.4246509511033178,-8.451603557313447e-05,-4.047412554328126e-07,0.36666666666666664,0.08494709342777819
23,hybrid,0.1,0.5,0.2,0.1,3.6076098680705737e-06,2.796036930982016e-06,1.8432709508993612e-06,9.527659800826549e-07,5.812186241807581e-06,1.0008251660631584e-06,3.018927969516713e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42142275220019876,0.4236476356767487,-8.464693069665241e-05,-4.036728451402565e-07,0.42364538524992945,-8.689735751588046e-05,-4.134409031500332e-07,0.3814814814814815,0.08474645652148906
