seed,epoch,candidate_key,mean_relative_bootstrap_target_delta,mean_relative_identity_target_delta,mean_relative_psi_input_delta,mean_bootstrap_target_cosine_similarity,mean_identity_target_cosine_similarity,mean_state_slot_displacement
0,1,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,1,residualized_local_field_poly_rt2,0.0758043990353787,2.023997024624305,0.21056158752114892,0.9965566605768071,0.09098121892017244,0.9329884610234066
0,2,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,0.14697189709628306,2.0149842597050607,0.6282285123775462,0.9899755754226487,0.09160142296332194,2.03503036472837
0,3,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,0.13834025419155718,2.004429715021298,0.9278165662952171,0.9900412715407455,0.09301932517146441,3.1889511853953088
0,4,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,4,residualized_local_field_poly_rt2,0.1567596816536656,1.995930355129373,1.1041422534020877,0.9870569252705638,0.09438453986645497,4.332759923486507
0,5,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,5,residualized_local_field_poly_rt2,0.18052010568433885,1.9914833091404625,1.194365205142289,0.9831801748701151,0.09437739551824056,5.343091344167844
0,6,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,6,residualized_local_field_poly_rt2,0.20481914420424344,1.98967475022141,1.2430405074008775,0.9786525324154578,0.09328445198103734,6.119839715609717
0,7,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,7,residualized_local_field_poly_rt2,0.22570375608803697,1.9876898455926082,1.27259963295,0.9742039284808376,0.09213859780706717,6.66148616788834
0,8,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,8,residualized_local_field_poly_rt2,0.2438722746862365,1.9851865271980458,1.2927467591254824,0.96987526902873,0.0909550555067292,7.018507696092759
0,9,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,9,residualized_local_field_poly_rt2,0.2626117121408674,1.9818170283689724,1.3077490560002105,0.965051757410199,0.0902564107235103,7.258959392036036
0,10,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,10,residualized_local_field_poly_rt2,0.28221251072685494,1.9774451053877538,1.3191194787656149,0.9596975643294527,0.08974522979284702,7.427447798082669
0,11,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,11,residualized_local_field_poly_rt2,0.3028716779092345,1.9730775606354132,1.3286439509337087,0.9535630100047167,0.0893637072802904,7.550698502082611
0,12,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,12,residualized_local_field_poly_rt2,0.3253432949140248,1.9683206498125674,1.3372418804050106,0.9464538405345021,0.0892270392436958,7.645241705978876
0,13,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,13,residualized_local_field_poly_rt2,0.34575957074009134,1.9630325485765354,1.3449125892189786,0.939578898135321,0.08904124115034932,7.719824070146309
0,14,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,14,residualized_local_field_poly_rt2,0.36713456041031656,1.958177201012812,1.352425260086569,0.9319113881393563,0.08886154329004016,7.781436729684097
0,15,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,15,residualized_local_field_poly_rt2,0.3889755182880049,1.9529390780151012,1.3595271351074683,0.9236128371838502,0.08882098640845434,7.832491075344277
0,16,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,16,residualized_local_field_poly_rt2,0.40909794798024024,1.9479713755652743,1.3661051459883802,0.9155696203821264,0.08864549411256148,7.87587524180806
0,17,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,17,residualized_local_field_poly_rt2,0.43068138405512324,1.942482483791835,1.3720412648915874,0.9064600484751448,0.0888618328573958,7.912273131175008
0,18,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,18,residualized_local_field_poly_rt2,0.45046778555978884,1.9377441507597726,1.3774506151237744,0.8977542406823646,0.08878069231763006,7.9431744080861195
0,19,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,19,residualized_local_field_poly_rt2,0.47088196181775466,1.9324326393808993,1.3817879533057054,0.8883728773959921,0.08905874199974137,7.96874141503108
0,20,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,20,residualized_local_field_poly_rt2,0.49048106670055275,1.9278666288258304,1.3855686622125474,0.8789793937848003,0.08914805916104362,7.9909693981611465
0,21,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,21,residualized_local_field_poly_rt2,0.5098270052196693,1.9234084524008241,1.388604633388603,0.869373493930772,0.08929129446635228,8.009807046847675
0,22,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,22,residualized_local_field_poly_rt2,0.5289362916168194,1.9190705672874788,1.3910131689888192,0.8595157541173754,0.08942818525253707,8.027737516749953
0,23,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,23,residualized_local_field_poly_rt2,0.5473999817112546,1.9149866796522708,1.3927284601183827,0.849665682609935,0.08944151732940857,8.04307542968785
0,24,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,24,residualized_local_field_poly_rt2,0.5654494768349216,1.9108339982650295,1.3940959093119287,0.8396189695228504,0.08969696756724561,8.05815695808479
0,25,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,25,residualized_local_field_poly_rt2,0.5832530625766661,1.9072245160377244,1.3950080069259008,0.8296406447352528,0.08952711963236237,8.071234018194307
0,26,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,26,residualized_local_field_poly_rt2,0.6005520927656738,1.903436756878967,1.3957807565570886,0.819488912844623,0.08965899121251351,8.082863941172512
0,27,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,27,residualized_local_field_poly_rt2,0.6170654307401968,1.8997701596814114,1.3961626639529072,0.8096716123850862,0.08959753546272355,8.093304569098693
0,28,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,28,residualized_local_field_poly_rt2,0.6335984324315398,1.8964594143375924,1.3965765912930497,0.7994925825926114,0.08956715655879419,8.10411725301216
0,29,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,29,residualized_local_field_poly_rt2,0.6491039405925154,1.8929694163781527,1.396827455035396,0.7898841424618696,0.08941548955730554,8.114607647456301
0,30,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,30,residualized_local_field_poly_rt2,0.6650050871790887,1.8894852964009452,1.3970505243518407,0.779655076924491,0.08945731242550717,8.121848252772466
0,31,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,31,residualized_local_field_poly_rt2,0.679705513657587,1.8860579738822203,1.3973477422036626,0.7701911471538764,0.0892672568890518,8.131098189684122
0,32,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,32,residualized_local_field_poly_rt2,0.6942086957347283,1.8826368868427152,1.397837297470993,0.7605828571169736,0.08929403998067788,8.140122199249264
0,33,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,33,residualized_local_field_poly_rt2,0.7088869117201058,1.879548745104401,1.3983920038114341,0.7510732927914193,0.08883747425741986,8.147866448345763
0,34,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,34,residualized_local_field_poly_rt2,0.7232043101739493,1.8760492707922432,1.3989785873869434,0.7411948406390031,0.08902608900112155,8.155499725532902
0,35,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,35,residualized_local_field_poly_rt2,0.7365384653552024,1.8728209267126996,1.3997524346287793,0.732069586441869,0.08881465252034614,8.160925667934029
0,36,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,36,residualized_local_field_poly_rt2,0.7495118438582044,1.869975111390416,1.4005146403856117,0.7233701709199841,0.08853740158142562,8.1677670153722
0,37,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,37,residualized_local_field_poly_rt2,0.7628348200972226,1.866778222966347,1.4014668569316602,0.7141621952272348,0.08832906548020984,8.173002205291649
0,38,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,38,residualized_local_field_poly_rt2,0.7753123037719172,1.863605795409038,1.4024645896421397,0.7052880602519626,0.0883109190646364,8.17884362357412
0,39,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,39,residualized_local_field_poly_rt2,0.788370970524297,1.8606521050462597,1.4035553907128047,0.6962243057929174,0.08802883557551718,8.181580628758192
0,40,baseline_plain_raw,0.0,0.0,0.0,1.0,1.0,0.0
0,40,residualized_local_field_poly_rt2,0.8005175754931324,1.8575665164037787,1.404632393252838,0.6874393515508135,0.08790955517074986,8.185751553229899
