stabilizer_mode,candidate_key,psi_family,time_encoding_variant,terminal_direction_intervention,strong_mix_weight_toward_local_field,angle_clip_degrees,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,selected_epoch,total_wall_time_seconds,run_status,run_summary_path
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,2,0.825925925925926,0.8481481481481481,0,False,True,0.29906154299555054,57,18.060892901266925,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,2,0.7962962962962963,0.8222222222222222,18,True,False,0.3111068208914448,51,19.24809069908224,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_2/summary.json
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,3,0.8333333333333334,0.8222222222222222,32,True,False,0.3052137238952159,58,18.234933300700504,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_3/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,3,0.8444444444444444,0.8333333333333334,25,True,False,0.3144429380041523,50,18.42897780088242,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_3/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,3,0.8777777777777778,0.8777777777777778,6,True,False,0.28150139798627105,58,18.471866600157227,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_3/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,3,0.8703703703703703,0.8518518518518519,13,True,False,0.2945268064645564,54,19.69935679930495,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_3/summary.json
baseline_closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,closed_loop_live_plan,,,4,0.8407407407407408,0.8148148148148148,23,True,False,0.28345675123876396,60,18.489314300124533,success,runs/baseline_closed_loop_live_plan/baseline_plain_raw/seed_4/summary.json
terminal_live_raw_closed_loop,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,live_raw_closed_loop,,,4,0.8333333333333334,0.8518518518518519,28,True,False,0.29940152932548747,60,18.870143199397717,success,runs/terminal_live_raw_closed_loop/residualized_local_field_poly_rt2/seed_4/summary.json
terminal_local_field_direction_hard_replace_keep_live_norm,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,,,4,0.8592592592592593,0.8629629629629629,2,True,False,0.28317456367436383,60,18.947473099338822,success,runs/terminal_local_field_direction_hard_replace_keep_live_norm/residualized_local_field_poly_rt2/seed_4/summary.json
terminal_local_field_direction_angle_clip_keep_live_norm_deg30,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,,30.0,4,0.8740740740740741,0.8592592592592593,19,True,False,0.286513578402705,60,20.063968299364205,success,runs/terminal_local_field_direction_angle_clip_keep_live_norm_deg30/residualized_local_field_poly_rt2/seed_4/summary.json
