case_name,seed,run_id,run_summary_path,intervention_step_offsets,successor_handoff_mode,run_status,failure_kind,nan_incidence_flag,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,seed_gate_positive,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,val_terminal_rowspace_rms,val_terminal_rowspace_fraction,runtime_proxy_seconds
cached_on_successor_only,2,cached_on_successor_only_s2,runs/cached_on_successor_only/seed_2/summary.json,"-2,-1",cached_on_successor_only,success,,0.0,51,0.7962962962962963,0.8222222222222222,18,1.0,1.0,0.0,0.3111168140581636,0.06305511793021183,0.16463435152287836,0.5497680848271423,32.480687399998715
cached_on_successor_only,3,cached_on_successor_only_s3,runs/cached_on_successor_only/seed_3/summary.json,"-2,-1",cached_on_successor_only,success,,0.0,54,0.8703703703703703,0.8555555555555555,13,1.0,1.0,0.0,0.29437774893393015,0.05960547426800834,0.15287536542383007,0.5322950651150019,32.34910949999539
cached_on_successor_only,4,cached_on_successor_only_s4,runs/cached_on_successor_only/seed_4/summary.json,"-2,-1",cached_on_successor_only,success,,0.0,60,0.8740740740740741,0.8592592592592593,19,1.0,1.0,0.0,0.28638449373534575,0.058966122538126976,0.1482109780091124,0.5544766264254375,32.215438899998844
cached_lf_successor_only,0,cached_lf_successor_only_s0,runs/cached_lf_successor_only/seed_0/summary.json,"-2,-1",cached_lf_successor_only,success,,0.0,50,0.825925925925926,0.8407407407407408,0,0.0,0.0,1.0,0.30528628947565317,0.05845800020994699,0.13922456555203275,0.4892853350584122,32.46743719999722
cached_lf_successor_only,1,cached_lf_successor_only_s1,runs/cached_lf_successor_only/seed_1/summary.json,"-2,-1",cached_lf_successor_only,success,,0.0,56,0.8814814814814815,0.8592592592592593,0,0.0,0.0,1.0,0.2836394620279154,0.05643809337796557,0.1441542335521446,0.513137168510106,32.34171839999544
cached_lf_successor_only,2,cached_lf_successor_only_s2,runs/cached_lf_successor_only/seed_2/summary.json,"-2,-1",cached_lf_successor_only,success,,0.0,55,0.825925925925926,0.8481481481481481,0,0.0,0.0,1.0,0.2969028387485867,0.058037326094064375,0.15003011803846464,0.4947764777572178,32.17759970000043
cached_lf_successor_only,3,cached_lf_successor_only_s3,runs/cached_lf_successor_only/seed_3/summary.json,"-2,-1",cached_lf_successor_only,success,,0.0,58,0.8851851851851852,0.8851851851851852,0,0.0,0.0,1.0,0.27406517070332753,0.05385930324938435,0.13676706745205472,0.47100195449662774,32.41672240000116
cached_lf_successor_only,4,cached_lf_successor_only_s4,runs/cached_lf_successor_only/seed_4/summary.json,"-2,-1",cached_lf_successor_only,success,,0.0,60,0.8666666666666667,0.8666666666666667,0,0.0,0.0,1.0,0.27671029356001736,0.05445298178477972,0.14247421826287965,0.5093642596330552,32.46295040000405
cached_both_successor_components,0,cached_both_successor_components_s0,runs/cached_both_successor_components/seed_0/summary.json,"-2,-1",cached_both_successor_components,success,,0.0,53,0.774074074074074,0.8037037037037037,11,1.0,1.0,0.0,0.31335369356286746,0.06308638482784526,0.14681994285173966,0.5340848968481323,32.32627489999868
cached_both_successor_components,1,cached_both_successor_components_s1,runs/cached_both_successor_components/seed_1/summary.json,"-2,-1",cached_both_successor_components,success,,0.0,56,0.8666666666666667,0.8333333333333334,23,1.0,1.0,0.0,0.2883866315070167,0.05884069128992598,0.15585779783288983,0.5536251548606886,32.51881909999793
cached_both_successor_components,2,cached_both_successor_components_s2,runs/cached_both_successor_components/seed_2/summary.json,"-2,-1",cached_both_successor_components,success,,0.0,51,0.7962962962962963,0.8222222222222222,18,1.0,1.0,0.0,0.3111168140581636,0.06305511793021183,0.16463435152287836,0.5497680848271423,32.240344699999696
cached_both_successor_components,3,cached_both_successor_components_s3,runs/cached_both_successor_components/seed_3/summary.json,"-2,-1",cached_both_successor_components,success,,0.0,54,0.8703703703703703,0.8555555555555555,13,1.0,1.0,0.0,0.29437774893393015,0.05960547426800834,0.15287536542383007,0.5322950651150019,32.48180710000088
cached_both_successor_components,4,cached_both_successor_components_s4,runs/cached_both_successor_components/seed_4/summary.json,"-2,-1",cached_both_successor_components,success,,0.0,60,0.8740740740740741,0.8592592592592593,19,1.0,1.0,0.0,0.28638449373534575,0.058966122538126976,0.1482109780091124,0.5544766264254375,32.68272160000197
