mode,candidate_key,psi_family,time_encoding_variant,seed,epoch,mean_relative_bootstrap_target_delta,mean_relative_identity_target_delta,mean_bootstrap_target_cosine_similarity,mean_identity_target_cosine_similarity,mean_relative_psi_input_delta
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,49,0.0,0.00010133227507998652,1.0,0.9999999975679753,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,50,0.0,0.00010227274104277413,1.0,0.9999999974633911,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,51,0.0,0.0001021063800684749,1.0,0.9999999975053969,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,52,0.0,0.00010402616911965424,1.0,0.999999997284605,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,53,0.0,0.00010592583559651558,1.0,0.9999999971305895,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,54,0.0,0.00010630459276425243,1.0,0.9999999970812568,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,55,0.0,0.00010727411018649287,1.0,0.9999999969560148,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,56,0.0,0.00011011659090352785,1.0,0.9999999966859701,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,57,0.0,0.00011013741232187978,1.0,0.9999999965906007,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,58,0.0,0.00011178059184885605,1.0,0.9999999965074033,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,59,0.0,0.00011306244407521106,1.0,0.9999999963758525,0.0
live_target_recompute,baseline_plain_raw,baseline_plain,raw,2,60,0.0,0.00011395693151297821,1.0,0.9999999962418528,0.0
