run_index,candidate_name,seed,run_id,run_summary_path,transported_output_alignment_weight,transported_output_alignment_schedule,val_accuracy,test_accuracy,selected_epoch,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_report_output_mse,test_report_output_mse,val_transported_final_energy,test_transported_final_energy,val_supervised_transported_output_mse,test_supervised_transported_output_mse,val_internal_slow_pc_output_mse,test_internal_slow_pc_output_mse,val_transport_minus_internal_slow_pc_output_mse,test_transport_minus_internal_slow_pc_output_mse,runtime_proxy_seconds
0,adopted_control,0,adopted_control_s0,tf2_runs/tf2/adopted_control_s0/summary.json,0.0,none,0.774074074074074,0.8037037037037037,53,11,True,False,0.06320277364531794,0.06274214890460197,0.3137282688131667,0.31098839035213055,0.05516971777538815,0.05475014631375841,0.06294626453454936,0.06248786545297604,-0.007776546759161215,-0.0077377191392176345,20.531782300000486
1,adopted_control,1,adopted_control_s1,tf2_runs/tf2/adopted_control_s1/summary.json,0.0,none,0.8629629629629629,0.8333333333333334,56,23,True,False,0.05881460861610098,0.059407377548759153,0.2883009074387914,0.2906424490085868,0.04967542185167584,0.050221859389637594,0.058572971901118376,0.05916209139305194,-0.008897550049442537,-0.008940232003414345,20.87535570000182
2,adopted_control,2,adopted_control_s2,tf2_runs/tf2/adopted_control_s2/summary.json,0.0,none,0.7962962962962963,0.8222222222222222,51,18,True,False,0.06305214040572814,0.06270885437346925,0.3111068208914448,0.309422356845605,0.05318903535162648,0.05275469383534945,0.06280277551754192,0.06246134199590217,-0.009613740165915437,-0.009706648160552722,21.042657099998905
3,adopted_control,3,adopted_control_s3,tf2_runs/tf2/adopted_control_s3/summary.json,0.0,none,0.8703703703703703,0.8518518518518519,54,13,True,False,0.059640845476171794,0.05924171795683644,0.2945268064645564,0.29293254651939094,0.05060241450935214,0.050286298069708905,0.059385427861770076,0.0589908576586298,-0.008783013352417934,-0.008704559588920892,21.22387019999951
4,adopted_control,4,adopted_control_s4,tf2_runs/tf2/adopted_control_s4/summary.json,0.0,none,0.8740740740740741,0.8592592592592593,60,19,True,False,0.058992928117672955,0.05840439044333632,0.286513578402705,0.28374930970998746,0.05010655905977924,0.04959627805351545,0.05872952217068985,0.05814498444435082,-0.008622963110910611,-0.008548706390835367,20.97818980000011
5,readout_align_final_w050,0,readout_align_final_w050_s0,tf2_runs/tf2/readout_align_final_w050_s0/summary.json,0.5,final_micro_step_only,0.774074074074074,0.8037037037037037,53,11,True,False,0.06320277364531794,0.06274214890460197,0.3137282688131667,0.31098839035213055,0.05516971777538815,0.05475014631375841,0.06294626453454936,0.06248786545297604,-0.007776546759161215,-0.0077377191392176345,21.481412100001762
6,readout_align_final_w050,1,readout_align_final_w050_s1,tf2_runs/tf2/readout_align_final_w050_s1/summary.json,0.5,final_micro_step_only,0.8629629629629629,0.8333333333333334,56,23,True,False,0.05881460861610098,0.059407377548759153,0.2883009074387914,0.2906424490085868,0.04967542185167584,0.050221859389637594,0.058572971901118376,0.05916209139305194,-0.008897550049442537,-0.008940232003414345,21.164483199998358
7,readout_align_final_w050,2,readout_align_final_w050_s2,tf2_runs/tf2/readout_align_final_w050_s2/summary.json,0.5,final_micro_step_only,0.7962962962962963,0.8222222222222222,51,18,True,False,0.06305214040572814,0.06270885437346925,0.3111068208914448,0.309422356845605,0.05318903535162648,0.05275469383534945,0.06280277551754192,0.06246134199590217,-0.009613740165915437,-0.009706648160552722,20.753886300000886
8,readout_align_final_w050,3,readout_align_final_w050_s3,tf2_runs/tf2/readout_align_final_w050_s3/summary.json,0.5,final_micro_step_only,0.8703703703703703,0.8518518518518519,54,13,True,False,0.059640845476171794,0.05924171795683644,0.2945268064645564,0.29293254651939094,0.05060241450935214,0.050286298069708905,0.059385427861770076,0.0589908576586298,-0.008783013352417934,-0.008704559588920892,21.070597900001303
9,readout_align_final_w050,4,readout_align_final_w050_s4,tf2_runs/tf2/readout_align_final_w050_s4/summary.json,0.5,final_micro_step_only,0.8740740740740741,0.8592592592592593,60,19,True,False,0.058992928117672955,0.05840439044333632,0.286513578402705,0.28374930970998746,0.05010655905977924,0.04959627805351545,0.05872952217068985,0.05814498444435082,-0.008622963110910611,-0.008548706390835367,20.870419400001992
10,readout_align_every_w050,0,readout_align_every_w050_s0,tf2_runs/tf2/readout_align_every_w050_s0/summary.json,0.5,every_micro_step,0.774074074074074,0.8037037037037037,53,11,True,False,0.06320277364531794,0.06274214890460197,0.3137282688131667,0.31098839035213055,0.05516971777538815,0.05475014631375841,0.06294626453454936,0.06248786545297604,-0.007776546759161215,-0.0077377191392176345,20.890777500000695
11,readout_align_every_w050,1,readout_align_every_w050_s1,tf2_runs/tf2/readout_align_every_w050_s1/summary.json,0.5,every_micro_step,0.8629629629629629,0.8333333333333334,56,23,True,False,0.05881460861610098,0.059407377548759153,0.2883009074387914,0.2906424490085868,0.04967542185167584,0.050221859389637594,0.058572971901118376,0.05916209139305194,-0.008897550049442537,-0.008940232003414345,20.74321360000249
12,readout_align_every_w050,2,readout_align_every_w050_s2,tf2_runs/tf2/readout_align_every_w050_s2/summary.json,0.5,every_micro_step,0.7962962962962963,0.8222222222222222,51,18,True,False,0.06305214040572814,0.06270885437346925,0.3111068208914448,0.309422356845605,0.05318903535162648,0.05275469383534945,0.06280277551754192,0.06246134199590217,-0.009613740165915437,-0.009706648160552722,20.59067850000065
13,readout_align_every_w050,3,readout_align_every_w050_s3,tf2_runs/tf2/readout_align_every_w050_s3/summary.json,0.5,every_micro_step,0.8703703703703703,0.8518518518518519,54,13,True,False,0.059640845476171794,0.05924171795683644,0.2945268064645564,0.29293254651939094,0.05060241450935214,0.050286298069708905,0.059385427861770076,0.0589908576586298,-0.008783013352417934,-0.008704559588920892,20.840195299999323
14,readout_align_every_w050,4,readout_align_every_w050_s4,tf2_runs/tf2/readout_align_every_w050_s4/summary.json,0.5,every_micro_step,0.8740740740740741,0.8592592592592593,60,19,True,False,0.058992928117672955,0.05840439044333632,0.286513578402705,0.28374930970998746,0.05010655905977924,0.04959627805351545,0.05872952217068985,0.05814498444435082,-0.008622963110910611,-0.008548706390835367,18.819066099997144
