cell_key,candidate_key,preset_name,psi_family,time_encoding_variant,terminal_local_field_direction_intervention,terminal_local_field_angle_clip_degrees,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,total_wall_time_seconds,run_status,run_summary_path
tf2_corrective_transport_default,baseline_plain_raw,tf2_corrective_transport_default,baseline_plain,raw,none,30.0,0,0.7888888888888889,0.8407407407407408,30,55,True,False,0.30119296966554254,17.933424700051546,success,runs/tf2_corrective_transport_default/seed_0/summary.json
tf2_corrective_transport_terminal_angleclip_default,residualized_local_field_poly_rt2__terminal_angleclip_package,tf2_corrective_transport_terminal_angleclip_default,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,30.0,0,0.774074074074074,0.8037037037037037,11,53,True,False,0.3137282688131667,19.743100100022275,success,runs/tf2_corrective_transport_terminal_angleclip_default/seed_0/summary.json
residualized_local_field_poly_rt2__no_terminal_stabilizer,residualized_local_field_poly_rt2__no_terminal_stabilizer,,residualized_local_field,poly_rt2,none,30.0,0,0.7444444444444445,0.7777777777777778,25,59,True,False,0.3190511702211747,18.45881439995719,success,runs/residualized_local_field_poly_rt2__no_terminal_stabilizer/seed_0/summary.json
residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,30.0,0,0.8185185185185185,0.8740740740740741,0,59,False,True,0.2942079488800245,18.481188200006727,success,runs/residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound/seed_0/summary.json
tf2_corrective_transport_default,baseline_plain_raw,tf2_corrective_transport_default,baseline_plain,raw,none,30.0,1,0.825925925925926,0.7814814814814814,27,57,True,False,0.30386400159532506,18.299830899981316,success,runs/tf2_corrective_transport_default/seed_1/summary.json
tf2_corrective_transport_terminal_angleclip_default,residualized_local_field_poly_rt2__terminal_angleclip_package,tf2_corrective_transport_terminal_angleclip_default,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,30.0,1,0.8629629629629629,0.8333333333333334,23,56,True,False,0.2883009074387914,21.387618899985682,success,runs/tf2_corrective_transport_terminal_angleclip_default/seed_1/summary.json
residualized_local_field_poly_rt2__no_terminal_stabilizer,residualized_local_field_poly_rt2__no_terminal_stabilizer,,residualized_local_field,poly_rt2,none,30.0,1,0.7962962962962963,0.8,25,58,True,False,0.29314233153668645,19.848882199963555,success,runs/residualized_local_field_poly_rt2__no_terminal_stabilizer/seed_1/summary.json
residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,30.0,1,0.8851851851851852,0.837037037037037,12,56,True,False,0.2919889683617106,20.19717469997704,success,runs/residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound/seed_1/summary.json
tf2_corrective_transport_default,baseline_plain_raw,tf2_corrective_transport_default,baseline_plain,raw,none,30.0,2,0.8592592592592593,0.837037037037037,26,51,True,False,0.31610738997193893,19.7870583999902,success,runs/tf2_corrective_transport_default/seed_2/summary.json
tf2_corrective_transport_terminal_angleclip_default,residualized_local_field_poly_rt2__terminal_angleclip_package,tf2_corrective_transport_terminal_angleclip_default,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,30.0,2,0.7962962962962963,0.8222222222222222,18,51,True,False,0.3111068208914448,20.100358599971514,success,runs/tf2_corrective_transport_terminal_angleclip_default/seed_2/summary.json
residualized_local_field_poly_rt2__no_terminal_stabilizer,residualized_local_field_poly_rt2__no_terminal_stabilizer,,residualized_local_field,poly_rt2,none,30.0,2,0.737037037037037,0.762962962962963,29,59,True,False,0.3052699346462371,18.61522779992083,success,runs/residualized_local_field_poly_rt2__no_terminal_stabilizer/seed_2/summary.json
residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,30.0,2,0.825925925925926,0.8481481481481481,0,57,False,True,0.29906154299555054,19.9037612999673,success,runs/residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound/seed_2/summary.json
tf2_corrective_transport_default,baseline_plain_raw,tf2_corrective_transport_default,baseline_plain,raw,none,30.0,3,0.8333333333333334,0.8222222222222222,32,58,True,False,0.3052137238952159,18.520276299968828,success,runs/tf2_corrective_transport_default/seed_3/summary.json
tf2_corrective_transport_terminal_angleclip_default,residualized_local_field_poly_rt2__terminal_angleclip_package,tf2_corrective_transport_terminal_angleclip_default,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,30.0,3,0.8703703703703703,0.8518518518518519,13,54,True,False,0.2945268064645564,20.144548700074665,success,runs/tf2_corrective_transport_terminal_angleclip_default/seed_3/summary.json
residualized_local_field_poly_rt2__no_terminal_stabilizer,residualized_local_field_poly_rt2__no_terminal_stabilizer,,residualized_local_field,poly_rt2,none,30.0,3,0.8444444444444444,0.8333333333333334,25,50,True,False,0.3144429380041523,20.550287600024603,success,runs/residualized_local_field_poly_rt2__no_terminal_stabilizer/seed_3/summary.json
residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound,,residualized_local_field,poly_rt2,local_field_direction_hard_replace_keep_live_norm,30.0,3,0.8777777777777778,0.8777777777777778,6,58,True,False,0.28150139798627105,20.00466899992898,success,runs/residualized_local_field_poly_rt2__terminal_hard_replace_upper_bound/seed_3/summary.json
tf2_corrective_transport_default,baseline_plain_raw,tf2_corrective_transport_default,baseline_plain,raw,none,30.0,4,0.8407407407407408,0.8148148148148148,23,60,True,False,0.28345675123876396,19.936149700020906,success,runs/tf2_corrective_transport_default/seed_4/summary.json
tf2_corrective_transport_terminal_angleclip_default,residualized_local_field_poly_rt2__terminal_angleclip_package,tf2_corrective_transport_terminal_angleclip_default,residualized_local_field,poly_rt2,local_field_direction_angle_clip_keep_live_norm,30.0,4,0.8740740740740741,0.8592592592592593,19,60,True,False,0.286513578402705,21.622298199974466,success,runs/tf2_corrective_transport_terminal_angleclip_default/seed_4/summary.json
residualized_local_field_poly_rt2__no_terminal_stabilizer,residualized_local_field_poly_rt2__no_terminal_stabilizer,,residualized_local_field,poly_rt2,none,30.0,4,0.8333333333333334,0.8518518518518519,28,60,True,False,0.29940152932548747,20.39897879998898,success,runs/residualized_local_field_poly_rt2__no_terminal_stabilizer/seed_4/summary.json
