epoch,lambda_id,stage,train_loss,train_boot_loss,train_identity_loss,train_transported_final_energy,val_transported_final_energy,val_identity_final_energy,val_local_field_only_final_energy,val_energy_delta_vs_identity,val_energy_delta_vs_local_field_only,val_accuracy,val_baseline_accuracy
1,0.0,warmup,0.004300124104672284,0.004300124104672284,0.0047059109885907524,0.6085320414841828,0.6080392146714947,0.47595475264624565,0.4754216492009377,0.13208446202524904,0.13261756547055698,0.14444444444444443,0.1037037037037037
2,0.0,warmup,0.00490068455871569,0.00490068455871569,0.005196109510398878,0.5912119495333282,0.6077453274015796,0.44971424792754555,0.4492135529606935,0.15803107947403405,0.15853177444088612,0.16296296296296298,0.1037037037037037
3,0.0,warmup,0.00635311713950801,0.00635311713950801,0.006595519031012341,0.6251196619429947,0.6461040571823866,0.44026341457726076,0.4397736397047134,0.20584064260512586,0.20633041747767322,0.15925925925925927,0.1037037037037037
4,0.0,warmup,0.007925692426908618,0.007925692426908618,0.008196655191045184,0.6756285363256077,0.6871989841586853,0.43637345092925894,0.43588690241231676,0.25082553322942636,0.25131208174636854,0.25925925925925924,0.1037037037037037
5,0.0,warmup,0.008789021416879773,0.008789021416879773,0.009146146213851675,0.698420717632408,0.7025856952010667,0.4332047754085686,0.4327195068779828,0.2693809197924981,0.26986618832308396,0.27037037037037037,0.1037037037037037
6,0.020000000000000004,hybrid,0.008942627125888222,0.008757915588057854,0.009235576891518413,0.6863447071507346,0.6957183722686997,0.43188794507496575,0.4314005494726547,0.26383042719373395,0.264317822796045,0.25555555555555554,0.1037037037037037
7,0.04000000000000001,hybrid,0.008419873279633306,0.008072855578160402,0.008675442536822595,0.6510241384745743,0.6660025377223686,0.4309437384970771,0.43045472144061386,0.2350587992252915,0.23554781628175475,0.3111111111111111,0.1037037037037037
8,0.06,hybrid,0.007464377481822472,0.007001514222059057,0.007714387662723583,0.6078024423222688,0.6267110756140112,0.4282705682093141,0.42777992795961256,0.1984405074046971,0.19893114765439862,0.25925925925925924,0.1037037037037037
9,0.08000000000000002,hybrid,0.006415438120779366,0.005881664940706044,0.006672164750916532,0.567793749269015,0.5871261202548111,0.42727328884710414,0.4267805226271743,0.159852831407707,0.16034559762763684,0.2222222222222222,0.1037037037037037
10,0.1,hybrid,0.005427576596897726,0.004858327924629843,0.005692486722678829,0.5345423854717375,0.5585043659926024,0.42533224518196033,0.42483508197848235,0.13317212081064211,0.1336692840141201,0.3592592592592593,0.1037037037037037
