seed,epoch,candidate_key,handoff_mode,live_step_count,live_control_family,step_index,relative_bootstrap_target_delta,relative_identity_target_delta,relative_psi_input_delta,bootstrap_target_cosine_similarity,identity_target_cosine_similarity,state_slot_displacement
0,2,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,2,0.1469696180783508,1.8223033119769585,0.6509430787310179,0.989975860930131,0.07369413505914324,2.119701432255672
0,2,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,3,0.14696506506891394,1.8913135061258306,0.6358340807997681,0.9899764312695843,-0.009669605850328236,2.302283190184936
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,1,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,2,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,3,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,3,0.3771667066413243,1.9022661460642698,0.008519650318025443,0.9352578320617383,-0.009096413188826112,0.20082631398023515
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,2,0.7225636334397676,1.8343714255653782,0.020618069538403984,0.8080854005819393,0.0730720512445961,0.19089076291227583
0,2,residualized_local_field_poly_rt2,suffix_live_k2,2,suffix,3,0.722656726313765,1.903214810544546,0.020067192225270706,0.8080504126133551,-0.008965214620284318,0.3893261826831758
0,2,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,1,1.0547763913769639,2.0072910740627288,0.036465953239034024,0.6847403551026843,0.13362973304941167,0.18824805102263004
0,2,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,2,1.0549138004925374,1.8329694628591233,0.03719456605959829,0.6846955887254131,0.07375754114707347,0.37670309703284266
0,2,residualized_local_field_poly_rt2,suffix_live_k3,3,suffix,3,1.0550511623490908,1.9008512273457634,0.03619790565465798,0.6846508409601315,-0.007683461813188052,0.571311605488498
0,2,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,0,5.496404336146046e-05,2.359430897615148,0.00023864626075200524,0.9999999985138148,0.16509249675039356,0.19370247141595237
0,2,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,prefix_live_k1,1,prefix,3,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,0,5.496404336146046e-05,2.359431035475839,0.00023864626075200524,0.9999999985138148,0.1650925102767712,0.19370225917824258
0,2,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,1,5.4963069859512125e-05,2.0063068733161264,0.0002571267602485256,0.9999999985138455,0.13368477583825641,0.37851849154616424
0,2,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,2,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,prefix_live_k2,2,prefix,3,0.0,0.0,0.0,1.0,1.0,0.0
0,2,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,0,5.496404336146046e-05,2.359431067429446,0.00023864626075200524,0.9999999985138148,0.1650925157605561,0.1937020724415772
0,2,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,1,5.4963069859512125e-05,2.00630688939071,0.0002571267602485256,0.9999999985138455,0.13368478045624435,0.3785180985245467
0,2,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,2,5.496209716444314e-05,1.8314417587035716,0.00026330772890136153,0.9999999985138759,0.07374807787095904,0.5619341284278443
0,2,residualized_local_field_poly_rt2,prefix_live_k3,3,prefix,3,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,0,0.13834418257484388,2.330720885764879,0.8836243712719307,0.9900407772110942,0.1712939191915131,2.890471589303945
0,3,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,1,0.13834156247594254,1.9802243708149638,0.9367811549157988,0.9900411069057192,0.13777999682123937,3.083734861647142
0,3,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,2,0.13833894414260842,1.814542700011824,0.9539934585057324,0.9900414363879992,0.07433370658875024,3.2846936573865326
0,3,residualized_local_field_poly_rt2,k0_closed_loop_live_plan,4,full_live,3,0.13833632757283393,1.8906378915420858,0.9368672804874061,0.9900417656581691,-0.011207450278584913,3.4939254653526093
0,3,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,0,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,1,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,2,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,0,full_replay,3,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,0,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,1,0.0,0.0,0.0,1.0,1.0,0.0
0,3,residualized_local_field_poly_rt2,suffix_live_k1,1,suffix,2,0.0,0.0,0.0,1.0,1.0,0.0
