seed,run_id,run_summary_path,selected_epoch,integrated_val_accuracy,integrated_test_accuracy,integrated_val_report_output_mse,integrated_test_report_output_mse,integrated_gate_passing_epoch_count,integrated_selected_epoch_passes_gate,integrated_selector_fallback_used,integrated_val_transported_final_energy,integrated_runtime_proxy_seconds,val_knot_peak_fisher_gap_knot_index,val_knot_peak_fisher_gap_region,transported_val_frozen_head_accuracy,transported_val_frozen_head_output_mse,transported_val_mean_pairwise_centroid_distance,transported_val_min_pairwise_centroid_distance,transported_val_mean_within_class_rms,transported_val_mean_within_class_variance,transported_val_between_class_centroid_margin,transported_val_fisher_separability_ratio,transported_val_nearest_centroid_accuracy,transported_val_mean_top1_margin,transported_val_std_top1_margin,transported_val_mean_true_class_margin,transported_val_std_true_class_margin,slow_pc_val_frozen_head_accuracy,slow_pc_val_frozen_head_output_mse,slow_pc_val_mean_pairwise_centroid_distance,slow_pc_val_min_pairwise_centroid_distance,slow_pc_val_mean_within_class_rms,slow_pc_val_mean_within_class_variance,slow_pc_val_between_class_centroid_margin,slow_pc_val_fisher_separability_ratio,slow_pc_val_nearest_centroid_accuracy,slow_pc_val_mean_top1_margin,slow_pc_val_std_top1_margin,slow_pc_val_mean_true_class_margin,slow_pc_val_std_true_class_margin,transported_test_frozen_head_accuracy,transported_test_frozen_head_output_mse,transported_test_mean_pairwise_centroid_distance,transported_test_min_pairwise_centroid_distance,transported_test_mean_within_class_rms,transported_test_mean_within_class_variance,transported_test_between_class_centroid_margin,transported_test_fisher_separability_ratio,transported_test_nearest_centroid_accuracy,transported_test_mean_top1_margin,transported_test_std_top1_margin,transported_test_mean_true_class_margin,transported_test_std_true_class_margin,slow_pc_test_frozen_head_accuracy,slow_pc_test_frozen_head_output_mse,slow_pc_test_mean_pairwise_centroid_distance,slow_pc_test_min_pairwise_centroid_distance,slow_pc_test_mean_within_class_rms,slow_pc_test_mean_within_class_variance,slow_pc_test_between_class_centroid_margin,slow_pc_test_fisher_separability_ratio,slow_pc_test_nearest_centroid_accuracy,slow_pc_test_mean_top1_margin,slow_pc_test_std_top1_margin,slow_pc_test_mean_true_class_margin,slow_pc_test_std_true_class_margin,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rms_orthogonal,val_delta_h_rowspace_fraction,val_delta_h_orthogonal_fraction,val_centroid_displacement_rms_total,val_centroid_displacement_rms_rowspace,val_centroid_displacement_rms_orthogonal,val_centroid_displacement_rowspace_fraction,val_centroid_displacement_orthogonal_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rms_orthogonal,test_delta_h_rowspace_fraction,test_delta_h_orthogonal_fraction,test_centroid_displacement_rms_total,test_centroid_displacement_rms_rowspace,test_centroid_displacement_rms_orthogonal,test_centroid_displacement_rowspace_fraction,test_centroid_displacement_orthogonal_fraction
0,adopted_s0,tf2_runs/tf2/adopted_s0/summary.json,53,0.774074074074074,0.8037037037037037,0.06320277364531794,0.06274214890460197,11,True,False,0.3137282688131667,18.966318000002502,0.0,early_knot,0.8777777777777778,0.05516971777538815,0.9804736411648493,0.536757625595655,0.5772893292172115,0.33326296962805807,0.536757625595655,1.6984094310115598,0.8925925925925926,0.16105896954212684,0.10234803924822775,0.14975541664171943,0.11994562356931575,0.7777777777777778,0.06294626453454936,0.7852759618402202,0.39333624065044376,0.5543859125069056,0.3073437399861144,0.39333624065044376,1.4164789258248667,0.8407407407407408,0.11034947868350427,0.08193156621098403,0.08816618463390873,0.1103524039465151,0.9333333333333333,0.05475014631375841,0.9861990808484341,0.5231528515889922,0.5591497792771316,0.312648475665665,0.5231528515889922,1.7637475992986915,0.9333333333333333,0.16174530666815531,0.1019932545499222,0.1558272104286889,0.11194635442245059,0.8074074074074075,0.06248786545297604,0.7956234075667813,0.3469963580935854,0.536732768519455,0.2880820648025588,0.3469963580935854,1.4823455064267095,0.8444444444444444,0.10766599649718113,0.08201466496398199,0.09351599290963093,0.10097574902466051,0.2743618919770443,0.14641771874107942,0.23202650583043638,0.5336663837896631,0.8456950932888665,0.2528871841046452,0.13918566419323006,0.2111380561799936,0.5503863894329842,0.8349100684067258,0.2720170006216549,0.145162582375685,0.23004580697162014,0.5336526101086962,0.845703784858609,0.2515923543465935,0.13779945457200868,0.2104994610095684,0.5477092295983534,0.8366687515455437
1,adopted_s1,tf2_runs/tf2/adopted_s1/summary.json,56,0.8629629629629629,0.8333333333333334,0.05881460861610098,0.059407377548759153,23,True,False,0.2883009074387914,21.06797109999752,0.0,early_knot,0.9518518518518518,0.04967542185167584,1.1336839516657058,0.581411764052075,0.5901621858680872,0.3482914056285987,0.581411764052075,1.9209701651727078,0.9592592592592593,0.20024274719002988,0.1232052476412249,0.19637796367437854,0.12960851679986926,0.8703703703703703,0.058572971901118376,0.9134598310844579,0.4138337685965886,0.5681462269300225,0.3227901351748206,0.4138337685965886,1.6077900156449814,0.9111111111111111,0.13537240851255805,0.10144044557601062,0.12277875454682617,0.11894601616135185,0.9481481481481482,0.050221859389637594,1.0967163080443303,0.6141124963146037,0.6013061300764029,0.3615690620674599,0.6141124963146037,1.8238901171770523,0.9629629629629629,0.19844576794955235,0.12035246149254268,0.19211380441475584,0.13082682330633172,0.8333333333333334,0.05916209139305194,0.876173855044058,0.4323946592805086,0.5776257121156042,0.33365146329705886,0.4323946592805086,1.516853970774596,0.8592592592592593,0.13509373613132886,0.10165373493362119,0.12070759914545927,0.1206406416317249,0.28158828725490337,0.15597799093227577,0.2344415276009796,0.5539221551181891,0.8325684632924917,0.2560944003502457,0.14699605519668116,0.2097057501533189,0.573991680394585,0.8188611303742538,0.2801929070279422,0.15594936227247427,0.23278286353504987,0.5565785512797519,0.830794990509291,0.25441164995497806,0.14695003827752137,0.20767997949501377,0.5776073473975204,0.8163147384632969
2,adopted_s2,tf2_runs/tf2/adopted_s2/summary.json,51,0.7962962962962963,0.8222222222222222,0.06305214040572814,0.06270885437346925,18,True,False,0.3111068208914448,20.340581500000553,0.0,early_knot,0.9185185185185185,0.05318903535162648,1.069319586534595,0.6423562953073109,0.5764159024941904,0.332255292648192,0.6423562953073109,1.8551181220149848,0.9518518518518518,0.16158564274727738,0.10244949290367769,0.15506095059128958,0.11302379689097154,0.7962962962962963,0.06280277551754192,0.843561520669098,0.4910290718312031,0.554199689076556,0.30713729537255136,0.4910290718312031,1.5221255754847058,0.837037037037037,0.10588997768937655,0.0764291042085421,0.0830616039275909,0.10529683625472579,0.9185185185185185,0.05275469383534945,1.0731325835807968,0.619567645159543,0.5863288897183285,0.34378156691832784,0.619567645159543,1.830257049241302,0.937037037037037,0.16321080184621847,0.10003305757042465,0.1574004031543491,0.10965788874463972,0.825925925925926,0.06246134199590217,0.8492243146419862,0.4107762426877146,0.5609213540172598,0.31463276539255614,0.4107762426877146,1.513981075172002,0.8333333333333334,0.10603592137260594,0.07582805510533852,0.08622027666159153,0.10155764873981214,0.29953803360736364,0.16463456848443525,0.25023687265730826,0.5496282608980444,0.835409345663664,0.2777239761513228,0.15849291866576365,0.2280583295170518,0.5706850408169512,0.8211690350882423,0.301151204046549,0.1658863197417711,0.2513439408882121,0.550840632588439,0.8346104465495074,0.2781725473727296,0.1593939171356178,0.22797707185591565,0.5730037656161746,0.8195527344775834
3,adopted_s3,tf2_runs/tf2/adopted_s3/summary.json,54,0.8703703703703703,0.8518518518518519,0.059640845476171794,0.05924171795683644,13,True,False,0.2945268064645564,20.00124330000108,0.0,early_knot,0.9703703703703703,0.05060241450935214,1.0582492353109179,0.695528965418129,0.5914520379624025,0.34981551320987925,0.695528965418129,1.7892393083244202,0.9481481481481482,0.18112893491912413,0.09847075142442659,0.17605196787705185,0.10859218621822699,0.8777777777777778,0.059385427861770076,0.8520512338529901,0.539721506413676,0.5663996470172276,0.32080856014124,0.539721506413676,1.504328680888239,0.8962962962962963,0.1219091343746219,0.08225937618775202,0.10814714026171754,0.10402353854527353,0.9592592592592593,0.050286298069708905,1.074661172407107,0.686703580414548,0.5897063447401386,0.34775357302677523,0.686703580414548,1.8223666439957835,0.9629629629629629,0.18287343703297537,0.10238973870298552,0.1782970737605933,0.11112867565474445,0.8555555555555555,0.0589908576586298,0.8637970360888818,0.5145146595063708,0.5656730765152072,0.3199860294941794,0.5145146595063708,1.527025188135607,0.8888888888888888,0.12669445676841243,0.08459805439274291,0.11113694966485681,0.10836786494915122,0.2872004175172255,0.15290771608757003,0.24311172366414524,0.5324077082109361,0.8464880579415036,0.26180586975922066,0.14402825723837134,0.2186279363605199,0.5501337971178117,0.8350765265942627,0.28716323594995474,0.1506308278838342,0.2444853324276941,0.5245477450674965,0.8513810328781143,0.26271577021307163,0.14242629286603042,0.22075852649238084,0.5421307321997372,0.8402941563551286
4,adopted_s4,tf2_runs/tf2/adopted_s4/summary.json,60,0.8740740740740741,0.8592592592592593,0.058992928117672955,0.05840439044333632,19,True,False,0.286513578402705,19.63519599999927,0.0,early_knot,0.9555555555555556,0.05010655905977924,1.0335102679285828,0.7108069207299434,0.5839924306649955,0.34104715907400956,0.7108069207299434,1.7697323007281427,0.9259259259259259,0.18085984062950283,0.10339222733228672,0.17682640012639964,0.11031628898529577,0.8814814814814815,0.05872952217068985,0.8239179679688866,0.5122069662466863,0.562975569099285,0.31694149140266387,0.5122069662466863,1.4635057242130207,0.8407407407407408,0.12630310721023905,0.08679385838953266,0.11150444265485553,0.10729328612512662,0.9555555555555556,0.04959627805351545,1.0356609680901838,0.6216779605567195,0.5771056190065902,0.33305089548897965,0.6216779605567195,1.7945778623208262,0.9666666666666667,0.1842484492870765,0.10854586840821294,0.178635710335009,0.11777755897345449,0.8666666666666667,0.05814498444435082,0.8246388895609064,0.4373385801644895,0.5555879351755404,0.30867795371262047,0.4373385801644895,1.4842634934114582,0.8703703703703703,0.12673007328068583,0.0918766401009943,0.11108243599376182,0.11164291711589881,0.26724609645147235,0.1481421455651277,0.22242837223679482,0.5543285665615998,0.832297927603909,0.24137299765223688,0.14083537670549526,0.19602632645603493,0.5834761057589661,0.8121303060521455,0.2664565202048789,0.14791672088129026,0.22162969305447205,0.5551251692679797,0.8317668221594299,0.24170850799994226,0.14131594911755124,0.1960938687582144,0.5846544264696921,0.8112824425620188
