epoch,stage,lambda_id,train_total_loss,train_boot_loss,train_transport_loss,train_drift_loss,train_identity_loss,train_transported_final_energy,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,warmup,0.0,4.493656037904779e-06,4.493656037904779e-06,2.4738491371164604e-06,2.0198069007883185e-06,6.762819587502695e-06,0.495335591577503,0.48319073473143526,-9.264746652459799e-05,-4.722473462792599e-07,0.48318405820170673,-9.932399625312005e-05,-5.051966721226619e-07,0.1037037037037037,0.09665667643959197
2,warmup,0.0,4.389957985811562e-06,4.389957985811562e-06,2.4474825741230954e-06,1.9424754116884674e-06,6.816827356115794e-06,0.47573674806048283,0.4679802991513115,-9.820800283799613e-05,-5.079184827166006e-07,0.4679739151923832,-0.00010459196176632046,-5.404195986554274e-07,0.1,0.0936157014308299
3,warmup,0.0,4.3101318234686984e-06,4.3101318234686984e-06,2.422277034151459e-06,1.88785478931724e-06,6.858573364562639e-06,0.46309054979151343,0.4579608781238024,-0.00010485075275640243,-5.478411410232817e-07,0.45795478655559124,-0.00011094232096753309,-5.793707302127868e-07,0.1,0.09161314577531175
4,transition,0.011731042782619834,4.330387359756866e-06,4.249379719248615e-06,2.3979511380061716e-06,1.8514285812424426e-06,6.905408326382393e-06,0.45473045487211994,0.4512241528844981,-0.00011063990081688901,-5.822087012221592e-07,0.4512181161006524,-0.00011667668466258663,-6.137074566211196e-07,0.11481481481481481,0.090266958557063
5,transition,0.08826895721738015,4.818291143215502e-06,4.208503952982925e-06,2.377212923397496e-06,1.83129102958543e-06,6.908285873717196e-06,0.4489943037001238,0.4464512418253904,-0.00011683533938794399,-6.177608169131434e-07,0.44644531649597036,-0.0001227606688080085,-6.487660187119606e-07,0.13333333333333333,0.08931361543295567
6,transition,0.1,4.857315263615786e-06,4.164742846106535e-06,2.3555373377191186e-06,1.8092055083874164e-06,6.925724175092518e-06,0.44477265436053093,0.4429079894532551,-0.00012303711968386644,-6.525525732920749e-07,0.4429021960456645,-0.00012883052727447053,-6.828411056551817e-07,0.14814814814814814,0.0886062053145878
7,hybrid,0.1,4.814305350788589e-06,4.123237042322422e-06,2.331965271356206e-06,1.791271770966216e-06,6.910683084661672e-06,0.4415684498920789,0.4401373079768554,-0.0001287652008591933,-6.840593382695772e-07,0.44013164338202604,-0.00013442979568856206,-7.135855774320079e-07,0.15925925925925927,0.08805321463554291
8,hybrid,0.1,4.7773114254707795e-06,4.08814600807705e-06,2.3121563009640403e-06,1.7759897071130097e-06,6.891654173937294e-06,0.43906316353247943,0.43785429733836023,-0.00013441128638735922,-7.143253266809796e-07,0.4378487615869512,-0.00013994703779640627,-7.430485144661154e-07,0.17777777777777778,0.08759774172494952
9,hybrid,0.1,4.738345149050248e-06,4.052282698632183e-06,2.2898843719363916e-06,1.762398326695791e-06,6.860624504180656e-06,0.4369054753515014,0.4358797734540951,-0.0001395166108341117,-7.410207760655317e-07,0.43587432630029754,-0.00014496376463168925,-7.691378897506894e-07,0.2074074074074074,0.08720385801298586
10,hybrid,0.1,4.69575594292383e-06,4.013977225573503e-06,2.2679995912494097e-06,1.7459776343240924e-06,6.817787173503276e-06,0.4348931027380404,0.43409458341458385,-0.00014446540322010648,-7.662144936163083e-07,0.43408921968586084,-0.00014982913194311331,-7.937454001716716e-07,0.24074074074074073,0.0868478097635608
11,hybrid,0.1,4.6641791966931945e-06,3.9862213672876254e-06,2.2478422904919353e-06,1.7383790767956888e-06,6.779578294055695e-06,0.4330870663288291,0.43244039493177555,-0.0001494856099710229,-7.912195198035254e-07,0.432435146338515,-0.00015473420323158793,-8.179784623306245e-07,0.26296296296296295,0.08651797610834931
