seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,action_intervention_mode,relative_terminal_action_vector_delta_vs_replay,terminal_action_direction_cosine_similarity_vs_replay,terminal_action_norm_ratio_vs_replay,terminal_action_norm_delta_vs_replay,relative_terminal_bootstrap_target_delta,relative_terminal_identity_target_delta,terminal_lambda_id_delta,terminal_state_slot_displacement_after_action,terminal_next_state_displacement_vs_baseline_replay
0,6,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.3980586668487118,-0.07214147365186574,0.9071095616579334,0.08889965773001149,0.0,0.0,0.0,0.0,0.3044270378898658
0,6,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.303459572609002,0.0
0,6,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.10611926989129294,1.0,0.8981054063084647,0.09497352661882012,0.0,0.0,0.0,0.28618011248844305,0.02374338165470503
0,6,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4634955035933628,-0.07196741746285204,1.0,3.5543657963966694e-17,0.0,0.0,0.0,0.022165050747891574,0.31917148730242817
0,6,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.3936064311311598,-0.07562725844295379,0.8975571358798557,0.09537833824687128,0.0,0.0,0.0,0.303459572609002,0.0
0,6,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.3992102388721235,-0.06768597864506057,0.9128449734162091,0.08212386106883887,0.0,0.0,0.0,0.0,0.28176658632458473
0,7,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2810392825865399,0.0
0,7,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.10358377829942425,1.0,0.905842899363336,0.08608029952524915,0.0,0.0,0.0,0.26615326726607724,0.02152007488131229
0,7,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4603171525105363,-0.06754598199278128,1.0,3.565765407810231e-17,0.0,0.0,0.0,0.02048539692748878,0.29462915660770034
0,7,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.3955952838092587,-0.0701439296552269,0.9054283816261247,0.08633854552560835,0.0,0.0,0.0,0.2810392825865399,0.0
0,7,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4012163471667372,-0.0546494975402152,0.927757904854165,0.07152560184256737,0.0,0.0,0.0,0.0,0.2493030894642958
0,8,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2487714794026493,0.0
0,8,residualized_local_field_poly_rt2,terminal_replay_action_direction_only,3,replay_action_direction_only,0.10002605298748621,1.0,0.9222949131281745,0.07376619864562688,0.0,0.0,0.0,0.23768563416377533,0.01844154966140672
0,8,residualized_local_field_poly_rt2,terminal_replay_action_norm_only,3,replay_action_norm_only,1.4511582505657763,-0.0545606473251624,1.0,3.0371703829161553e-17,0.0,0.0,0.0,0.01785292108672031,0.25884805542359024
0,8,residualized_local_field_poly_rt2,terminal_replay_post_action_state_only,3,replay_post_action_state_only,1.398230414830867,-0.05624831215724585,0.9220160092157371,0.07390162010330728,0.0,0.0,0.0,0.2487714794026493,0.0
0,8,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,residualized_local_field_poly_rt2,terminal_live_action_raw,3,live_action_raw,1.4022424769959418,-0.040222574513600146,0.9426993203857343,0.06466774711351504,0.0,0.0,0.0,0.0,0.21801297227466124
0,9,residualized_local_field_poly_rt2,terminal_replay_action_vector_only,3,replay_action_vector_only,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21758125393215058,0.0
