run_index,candidate_key,stage,axis,description,seed,identity_loss_weight,warmup_epochs,hybrid_ramp_epochs,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,train_wall_time_seconds,total_wall_time_seconds,run_status,nan_or_inf_failure,failure_type,failure_message,run_summary_path
22,warmup_10,1,warmup,warmup_epochs=10,1,0.2,10,10,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.774074074074074,26,0.3048203868799434,57,True,False,18.987491699983366,19.02151269998285,completed,False,,,runs/fmpc_tf2/warmup_10_seed1/summary.json
23,warmup_10,1,warmup,warmup_epochs=10,2,0.2,10,10,gate_constrained_accuracy_then_val_accuracy,0.8481481481481481,0.8333333333333334,27,0.31638044245584346,51,True,False,18.978527200000826,19.012581999995746,completed,False,,,runs/fmpc_tf2/warmup_10_seed2/summary.json
24,warmup_10,1,warmup,warmup_epochs=10,3,0.2,10,10,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.8222222222222222,32,0.30685832910283983,58,True,False,19.09871769999154,19.131424399995012,completed,False,,,runs/fmpc_tf2/warmup_10_seed3/summary.json
25,warmup_10,1,warmup,warmup_epochs=10,4,0.2,10,10,gate_constrained_accuracy_then_val_accuracy,0.8518518518518519,0.8074074074074075,25,0.28371629446369534,60,True,False,19.229330000001937,19.261690299987094,completed,False,,,runs/fmpc_tf2/warmup_10_seed4/summary.json
26,ramp_0,1,ramp,hybrid_ramp_epochs=0,0,0.2,5,0,gate_constrained_accuracy_then_val_accuracy,0.7925925925925926,0.8333333333333334,30,0.3008941919435252,55,True,False,19.105022900010226,19.135507700004382,completed,False,,,runs/fmpc_tf2/ramp_0_seed0/summary.json
27,ramp_0,1,ramp,hybrid_ramp_epochs=0,1,0.2,5,0,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7851851851851852,26,0.30311114107908305,57,True,False,19.15483679997851,19.190427299996372,completed,False,,,runs/fmpc_tf2/ramp_0_seed1/summary.json
28,ramp_0,1,ramp,hybrid_ramp_epochs=0,2,0.2,5,0,gate_constrained_accuracy_then_val_accuracy,0.8444444444444444,0.8333333333333334,25,0.31814629300806196,51,True,False,19.59288879999076,19.62381349998759,completed,False,,,runs/fmpc_tf2/ramp_0_seed2/summary.json
29,ramp_0,1,ramp,hybrid_ramp_epochs=0,3,0.2,5,0,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8222222222222222,31,0.3032427080285495,58,True,False,19.386134399974253,19.41979149999679,completed,False,,,runs/fmpc_tf2/ramp_0_seed3/summary.json
30,ramp_0,1,ramp,hybrid_ramp_epochs=0,4,0.2,5,0,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8148148148148148,20,0.2877935797117103,57,True,False,19.646471399988513,19.688709000009112,completed,False,,,runs/fmpc_tf2/ramp_0_seed4/summary.json
31,ramp_20,1,ramp,hybrid_ramp_epochs=20,0,0.2,5,20,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30160235893580617,55,True,False,19.41954239999177,19.45116660001804,completed,False,,,runs/fmpc_tf2/ramp_20_seed0/summary.json
32,ramp_20,1,ramp,hybrid_ramp_epochs=20,1,0.2,5,20,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.774074074074074,26,0.30483523340227736,57,True,False,19.33786590001546,19.36860440002056,completed,False,,,runs/fmpc_tf2/ramp_20_seed1/summary.json
33,ramp_20,1,ramp,hybrid_ramp_epochs=20,2,0.2,5,20,gate_constrained_accuracy_then_val_accuracy,0.8555555555555555,0.8333333333333334,27,0.31606564617869126,51,True,False,19.068569399998523,19.102756199979922,completed,False,,,runs/fmpc_tf2/ramp_20_seed2/summary.json
34,ramp_20,1,ramp,hybrid_ramp_epochs=20,3,0.2,5,20,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.825925925925926,32,0.3063273684714998,58,True,False,19.337495799991302,19.371288199996343,completed,False,,,runs/fmpc_tf2/ramp_20_seed3/summary.json
35,ramp_20,1,ramp,hybrid_ramp_epochs=20,4,0.2,5,20,gate_constrained_accuracy_then_val_accuracy,0.8481481481481481,0.8185185185185185,24,0.2834807215125985,60,True,False,19.27628389999154,19.309676900011254,completed,False,,,runs/fmpc_tf2/ramp_20_seed4/summary.json
36,ramp_40,1,ramp,hybrid_ramp_epochs=40,0,0.2,5,40,gate_constrained_accuracy_then_val_accuracy,0.8,0.837037037037037,29,0.3024254150257331,55,True,False,19.307072199997492,19.337908899993636,completed,False,,,runs/fmpc_tf2/ramp_40_seed0/summary.json
37,ramp_40,1,ramp,hybrid_ramp_epochs=40,1,0.2,5,40,gate_constrained_accuracy_then_val_accuracy,0.8185185185185185,0.774074074074074,26,0.3076537119621062,57,True,False,19.311914199992316,19.34279019999667,completed,False,,,runs/fmpc_tf2/ramp_40_seed1/summary.json
38,ramp_40,1,ramp,hybrid_ramp_epochs=40,2,0.2,5,40,gate_constrained_accuracy_then_val_accuracy,0.837037037037037,0.8333333333333334,27,0.30838508164284706,54,True,False,19.227023499988718,19.261265500012087,completed,False,,,runs/fmpc_tf2/ramp_40_seed2/summary.json
39,ramp_40,1,ramp,hybrid_ramp_epochs=40,3,0.2,5,40,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8111111111111111,32,0.30659956400446164,58,True,False,18.864922199980356,18.898473699984606,completed,False,,,runs/fmpc_tf2/ramp_40_seed3/summary.json
40,ramp_40,1,ramp,hybrid_ramp_epochs=40,4,0.2,5,40,gate_constrained_accuracy_then_val_accuracy,0.8444444444444444,0.8222222222222222,23,0.2833411022738781,60,True,False,19.28422849997878,19.32105699996464,completed,False,,,runs/fmpc_tf2/ramp_40_seed4/summary.json
