target_snapshot_mode,candidate_key,psi_family,time_encoding_variant,seed,epoch,mean_relative_bootstrap_target_delta,mean_relative_identity_target_delta,mean_bootstrap_target_cosine_similarity,mean_identity_target_cosine_similarity
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,1,0.18522296990330905,0.002317382898375941,0.9816735359575357,0.9999964491797286
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,2,0.23757200306632748,0.002875927733444974,0.9729959751960902,0.9999951698454052
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,3,0.2462005404217567,0.002946320757801478,0.9710068996410961,0.9999951286323375
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,4,0.22378719051773777,0.002695691479316452,0.9757888981187186,0.9999960479468555
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,5,0.18485167209525302,0.002265030827605861,0.9832728991922298,0.9999972546326322
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,6,0.1510191190859555,0.0019513821918677493,0.9888090440774995,0.9999979714977165
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,7,0.131919180815502,0.0017490216258321096,0.9914680886480871,0.9999983378897344
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,8,0.12169862071508133,0.001652084484237842,0.9927483784590612,0.9999984684480971
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,9,0.11469529100614237,0.001630174540390664,0.9935759725723023,0.9999984872934963
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,10,0.10342246029332783,0.001498456606011021,0.9947668533757982,0.99999873863819
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,11,0.09282821556030355,0.0014465843565497508,0.9957914884628168,0.9999988328447225
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,12,0.08753310095986197,0.0013941364277862411,0.9962626457036826,0.9999989250323331
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,13,0.0795864869928604,0.0013405649884467657,0.9969206327520486,0.9999989982294302
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,14,0.07682997195175664,0.001397889433201791,0.9971238880179332,0.9999989191003096
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,15,0.07258576515361612,0.0013010506308800537,0.9974833990973371,0.9999990694865074
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,16,0.08363983723423785,0.0015539878623435544,0.9967062745918271,0.9999986809044771
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,17,0.06554000256763919,0.0011530047253524645,0.9979363820022048,0.9999992624496568
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,18,0.06199791731344356,0.001137763431531834,0.9981698914881957,0.9999992999129297
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,19,0.0649906929803015,0.0012662789766322798,0.9979784481428018,0.9999991324485945
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,20,0.06674605144387155,0.0012822682619356132,0.9978547626893759,0.9999991156234668
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,21,0.06203794321348176,0.0011866771726153182,0.998139807547034,0.9999992428597178
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,22,0.0711125278375838,0.0014162601539633708,0.9975185890112501,0.9999988520056027
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,23,0.0657495363542849,0.0012922523036605032,0.9978943756111841,0.9999991082670311
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,24,0.06358983917817293,0.0012502814960741247,0.9980756228385911,0.9999991692453024
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,25,0.0654277541549829,0.001294333919304443,0.997983429697389,0.9999991118233457
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,26,0.061675115974902675,0.0012005944273324725,0.9981705267903896,0.9999992167592648
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,27,0.06142101240056079,0.0012403645124888704,0.9981969539567288,0.999999206919742
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,28,0.062268627443452886,0.0012359071827272544,0.9981647873287607,0.9999991829830182
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,29,0.05896120465550107,0.001154366354359436,0.9983385005959338,0.9999992716631215
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,30,0.06072819686361576,0.001194062644767894,0.9982466955829284,0.9999992112179902
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,31,0.06022939602101971,0.0012667895695482071,0.9982643478349976,0.9999991427472521
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,32,0.05869191035898378,0.0012558955880323285,0.9983692557855932,0.9999991592377866
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,33,0.057003949721323055,0.0011301979932740443,0.9984435322399993,0.9999993010157018
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,34,0.06058351005482475,0.0012894875164527356,0.9982681477923669,0.999999099284746
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,35,0.059212306715830575,0.0012758387597089982,0.9983342702082727,0.9999991009065623
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,36,0.06319869392142205,0.0013378865949241721,0.998114950703665,0.9999990267190573
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,37,0.059123865956002275,0.0013301318290894816,0.9983361381334847,0.999999049089172
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,38,0.06179478020994365,0.0013094356880157141,0.9982255457029815,0.9999990694023854
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,39,0.054431566703236345,0.0011591582630544235,0.998588640596021,0.9999992783546079
lag1_target_snapshot,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,1,40,0.055367863845189325,0.0012018947992224337,0.9985092443574899,0.999999195376142
