epoch,beta_obj,trajectory_objective_weight,semigroup_objective_weight,alpha,train_total_loss,train_traj_loss,train_semi_loss,train_energy_drop_loss,train_fixed_point_loss,train_active_energy_drop_rate,train_mean_rollout_flow_norm_sq,val_one_step_transported_final_energy,val_one_step_energy_delta_vs_identity,val_one_step_fixed_point_residual_delta_vs_identity,val_configured_transported_final_energy,val_configured_energy_delta_vs_identity,val_configured_fixed_point_residual_delta_vs_identity,val_accuracy,val_output_mse
1,0.0,1.0,0.0,1.0,2.3613187045151166e-05,4.622367182987977e-06,0.0,7.500343995508648e-05,2.399598733915676e-06,0.3862872023809524,2.399598733915676e-06,0.47675742630112294,-1.6466875897125366e-05,-7.578653690205753e-08,0.47677796558306046,4.072406040389609e-06,3.2552086734743014e-08,0.12222222222222222,0.09535477863540402
2,0.0,1.0,0.0,1.0,2.094496717605445e-05,4.374579512317864e-06,0.0,6.535634633202259e-05,2.3130108073094114e-06,0.3613727678571429,2.3130108073094114e-06,0.4642214363763786,-4.1491970570461945e-05,-2.0730939180517807e-07,0.464238334001902,-2.4594345047035393e-05,-1.1647102897153409e-07,0.15555555555555556,0.09285258566938981
3,0.0,1.0,0.0,1.0,1.915561631407723e-05,4.182984535205816e-06,0.0,5.8991532932697455e-05,2.2474854569704688e-06,0.3362983630952381,2.2474854569704688e-06,0.45620023061082243,-5.544206888863368e-05,-2.827404430614058e-07,0.45621339736257627,-4.227531713479893e-05,-2.1078771156554416e-07,0.15925925925925927,0.0912511345359422
4,0.0,1.0,0.0,0.9413447860869009,1.7696245134615702e-05,3.6745857205407825e-06,1.2713230816295599e-08,5.519721283923854e-05,2.223562042652834e-06,0.31400669642857143,2.223562042652834e-06,0.45086864270325977,-6.256819577643569e-05,-3.22087824020193e-07,0.4508784756417329,-5.273525730331574e-05,-2.6752685464167636e-07,0.1814814814814815,0.09018624217980724
5,0.0,1.0,0.0,0.5586552139130994,1.500648822299382e-05,1.5692695307739412e-06,2.5242950660837305e-07,5.286557749673124e-05,2.208243180370698e-06,0.2941220238095238,2.208243180370698e-06,0.44718107691166004,-6.608791604123532e-05,-3.417323330248993e-07,0.4471880938360866,-5.907099161467366e-05,-3.021381837325617e-07,0.1925925925925926,0.08944943296554025
6,0.0,1.0,0.0,0.5,1.4311350843124076e-05,1.2785158974869242e-06,2.592410472617476e-07,5.125092490341826e-05,2.2010371978258875e-06,0.28108630952380953,2.2010371978258875e-06,0.4444948807475481,-6.764184015939367e-05,-3.5027633728262767e-07,0.444499635321833,-6.288726587450055e-05,-3.228373766058553e-07,0.1925925925925926,0.0889125045175415
7,0.0,1.0,0.0,0.5,1.395968356753447e-05,1.2533447811730463e-06,2.5911124604348065e-07,4.994479455312441e-05,2.2014014808032156e-06,0.27247767857142857,2.2014014808032156e-06,0.4424192168870822,-6.811132286599353e-05,-3.525156800633883e-07,0.44242215796086337,-6.517024908481162e-05,-3.348829074115969e-07,0.2074074074074074,0.08849746564198963
8,0.0,1.0,0.0,0.5,1.3664285485137227e-05,1.2322529801607374e-06,2.5900500483333984e-07,4.8846278180948e-05,2.204629597394901e-06,0.2677901785714286,2.204629597394901e-06,0.4407138962004764,-6.817948519421968e-05,-3.522685171037743e-07,0.4407153445565963,-6.673112907434886e-05,-3.4271095415252845e-07,0.21481481481481482,0.08815641513713413
9,0.0,1.0,0.0,0.5,1.3414551816309222e-05,1.2112898742854248e-06,2.588853565549161e-07,4.792653795205858e-05,2.216274540091562e-06,0.26200520833333335,2.216274540091562e-06,0.43923498367981134,-6.825199423282635e-05,-3.5176187286850135e-07,0.4392351714596058,-6.806421443839028e-05,-3.4900148637148415e-07,0.2222222222222222,0.08786064713480883
10,0.0,1.0,0.0,0.5,1.308826570876491e-05,1.189261815036738e-06,2.58758263164099e-07,4.670319044886113e-05,2.232062815128896e-06,0.25648809523809524,2.232062815128896e-06,0.4378890584168881,-6.862193513318404e-05,-3.5248313370143405e-07,0.437888489981375,-6.919037064628819e-05,-3.5383423046395275e-07,0.24814814814814815,0.08759153607040425
