run_index,method_name,family_or_preset_name,seed,run_id,run_summary_path,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,runtime_proxy_seconds,uses_transport_only_training,uses_slow_iterative_pc_inference
1,tf2_corrective_transport_terminal_angleclip_default,tf2_corrective_transport_terminal_angleclip_default,0,seed_0,runs/tf2_corrective_transport_terminal_angleclip_default/seed_0/summary.json,gate_constrained_accuracy_then_val_accuracy,0.774074074074074,0.8037037037037037,11,53,True,False,0.3137282688131667,27.45826229999875,True,False
2,tf2_corrective_transport_terminal_angleclip_default,tf2_corrective_transport_terminal_angleclip_default,1,seed_1,runs/tf2_corrective_transport_terminal_angleclip_default/seed_1/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8629629629629629,0.8333333333333334,23,56,True,False,0.2883009074387914,28.780815500002063,True,False
3,tf2_corrective_transport_terminal_angleclip_default,tf2_corrective_transport_terminal_angleclip_default,2,seed_2,runs/tf2_corrective_transport_terminal_angleclip_default/seed_2/summary.json,gate_constrained_accuracy_then_val_accuracy,0.7962962962962963,0.8222222222222222,18,51,True,False,0.3111068208914448,30.54675430000134,True,False
4,tf2_corrective_transport_terminal_angleclip_default,tf2_corrective_transport_terminal_angleclip_default,3,seed_3,runs/tf2_corrective_transport_terminal_angleclip_default/seed_3/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8703703703703703,0.8518518518518519,13,54,True,False,0.2945268064645564,30.07234850000168,True,False
5,tf2_corrective_transport_terminal_angleclip_default,tf2_corrective_transport_terminal_angleclip_default,4,seed_4,runs/tf2_corrective_transport_terminal_angleclip_default/seed_4/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8740740740740741,0.8592592592592593,19,60,True,False,0.286513578402705,29.246860499999457,True,False
6,tf2_corrective_transport_default,tf2_corrective_transport_default,0,seed_0,runs/tf2_corrective_transport_default/seed_0/summary.json,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,55,True,False,0.30119296966554254,30.464110200002324,True,False
7,tf2_corrective_transport_default,tf2_corrective_transport_default,1,seed_1,runs/tf2_corrective_transport_default/seed_1/summary.json,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,57,True,False,0.30386400159532506,34.14865710000231,True,False
8,tf2_corrective_transport_default,tf2_corrective_transport_default,2,seed_2,runs/tf2_corrective_transport_default/seed_2/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,51,True,False,0.31610738997193893,34.6873056000004,True,False
9,tf2_corrective_transport_default,tf2_corrective_transport_default,3,seed_3,runs/tf2_corrective_transport_default/seed_3/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,32,58,True,False,0.3052137238952159,33.87401690000115,True,False
10,tf2_corrective_transport_default,tf2_corrective_transport_default,4,seed_4,runs/tf2_corrective_transport_default/seed_4/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8148148148148148,23,60,True,False,0.28345675123876396,34.27168499999971,True,False
11,tf2_canonical,tf2_canonical,0,seed_0,runs/tf2_canonical/seed_0/summary.json,gate_constrained_accuracy_then_val_accuracy,0.7592592592592593,0.8037037037037037,0,55,False,True,0.31832827438082345,37.301611000002595,True,False
12,tf2_canonical,tf2_canonical,1,seed_1,runs/tf2_canonical/seed_1/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.7592592592592593,2,59,True,False,0.3173802527624454,32.663153400004376,True,False
13,tf2_canonical,tf2_canonical,2,seed_2,runs/tf2_canonical/seed_2/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8222222222222222,0.8222222222222222,6,59,True,False,0.3156725659187618,29.650788199996896,True,False
14,tf2_canonical,tf2_canonical,3,seed_3,runs/tf2_canonical/seed_3/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8444444444444444,0.8,7,58,True,False,0.3116207987704478,29.54525139999896,True,False
15,tf2_canonical,tf2_canonical,4,seed_4,runs/tf2_canonical/seed_4/summary.json,gate_constrained_accuracy_then_val_accuracy,0.8666666666666667,0.8333333333333334,0,57,False,True,0.30219752324599547,29.279183799997554,True,False
16,canonical_slow_pc_digits_baseline,canonical_slow_pc_digits_baseline,0,seed_0,runs/digits_pc/seed_0/summary.json,val_accuracy_only,0.8444444444444444,0.9185185185185185,,55,,,,22.162985399991157,False,True
17,canonical_slow_pc_digits_baseline,canonical_slow_pc_digits_baseline,1,seed_1,runs/digits_pc/seed_1/summary.json,val_accuracy_only,0.8740740740740741,0.8962962962962963,,60,,,,21.473694500007696,False,True
18,canonical_slow_pc_digits_baseline,canonical_slow_pc_digits_baseline,2,seed_2,runs/digits_pc/seed_2/summary.json,val_accuracy_only,0.8629629629629629,0.8740740740740741,,60,,,,21.449362799998198,False,True
19,canonical_slow_pc_digits_baseline,canonical_slow_pc_digits_baseline,3,seed_3,runs/digits_pc/seed_3/summary.json,val_accuracy_only,0.9222222222222223,0.9074074074074074,,50,,,,21.309258900000714,False,True
20,canonical_slow_pc_digits_baseline,canonical_slow_pc_digits_baseline,4,seed_4,runs/digits_pc/seed_4/summary.json,val_accuracy_only,0.8925925925925926,0.8814814814814815,,59,,,,21.21344140000292,False,True
