seed,epoch,candidate_key,handoff_mode,replay_prefix_steps,terminal_bundle_mode,relative_terminal_bootstrap_target_delta,relative_terminal_identity_target_delta,terminal_bootstrap_target_cosine_similarity,terminal_identity_target_cosine_similarity,terminal_lambda_id_delta,terminal_predicted_average_velocity_delta_vs_replay,terminal_state_slot_displacement
0,1,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.20499804682783457,1.896766452554214,0.9753636908394201,-0.008318791889131242,0.0,0.0036680616240335035,0.18910421192499535
0,1,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.2049975489171146,1.8967657850384108,0.9753638223905965,-0.008318845816904926,0.0,0.003668064674835399,0.18910378576612163
0,1,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.20499804682783457,1.896766452554214,0.9753636908394201,-0.008318791889131242,0.0,0.0036680616240335035,0.18910421192499535
0,1,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.2049975489171146,1.8967657850384108,0.9753638223905965,-0.008318845816904926,0.0,0.003668064674835399,0.18910378576612163
0,1,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,2,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.3771667066413243,1.9022661460642698,0.9352578320617383,-0.009096413188826112,0.0,0.009067510321005692,0.20082631398023515
0,2,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.3771611993816686,1.9022620795676803,0.9352595736391418,-0.009096427840487826,0.0,0.009067490531317448,0.20082377867414308
0,2,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.3771667066413243,1.9022661460642698,0.9352578320617383,-0.009096413188826112,0.0,0.009067510321005692,0.20082631398023515
0,2,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.3771611993816686,1.9022620795676803,0.9352595736391418,-0.009096427840487826,0.0,0.009067490531317448,0.20082377867414308
0,2,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,3,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.4639369098875664,1.9050462897308669,0.9058483125854764,-0.010187579565006427,0.0,0.010718696416546008,0.23525127560485667
0,3,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.4639227912590216,1.9050381055000725,0.9058533026884426,-0.010187027661774746,0.0,0.010718535471664802,0.23524520782124206
0,3,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.4639369098875664,1.9050462897308669,0.9058483125854764,-0.010187579565006427,0.0,0.010718696416546008,0.23525127560485667
0,3,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.4639227912590216,1.9050381055000725,0.9058533026884426,-0.010187027661774746,0.0,0.010718535471664802,0.23524520782124206
0,3,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,4,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.563160920338784,1.9057338903313823,0.8691815208576008,-0.0121313897174007,0.0,0.012329719170563502,0.27807266851003515
0,4,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.5631345380017756,1.9057220242639592,0.8691916060183704,-0.012129956853817377,0.0,0.012329441585386194,0.2780604379774087
0,4,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.563160920338784,1.9057338903313823,0.8691815208576008,-0.0121313897174007,0.0,0.012329719170563502,0.27807266851003515
0,4,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.5631345380017756,1.9057220242639592,0.8691916060183704,-0.012129956853817377,0.0,0.012329441585386194,0.2780604379774087
0,4,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,5,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.6228904605768675,1.9044507863428979,0.8452400204900993,-0.015335256509559645,0.0,0.013853297425622057,0.30521699983889056
0,5,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.6228453908445577,1.9044360831916936,0.8452576826209122,-0.015332965851462255,0.0,0.013852889930490267,0.3051954536728453
0,5,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.6228904605768675,1.9044507863428979,0.8452400204900993,-0.015335256509559645,0.0,0.013853297425622057,0.30521699983889056
0,5,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.6228453908445577,1.9044360831916936,0.8452576826209122,-0.015332965851462255,0.0,0.013852889930490267,0.3051954536728453
0,5,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,6,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.6200563895967283,1.9015446240697422,0.8454502221286211,-0.018687257989247075,0.0,0.013956447551858684,0.3044599558226211
0,6,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.6199882730023962,1.9015278665987236,0.8454771885341417,-0.018684186512633903,0.0,0.013955809667515898,0.3044279680452834
0,6,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.6200556814310053,1.9015335050017725,0.8454505582668069,-0.018684553731190937,0.0,0.013956448504549756,0.3044590250729634
0,6,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.6199875652887242,1.9015167478925405,0.8454775244735171,-0.01868148228380475,0.0,0.013955810613158787,0.3044270378898658
0,6,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,7,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.5737347535495528,1.9001573258074018,0.8631357223587877,-0.021069031258244005,0.0,0.01331245928375788,0.2818109868511104
0,7,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.5736452785240405,1.9001389740504073,0.8631704605012978,-0.021065369072470228,0.0,0.013311474934916639,0.28177048572757435
0,7,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.5737300859232606,1.9001092106586153,0.8631377817114017,-0.02105726852188973,0.0,0.013312218938449203,0.2818070848122853
0,7,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.5736406137557937,1.900090861164888,0.8631725185787241,-0.02105360659890951,0.0,0.01331123459456648,0.28176658632458473
0,7,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,8,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.5093898242534115,1.8995897190559432,0.8873216452290491,-0.02311109726662762,0.0,0.012329372787851508,0.24935817658276443
0,8,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.509286162326596,1.8995699345084927,0.8873604346243102,-0.02310696242763462,0.0,0.012328114197228367,0.2493129207550225
0,8,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.509375588885245,1.8994771278812561,0.8873275902789812,-0.023083444830852458,0.0,0.012328641512498703,0.24934833918269708
0,8,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.5092719339909044,1.8994573505471497,0.8873663763500235,-0.02307931098106394,0.0,0.01232738298704612,0.2493030894642958
0,8,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,9,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.4499007036818953,1.899451116472426,0.9086563557702512,-0.02408270141039582,0.0,0.0116609485330599,0.21807987974466783
0,9,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.449790072391316,1.8994299158663552,0.9086956140118314,-0.0240781785356713,0.0,0.011659434036170181,0.21803371516822553
0,9,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.4498672013802179,1.8992451937346035,0.9086692810625712,-0.024031957380780726,0.0,0.011659250631128645,0.21805912606727765
0,9,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.4497565820375617,1.8992240098456823,0.9087085330827925,-0.024027437024064388,0.0,0.011657736126038699,0.21801297227466124
0,9,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,10,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.3989555684371421,1.8988654634341848,0.9259837351761462,-0.024726402085910194,0.0,0.011216224387428846,0.19167231062488993
0,10,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.398843368227446,1.8988427989061694,0.9260210898188257,-0.024721489580663912,0.0,0.011214498916911732,0.19162816799827492
0,10,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.39888835066915995,1.8985358957460137,0.9260076937619729,-0.024644881154198803,0.0,0.011213385178627468,0.19163370509908756
0,10,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.3987761679478237,1.8985132633944286,0.9260450379595664,-0.024639973789123346,0.0,0.011211659382134299,0.1915895792559299
0,10,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,11,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.3582396012538969,1.898620492331871,0.9388259854401391,-0.025008247804150296,0.0,0.01072979144213836,0.17161075209876434
0,11,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.358128958348863,1.8985963086450073,0.9388605495735101,-0.02500293358495024,0.0,0.010727786320545064,0.1715705559291008
0,11,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.3581200708492898,1.8981355841874241,0.9388653401962171,-0.024888066737522866,0.0,0.010724497113334567,0.17154780107594178
0,11,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.35800945275146595,1.8981114553774456,0.9388998876818226,-0.024882761637945654,0.0,0.010722490743839531,0.17150762967112826
0,11,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,12,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.32601905123179853,1.897527607311961,0.9484072412520405,-0.024711775205436125,0.0,0.010586391325525028,0.15691761044169236
0,12,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.3259120217452783,1.897501854365877,0.9484386348774443,-0.024706048951807835,0.0,0.010584178050629566,0.1568821385278262
0,12,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.32582806972092404,1.8968553239314587,0.9484655216969161,-0.024544844192412516,0.0,0.010578017938846069,0.15682192733117611
0,12,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.325721076779896,1.8968296569353313,0.9484968899454149,-0.02453913262732344,0.0,0.010575802143594257,0.15678649091385996
0,12,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,13,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.3004346443972037,1.8959070743921125,0.9555656646147586,-0.02464626068542975,0.0,0.01041211576147635,0.14630323060507933
0,13,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.3003323613191048,1.8958796793780301,0.9555939495111418,-0.024640082928848565,0.0,0.01040954673903686,0.14627259355504868
0,13,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.3001498035108946,1.89501592397125,0.9556470161235737,-0.02442442928769412,0.0,0.010400787037446246,0.14616731319432064
0,13,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.30004757556541456,1.8949886551275306,0.9556752635500905,-0.024418273503539444,0.0,0.010398213208893819,0.14613672617799023
0,13,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,14,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.2799995063947976,1.8941324146416432,0.9609166868238423,-0.024477492639706867,0.0,0.010171026532683123,0.13893572419900094
0,14,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.2799034223982145,1.8941032648392337,0.9609419085578199,-0.024470880647082898,0.0,0.010168242030740779,0.13890942694015324
0,14,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.2796009934284193,1.8929901777471136,0.9610240856716301,-0.02419243801919719,0.0,0.01015577105995269,0.13875312045789795
0,14,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.2795049931281664,1.8929612044102568,0.9610492548922837,-0.024185857195024744,0.0,0.010152980255287037,0.13872689215639952
0,14,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,15,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.2639510735704975,1.8926073985958076,0.9648439094363173,-0.024481425582964875,0.0,0.00998347076126326,0.1335350990053517
0,15,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.26386205527045603,1.8925764398694294,0.9648662859452509,-0.024474371033209107,0.0,0.009980546691835922,0.13351262296982863
0,15,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.26341806713992166,1.8911823541094335,0.9649804757281298,-0.02412523318105288,0.0,0.009962340348807983,0.13330437122820854
0,15,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.2633291762103559,1.8911516327664188,0.9650027814297637,-0.024118220878830525,0.0,0.009959408953850021,0.13328198730500285
0,15,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,16,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.2520847687288171,1.890052589537754,0.9676874409180458,-0.02441985628535517,0.0,0.009701891761014929,0.13021404033680326
0,16,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.2520032621147978,1.8900197064927198,0.9677072240324458,-0.02441233294555042,0.0,0.00969905646912193,0.13019440568936042
0,16,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.25140848924460146,1.8883255851209786,0.9678545453727343,-0.02398668867015735,0.0,0.009678172273400888,0.1299314797175017
0,16,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.2513271679674853,1.888293010622793,0.9678742369167649,-0.02397922081485039,0.0,0.009675331064341567,0.1299119628775806
0,16,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,17,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.24327052875480942,1.88792870663321,0.9696240581771643,-0.024193530794074058,0.0,0.009526553609671917,0.1274543597432823
0,17,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.2431964304440589,1.8878938605572748,0.9696415945723181,-0.024185573642417964,0.0,0.009523795456180184,0.1274370830836043
0,17,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.2424542402554286,1.8858947059865148,0.9698199433186337,-0.0236822728888563,0.0,0.009497129425976143,0.12713175418021538
0,17,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.242380401011194,1.8858602494655572,0.9698373670278458,-0.023674386433294108,0.0,0.0094943686511754,0.127114622201643
0,17,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,18,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.23733682158411235,1.885757388821082,0.9709210892932395,-0.024514968602481167,0.0,0.009502429003291953,0.12587377080099113
0,18,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.23726977546642644,1.8857204460073802,0.970936709826433,-0.024506532626543957,0.0,0.009499895572563703,0.12585820133456593
0,18,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.2363945619683295,1.883413630451365,0.971143107697387,-0.02392432430953108,0.0,0.00947092397705937,0.12551467149596982
0,18,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.23632785565914363,1.883377167161654,0.9711585948488125,-0.023915976121950917,0.0,0.009468391010577308,0.12549927261865068
0,18,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,19,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.23320333374649455,1.8834715439507472,0.9717575647934773,-0.024217640638292074,0.0,0.009362093206303638,0.12438902885625351
0,19,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.23314269479291377,1.8834324675348881,0.9717715692339146,-0.024208755786671293,0.0,0.00935984597285278,0.12437474703366858
0,19,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.23215565241592317,1.880819508244817,0.9720013289707563,-0.023547660072175104,0.0,0.009327087326734186,0.12400330545918195
0,19,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.23209544176193603,1.88078100858854,0.9720151805685733,-0.02353888142254091,0.0,0.009324847652235072,0.1239892200033208
0,19,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,20,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.2311262777972348,1.8811534984595817,0.9721495669096691,-0.02453290507434084,0.0,0.00935159880239562,0.12349053813637405
0,20,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.23107106474347808,1.8811122117640786,0.972162296096857,-0.02452353138217147,0.0,0.009349559010526861,0.12347719586296362
0,20,residualized_local_field_poly_rt2,terminal_replay_identity_only,3,replay_identity_only,0.2299891967782468,1.8781925602076535,0.9724131567194532,-0.02378268323576315,0.0,0.009316440543461812,0.12308040145693107
0,20,residualized_local_field_poly_rt2,terminal_replay_full_supervision_bundle,3,replay_full_supervision_bundle,0.2299344953109715,1.8781519543876688,0.9724257149513532,-0.023773435404092054,0.0,0.00931441185377557,0.12306727906189777
0,20,residualized_local_field_poly_rt2,k4_open_loop_baseline_plan_replay,4,full_replay,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,21,residualized_local_field_poly_rt2,terminal_live_full_bundle,3,live_full_bundle,0.23056676649754318,1.8790951184841032,0.9721918311756834,-0.024733104380176903,0.0,0.00932984830741967,0.12266852186317927
0,21,residualized_local_field_poly_rt2,terminal_replay_bootstrap_only,3,replay_bootstrap_only,0.230516109379271,1.879051538932261,0.9722035755012708,-0.024723239743657137,0.0,0.009328073757761467,0.12265586948710276
